Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,52.0,58.0,49.0,49.0,,49.0,34.0,51.0,,,,,,Eastern & Southern Africa
2017,52.0,58.0,47.0,47.0,,47.0,34.0,51.0,,,,,,Eastern & Southern Africa
2016,52.0,58.0,45.0,45.0,,45.0,34.0,51.0,,,,,,Eastern & Southern Africa
2015,55.0,55.0,46.0,31.0,,31.0,3.0,53.0,,,,,,Eastern & Southern Africa
2014,55.0,62.0,50.0,,,,,55.0,,,,,,Eastern & Southern Africa
2013,58.0,67.0,53.0,,,,,58.0,,,,,,Eastern & Southern Africa
2012,65.0,76.0,63.0,,,,,60.0,,,,,,Eastern & Southern Africa
2011,75.0,79.0,61.0,,,,,62.0,,,,,,Eastern & Southern Africa
2010,,,,,,,,,,,,,,Eastern & Southern Africa
2009,,,,,,,,,,,,,,Eastern & Southern Africa
2008,,,,,,,,,,,,,,Eastern & Southern Africa
2007,,,,,,,,,,,,,,Eastern & Southern Africa
2006,,,,,,,,,,,,,,Eastern & Southern Africa
2005,,,,,,,,,,,,,,Eastern & Southern Africa
2004,,,,,,,,,,,,,,Eastern & Southern Africa
2003,,,,,,,,,,,,,,Eastern & Southern Africa
2002,,,,,,,,,,,,,,Eastern & Southern Africa
2001,,,,,,,,,,,,,,Eastern & Southern Africa
2000,,,,,,,,,,,,,,Eastern & Southern Africa
1999,,,,,,,,,,,,,,Eastern & Southern Africa
1998,,,,,,,,,,,,,,Eastern & Southern Africa
1997,,,,,,,,,,,,,,Eastern & Southern Africa
1996,,,,,,,,,,,,,,Eastern & Southern Africa
1995,,,,,,,,,,,,,,Eastern & Southern Africa
1994,,,,,,,,,,,,,,Eastern & Southern Africa
1993,,,,,,,,,,,,,,Eastern & Southern Africa
1992,,,,,,,,,,,,,,Eastern & Southern Africa
1991,,,,,,,,,,,,,,Eastern & Southern Africa
1990,,,,,,,,,,,,,,Eastern & Southern Africa
1989,,,,,,,,,,,,,,Eastern & Southern Africa
1988,,,,,,,,,,,,,,Eastern & Southern Africa
1987,,,,,,,,,,,,,,Eastern & Southern Africa
1986,,,,,,,,,,,,,,Eastern & Southern Africa
1985,,,,,,,,,,,,,,Eastern & Southern Africa
1984,,,,,,,,,,,,,,Eastern & Southern Africa
1983,,,,,,,,,,,,,,Eastern & Southern Africa
1982,,,,,,,,,,,,,,Eastern & Southern Africa
1981,,,,,,,,,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,,Eastern & Southern Africa
