Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,88.0,97.0,93.0,93.0,,93.0,84.0,88.0,72.0,93.0,,94.0,,Eastern & Southern Africa
2017,97.0,98.0,95.0,95.0,,95.0,,90.0,72.0,95.0,,95.0,,Eastern & Southern Africa
2016,96.0,97.0,93.0,93.0,,93.0,64.0,86.0,69.0,93.0,,90.0,,Eastern & Southern Africa
2015,88.0,97.0,93.0,93.0,,93.0,69.0,87.0,69.0,93.0,,84.0,,Eastern & Southern Africa
2014,95.0,98.0,94.0,94.0,,94.0,,86.0,61.0,97.0,,86.0,,Eastern & Southern Africa
2013,93.0,97.0,93.0,93.0,,93.0,,85.0,57.0,30.0,,80.0,,Eastern & Southern Africa
2012,92.0,97.0,92.0,92.0,,92.0,,85.0,24.0,,,75.0,,Eastern & Southern Africa
2011,92.0,97.0,93.0,93.0,,93.0,,87.0,,,,27.0,,Eastern & Southern Africa
2010,90.0,99.0,90.0,75.0,,75.0,,90.0,,,,,,Eastern & Southern Africa
2009,82.0,92.0,81.0,72.0,,72.0,,82.0,,,,,,Eastern & Southern Africa
2008,88.0,96.0,86.0,78.0,,78.0,,79.0,,,,,,Eastern & Southern Africa
2007,83.0,95.0,84.0,78.0,,,,79.0,,,,,,Eastern & Southern Africa
2006,77.0,91.0,78.0,60.0,,,,73.0,,,,,,Eastern & Southern Africa
2005,72.0,88.0,78.0,22.0,,,,69.0,,,,,,Eastern & Southern Africa
2004,66.0,82.0,74.0,,,,,67.0,,,,,,Eastern & Southern Africa
2003,69.0,83.0,69.0,,,,,65.0,,,,,,Eastern & Southern Africa
2002,65.0,75.0,60.0,,,,,58.0,,,,,,Eastern & Southern Africa
2001,67.0,79.0,66.0,,,,,58.0,,,,,,Eastern & Southern Africa
2000,56.0,75.0,62.0,,,,,58.0,,,,,,Eastern & Southern Africa
1999,66.0,66.0,55.0,,,,,51.0,,,,,,Eastern & Southern Africa
1998,61.0,71.0,46.0,,,,,49.0,,,,,,Eastern & Southern Africa
1997,70.0,78.0,55.0,,,,,58.0,,,,,,Eastern & Southern Africa
1996,71.0,79.0,56.0,,,,,59.0,,,,,,Eastern & Southern Africa
1995,63.0,72.0,48.0,,,,,51.0,,,,,,Eastern & Southern Africa
1994,60.0,71.0,46.0,,,,,48.0,,,,,,Eastern & Southern Africa
1993,66.0,75.0,51.0,,,,,49.0,,,,,,Eastern & Southern Africa
1992,68.0,77.0,53.0,,,,,52.0,,,,,,Eastern & Southern Africa
1991,78.0,83.0,62.0,,,,,57.0,,,,,,Eastern & Southern Africa
1990,77.0,83.0,62.0,,,,,57.0,,,,,,Eastern & Southern Africa
1989,75.0,82.0,60.0,,,,,61.0,,,,,,Eastern & Southern Africa
1988,54.0,65.0,40.0,,,,,44.0,,,,,,Eastern & Southern Africa
1987,43.0,52.0,27.0,,,,,22.0,,,,,,Eastern & Southern Africa
1986,22.0,36.0,14.0,,,,,11.0,,,,,,Eastern & Southern Africa
1985,12.0,28.0,8.0,,,,,6.0,,,,,,Eastern & Southern Africa
1984,8.0,22.0,4.0,,,,,3.0,,,,,,Eastern & Southern Africa
1983,5.0,21.0,3.0,,,,,2.0,,,,,,Eastern & Southern Africa
1982,3.0,20.0,2.0,,,,,1.0,,,,,,Eastern & Southern Africa
1981,3.0,18.0,1.0,,,,,1.0,,,,,,Eastern & Southern Africa
1980,2.0,18.0,1.0,,,,,,,,,,,Eastern & Southern Africa
