Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,88.0,99.0,93.0,93.0,,93.0,84.0,86.0,,92.0,,36.0,,Eastern & Southern Africa
2017,89.0,99.0,94.0,94.0,,94.0,70.0,79.0,,90.0,,,,Eastern & Southern Africa
2016,94.0,99.0,93.0,93.0,,93.0,44.0,79.0,,77.0,,,,Eastern & Southern Africa
2015,95.0,97.0,89.0,89.0,,89.0,,79.0,,64.0,,,,Eastern & Southern Africa
2014,91.0,93.0,85.0,85.0,,85.0,,85.0,,60.0,,,,Eastern & Southern Africa
2013,93.0,92.0,84.0,84.0,,84.0,,83.0,,,,,,Eastern & Southern Africa
2012,95.0,92.0,83.0,83.0,,83.0,,80.0,,,,,,Eastern & Southern Africa
2011,97.0,91.0,82.0,82.0,,82.0,,75.0,,,,,,Eastern & Southern Africa
2010,86.0,87.0,80.0,80.0,,80.0,,73.0,,,,,,Eastern & Southern Africa
2009,90.0,96.0,79.0,79.0,,79.0,,77.0,,,,,,Eastern & Southern Africa
2008,86.0,87.0,71.0,71.0,,71.0,,70.0,,,,,,Eastern & Southern Africa
2007,87.0,93.0,73.0,73.0,,73.0,,75.0,,,,,,Eastern & Southern Africa
2006,83.0,85.0,64.0,64.0,,64.0,,75.0,,,,,,Eastern & Southern Africa
2005,90.0,90.0,64.0,64.0,,64.0,,68.0,,,,,,Eastern & Southern Africa
2004,88.0,88.0,62.0,62.0,,62.0,,66.0,,,,,,Eastern & Southern Africa
2003,87.0,86.0,59.0,44.0,,44.0,,64.0,,,,,,Eastern & Southern Africa
2002,85.0,84.0,57.0,29.0,,29.0,,62.0,,,,,,Eastern & Southern Africa
2001,83.0,82.0,55.0,,,,,59.0,,,,,,Eastern & Southern Africa
2000,82.0,80.0,52.0,,,,,57.0,,,,,,Eastern & Southern Africa
1999,80.0,78.0,50.0,,,,,55.0,,,,,,Eastern & Southern Africa
1998,75.0,79.0,48.0,,,,,50.0,,,,,,Eastern & Southern Africa
1997,82.0,79.0,56.0,,,,,54.0,,,,,,Eastern & Southern Africa
1996,82.0,80.0,57.0,,,,,55.0,,,,,,Eastern & Southern Africa
1995,83.0,81.0,59.0,,,,,57.0,,,,,,Eastern & Southern Africa
1994,84.0,82.0,60.0,,,,,59.0,,,,,,Eastern & Southern Africa
1993,82.0,80.0,56.0,,,,,57.0,,,,,,Eastern & Southern Africa
1992,79.0,77.0,53.0,,,,,56.0,,,,,,Eastern & Southern Africa
1991,77.0,75.0,49.0,,,,,54.0,,,,,,Eastern & Southern Africa
1990,75.0,72.0,45.0,,,,,52.0,,,,,,Eastern & Southern Africa
1989,72.0,70.0,42.0,,,,,51.0,,,,,,Eastern & Southern Africa
1988,70.0,67.0,38.0,,,,,49.0,,,,,,Eastern & Southern Africa
1987,61.0,55.0,30.0,,,,,38.0,,,,,,Eastern & Southern Africa
1986,51.0,45.0,21.0,,,,,27.0,,,,,,Eastern & Southern Africa
1985,37.0,36.0,14.0,,,,,17.0,,,,,,Eastern & Southern Africa
1984,32.0,36.0,14.0,,,,,18.0,,,,,,Eastern & Southern Africa
1983,28.0,36.0,14.0,,,,,20.0,,,,,,Eastern & Southern Africa
1982,23.0,33.0,12.0,,,,,21.0,,,,,,Eastern & Southern Africa
1981,18.0,29.0,9.0,,,,,22.0,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,,Eastern & Southern Africa
