Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,91.0,94.0,90.0,90.0,,90.0,36.0,94.0,65.0,90.0,94.0,91.0,Eastern & Southern Africa
2017,99.0,95.0,94.0,94.0,,94.0,,96.0,64.0,94.0,96.0,96.0,Eastern & Southern Africa
2016,99.0,99.0,91.0,91.0,,91.0,,93.0,58.0,90.0,,90.0,Eastern & Southern Africa
2015,97.0,97.0,90.0,90.0,,90.0,,90.0,47.0,81.0,,82.0,Eastern & Southern Africa
2014,99.0,96.0,86.0,86.0,,86.0,,85.0,33.0,77.0,,73.0,Eastern & Southern Africa
2013,95.0,86.0,79.0,79.0,,79.0,,80.0,,,,,Eastern & Southern Africa
2012,92.0,86.0,78.0,78.0,,78.0,,82.0,,,,,Eastern & Southern Africa
2011,92.0,87.0,81.0,81.0,,81.0,,83.0,,,,,Eastern & Southern Africa
2010,92.0,92.0,83.0,83.0,,83.0,,96.0,,,,,Eastern & Southern Africa
2009,92.0,96.0,94.0,94.0,,94.0,,90.0,,,,,Eastern & Southern Africa
2008,91.0,95.0,87.0,87.0,,87.0,,87.0,,,,,Eastern & Southern Africa
2007,91.0,93.0,80.0,80.0,,80.0,,93.0,,,,,Eastern & Southern Africa
2006,92.0,92.0,81.0,81.0,,81.0,,85.0,,,,,Eastern & Southern Africa
2005,92.0,92.0,82.0,82.0,,82.0,,85.0,,,,,Eastern & Southern Africa
2004,93.0,93.0,83.0,,,83.0,,85.0,,,,,Eastern & Southern Africa
2003,93.0,93.0,83.0,,,,,84.0,,,,,Eastern & Southern Africa
2002,94.0,94.0,84.0,,,,,84.0,,,,,Eastern & Southern Africa
2001,94.0,94.0,85.0,,,,,84.0,,,,,Eastern & Southern Africa
2000,94.0,94.0,85.0,,,,,85.0,,,,,Eastern & Southern Africa
1999,95.0,94.0,84.0,,,,,85.0,,,,,Eastern & Southern Africa
1998,95.0,94.0,84.0,,,,,86.0,,,,,Eastern & Southern Africa
1997,95.0,94.0,83.0,,,,,86.0,,,,,Eastern & Southern Africa
1996,96.0,94.0,84.0,,,,,86.0,,,,,Eastern & Southern Africa
1995,97.0,97.0,86.0,,,,,86.0,,,,,Eastern & Southern Africa
1994,98.0,96.0,90.0,,,,,96.0,,,,,Eastern & Southern Africa
1993,92.0,95.0,86.0,,,,,91.0,,,,,Eastern & Southern Africa
1992,94.0,94.0,83.0,,,,,85.0,,,,,Eastern & Southern Africa
1991,95.0,94.0,79.0,,,,,80.0,,,,,Eastern & Southern Africa
1990,97.0,97.0,91.0,,,,,90.0,,,,,Eastern & Southern Africa
1989,97.0,94.0,83.0,,,,,80.0,,,,,Eastern & Southern Africa
1988,97.0,94.0,83.0,,,,,80.0,,,,,Eastern & Southern Africa
1987,97.0,94.0,83.0,,,,,80.0,,,,,Eastern & Southern Africa
1986,95.0,86.0,66.0,,,,,58.0,,,,,Eastern & Southern Africa
1985,92.0,86.0,66.0,,,,,58.0,,,,,Eastern & Southern Africa
1984,71.0,81.0,59.0,,,,,57.0,,,,,Eastern & Southern Africa
1983,68.0,73.0,49.0,,,,,56.0,,,,,Eastern & Southern Africa
1982,70.0,,,,,,,,,,,,Eastern & Southern Africa
1981,72.0,,,,,,,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,Eastern & Southern Africa
