Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,94.0,89.0,89.0,,89.0,,88.0,78.0,89.0,88.0,90.0,Eastern & Southern Africa
2017,95.0,94.0,89.0,89.0,,89.0,,90.0,78.0,89.0,90.0,91.0,Eastern & Southern Africa
2016,95.0,94.0,90.0,90.0,,90.0,,95.0,63.0,90.0,95.0,91.0,Eastern & Southern Africa
2015,90.0,94.0,87.0,87.0,,87.0,,86.0,,87.0,,87.0,Eastern & Southern Africa
2014,99.0,98.0,91.0,91.0,,91.0,,92.0,,91.0,,48.0,Eastern & Southern Africa
2013,95.0,98.0,95.0,95.0,,95.0,,93.0,,95.0,,,Eastern & Southern Africa
2012,98.0,99.0,95.0,97.0,,97.0,,97.0,,21.0,,,Eastern & Southern Africa
2011,98.0,99.0,93.0,94.0,,94.0,,92.0,,,,,Eastern & Southern Africa
2010,99.0,95.0,89.0,90.0,,90.0,,90.0,,,,,Eastern & Southern Africa
2009,90.0,87.0,73.0,73.0,,73.0,,76.0,,,,,Eastern & Southern Africa
2008,91.0,89.0,75.0,75.0,,75.0,,70.0,,,,,Eastern & Southern Africa
2007,87.0,86.0,73.0,72.0,,,,69.0,,,,,Eastern & Southern Africa
2006,84.0,83.0,70.0,68.0,,,,68.0,,,,,Eastern & Southern Africa
2005,80.0,80.0,68.0,65.0,,,,67.0,,,,,Eastern & Southern Africa
2004,76.0,77.0,65.0,68.0,,,,66.0,,,,,Eastern & Southern Africa
2003,78.0,79.0,68.0,70.0,,,,68.0,,,,,Eastern & Southern Africa
2002,80.0,81.0,71.0,73.0,,,,70.0,,,,,Eastern & Southern Africa
2001,82.0,83.0,75.0,76.0,,,,73.0,,,,,Eastern & Southern Africa
2000,84.0,84.0,78.0,79.0,,,,75.0,,,,,Eastern & Southern Africa
1999,86.0,86.0,81.0,31.0,,,,77.0,,,,,Eastern & Southern Africa
1998,88.0,88.0,84.0,24.0,,,,79.0,,,,,Eastern & Southern Africa
1997,92.0,95.0,86.0,16.0,,,,84.0,,,,,Eastern & Southern Africa
1996,96.0,96.0,90.0,9.0,,,,88.0,,,,,Eastern & Southern Africa
1995,96.0,96.0,88.0,1.0,,,,87.0,,,,,Eastern & Southern Africa
1994,95.0,95.0,87.0,,,,,87.0,,,,,Eastern & Southern Africa
1993,95.0,95.0,85.0,,,,,86.0,,,,,Eastern & Southern Africa
1992,91.0,95.0,86.0,,,,,86.0,,,,,Eastern & Southern Africa
1991,91.0,95.0,87.0,,,,,87.0,,,,,Eastern & Southern Africa
1990,91.0,96.0,88.0,,,,,87.0,,,,,Eastern & Southern Africa
1989,90.0,95.0,87.0,,,,,87.0,,,,,Eastern & Southern Africa
1988,89.0,95.0,85.0,,,,,88.0,,,,,Eastern & Southern Africa
1987,94.0,94.0,84.0,,,,,88.0,,,,,Eastern & Southern Africa
1986,94.0,91.0,75.0,,,,,83.0,,,,,Eastern & Southern Africa
1985,76.0,84.0,63.0,,,,,78.0,,,,,Eastern & Southern Africa
1984,69.0,82.0,60.0,,,,,62.0,,,,,Eastern & Southern Africa
1983,67.0,77.0,53.0,,,,,60.0,,,,,Eastern & Southern Africa
1982,65.0,71.0,46.0,,,,,58.0,,,,,Eastern & Southern Africa
1981,64.0,64.0,39.0,,,,,56.0,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,Eastern & Southern Africa
