Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,93.0,91.0,86.0,86.0,82.0,86.0,90.0,94.0,89.0,88.0,94.0,80.0,7.0,Latin America & Caribbean
2017,95.0,91.0,86.0,86.0,80.0,86.0,91.0,89.0,89.0,76.0,89.0,78.0,6.0,Latin America & Caribbean
2016,92.0,97.0,92.0,92.0,81.0,92.0,56.0,90.0,88.0,82.0,90.0,75.0,6.0,Latin America & Caribbean
2015,96.0,94.0,94.0,94.0,84.0,94.0,,89.0,87.0,82.0,89.0,61.0,5.0,Latin America & Caribbean
2014,99.0,98.0,94.0,94.0,87.0,94.0,,95.0,96.0,89.0,95.0,,7.0,Latin America & Caribbean
2013,99.0,94.0,94.0,94.0,85.0,94.0,,94.0,83.0,86.0,94.0,,7.0,Latin America & Caribbean
2012,99.0,94.0,91.0,91.0,88.0,91.0,,94.0,89.0,41.0,94.0,,8.0,Latin America & Caribbean
2011,99.0,94.0,91.0,91.0,85.0,91.0,,95.0,91.0,,95.0,,12.0,Latin America & Caribbean
2010,99.0,95.0,94.0,94.0,79.0,94.0,,95.0,94.0,,95.0,,14.0,Latin America & Caribbean
2009,99.0,94.0,94.0,94.0,81.0,94.0,,96.0,96.0,,96.0,,8.0,Latin America & Caribbean
2008,99.0,97.0,93.0,90.0,79.0,93.0,,96.0,88.0,,96.0,,,Latin America & Caribbean
2007,99.0,94.0,91.0,85.0,76.0,91.0,,94.0,84.0,,94.0,,,Latin America & Caribbean
2006,99.0,93.0,91.0,84.0,72.0,91.0,,97.0,91.0,,97.0,,,Latin America & Caribbean
2005,99.0,99.0,98.0,88.0,71.0,98.0,,98.0,88.0,,98.0,,,Latin America & Caribbean
2004,99.0,99.0,98.0,81.0,65.0,98.0,,99.0,93.0,,99.0,,,Latin America & Caribbean
2003,99.0,96.0,96.0,73.0,,96.0,,97.0,80.0,,97.0,,,Latin America & Caribbean
2002,95.0,96.0,93.0,66.0,,93.0,,95.0,83.0,,95.0,,,Latin America & Caribbean
2001,92.0,96.0,83.0,,,83.0,,89.0,56.0,,89.0,,,Latin America & Caribbean
2000,95.0,96.0,83.0,,,83.0,,91.0,56.0,,91.0,,,Latin America & Caribbean
1999,96.0,96.0,86.0,,,86.0,,97.0,,,97.0,,,Latin America & Caribbean
1998,98.0,96.0,84.0,,,49.0,,95.0,,,95.0,,,Latin America & Caribbean
1997,99.0,96.0,88.0,,,,,93.0,,,93.0,,,Latin America & Caribbean
1996,99.0,94.0,83.0,,,,,99.0,,,,,,Latin America & Caribbean
1995,99.0,95.0,85.0,,,,,99.0,,,,,,Latin America & Caribbean
1994,99.0,94.0,82.0,,,,,96.0,,,,,,Latin America & Caribbean
1993,99.0,93.0,81.0,,,,,95.0,,,,,,Latin America & Caribbean
1992,99.0,93.0,81.0,,,,,92.0,,,,,,Latin America & Caribbean
1991,99.0,93.0,80.0,,,,,99.0,,,,,,Latin America & Caribbean
1990,99.0,95.0,87.0,,,,,93.0,,,,,,Latin America & Caribbean
1989,92.0,93.0,80.0,,,,,89.0,,,,,,Latin America & Caribbean
1988,91.0,93.0,80.0,,,,,87.0,,,,,,Latin America & Caribbean
1987,94.0,91.0,75.0,,,,,80.0,,,,,,Latin America & Caribbean
1986,99.0,86.0,67.0,,,,,87.0,,,,,,Latin America & Caribbean
1985,90.0,86.0,66.0,,,,,54.0,,,,,,Latin America & Caribbean
1984,78.0,83.0,62.0,,,,,79.0,,,,,,Latin America & Caribbean
1983,70.0,82.0,61.0,,,,,67.0,,,,,,Latin America & Caribbean
1982,77.0,80.0,58.0,,,,,67.0,,,,,,Latin America & Caribbean
1981,70.0,73.0,49.0,,,,,77.0,,,,,,Latin America & Caribbean
1980,62.0,69.0,44.0,,,,,61.0,,,,,,Latin America & Caribbean
