Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,94.0,90.0,90.0,,90.0,94.0,89.0,69.0,90.0,89.0,70.0,Latin America & Caribbean
2017,98.0,94.0,94.0,,94.0,98.0,90.0,76.0,93.0,90.0,90.0,Latin America & Caribbean
2016,95.0,94.0,94.0,,94.0,95.0,89.0,74.0,94.0,89.0,11.0,Latin America & Caribbean
2015,99.0,95.0,95.0,,95.0,31.0,94.0,76.0,95.0,94.0,,Latin America & Caribbean
2014,96.0,96.0,96.0,,96.0,,92.0,72.0,96.0,92.0,,Latin America & Caribbean
2013,99.0,97.0,97.0,,97.0,,92.0,69.0,97.0,92.0,,Latin America & Caribbean
2012,99.0,98.0,96.0,,98.0,,91.0,73.0,37.0,91.0,,Latin America & Caribbean
2011,99.0,98.0,95.0,,98.0,,90.0,79.0,1.0,90.0,,Latin America & Caribbean
2010,99.0,99.0,98.0,,98.0,,94.0,78.0,1.0,94.0,,Latin America & Caribbean
2009,99.0,96.0,95.0,,96.0,,98.0,76.0,3.0,98.0,,Latin America & Caribbean
2008,99.0,93.0,90.0,,94.0,,90.0,80.0,,90.0,,Latin America & Caribbean
2007,98.0,95.0,93.0,,95.0,,96.0,84.0,,96.0,,Latin America & Caribbean
2006,95.0,95.0,96.0,,95.0,,88.0,88.0,,88.0,,Latin America & Caribbean
2005,99.0,93.0,93.0,,93.0,,85.0,88.0,,85.0,,Latin America & Caribbean
2004,99.0,93.0,93.0,,93.0,,89.0,95.0,,89.0,,Latin America & Caribbean
2003,99.0,92.0,88.0,,93.0,,90.0,,,90.0,,Latin America & Caribbean
2002,99.0,94.0,89.0,,94.0,,94.0,,,94.0,,Latin America & Caribbean
2001,99.0,99.0,21.0,,99.0,,94.0,,,94.0,,Latin America & Caribbean
2000,99.0,99.0,,,90.0,,93.0,,,93.0,,Latin America & Caribbean
1999,96.0,82.0,,,78.0,,86.0,,,86.0,,Latin America & Caribbean
1998,96.0,89.0,,,,,92.0,,,92.0,,Latin America & Caribbean
1997,95.0,86.0,,,,,93.0,,,93.0,,Latin America & Caribbean
1996,95.0,85.0,,,,,92.0,,,92.0,,Latin America & Caribbean
1995,95.0,87.0,,,,,90.0,,,90.0,,Latin America & Caribbean
1994,97.0,91.0,,,,,88.0,,,88.0,,Latin America & Caribbean
1993,97.0,91.0,,,,,88.0,,,88.0,,Latin America & Caribbean
1992,97.0,92.0,,,,,94.0,,,94.0,,Latin America & Caribbean
1991,97.0,92.0,,,,,93.0,,,93.0,,Latin America & Caribbean
1990,95.0,86.0,,,,,86.0,,,,,Latin America & Caribbean
1989,95.0,86.0,,,,,87.0,,,,,Latin America & Caribbean
1988,95.0,85.0,,,,,78.0,,,,,Latin America & Caribbean
1987,95.0,85.0,,,,,87.0,,,,,Latin America & Caribbean
1986,95.0,85.0,,,,,85.0,,,,,Latin America & Caribbean
1985,95.0,86.0,,,,,79.0,,,,,Latin America & Caribbean
1984,87.0,69.0,,,,,63.0,,,,,Latin America & Caribbean
1983,85.0,65.0,,,,,66.0,,,,,Latin America & Caribbean
1982,87.0,69.0,,,,,65.0,,,,,Latin America & Caribbean
1981,78.0,55.0,,,,,,,,,,Latin America & Caribbean
1980,61.0,36.0,,,,,,,,,,Latin America & Caribbean
