Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,97.0,96.0,96.0,55.0,96.0,97.0,97.0,91.0,,97.0,,Latin America & Caribbean
2017,90.0,89.0,88.0,88.0,,88.0,89.0,90.0,88.0,,90.0,,Latin America & Caribbean
2016,94.0,98.0,95.0,95.0,,95.0,93.0,95.0,96.0,,95.0,,Latin America & Caribbean
2015,98.0,97.0,94.0,94.0,,94.0,7.0,96.0,95.0,,96.0,,Latin America & Caribbean
2014,98.0,96.0,95.0,95.0,,95.0,,95.0,92.0,,95.0,,Latin America & Caribbean
2013,99.0,96.0,95.0,95.0,,95.0,,99.0,92.0,,99.0,,Latin America & Caribbean
2012,98.0,99.0,98.0,98.0,,98.0,,96.0,93.0,,96.0,,Latin America & Caribbean
2011,98.0,98.0,95.0,95.0,,95.0,,98.0,98.0,,98.0,,Latin America & Caribbean
2010,98.0,99.0,96.0,96.0,,96.0,,98.0,91.0,,98.0,,Latin America & Caribbean
2009,99.0,99.0,97.0,97.0,,97.0,,97.0,92.0,,97.0,,Latin America & Caribbean
2008,98.0,98.0,94.0,94.0,,94.0,,96.0,90.0,,96.0,,Latin America & Caribbean
2007,99.0,98.0,96.0,96.0,,96.0,,96.0,89.0,,96.0,,Latin America & Caribbean
2006,97.0,98.0,98.0,98.0,,98.0,,99.0,92.0,,99.0,,Latin America & Caribbean
2005,96.0,98.0,96.0,96.0,,96.0,,95.0,87.0,,95.0,,Latin America & Caribbean
2004,99.0,98.0,97.0,97.0,,97.0,,97.0,,,97.0,,Latin America & Caribbean
2003,99.0,98.0,96.0,96.0,,96.0,,96.0,,,96.0,,Latin America & Caribbean
2002,96.0,97.0,89.0,97.0,,89.0,,88.0,,,88.0,,Latin America & Caribbean
2001,98.0,97.0,96.0,96.0,,96.0,,94.0,,,94.0,,Latin America & Caribbean
2000,96.0,96.0,91.0,76.0,,,,96.0,,,96.0,,Latin America & Caribbean
1999,96.0,96.0,87.0,,,,,82.0,,,82.0,,Latin America & Caribbean
1998,93.0,95.0,87.0,,,,,84.0,,,84.0,,Latin America & Caribbean
1997,85.0,95.0,86.0,,,,,85.0,,,85.0,,Latin America & Caribbean
1996,90.0,95.0,85.0,,,,,81.0,,,81.0,,Latin America & Caribbean
1995,92.0,94.0,83.0,,,,,83.0,,,,,Latin America & Caribbean
1994,90.0,96.0,88.0,,,,,82.0,,,,,Latin America & Caribbean
1993,91.0,96.0,85.0,,,,,80.0,,,,,Latin America & Caribbean
1992,97.0,96.0,74.0,,,,,69.0,,,,,Latin America & Caribbean
1991,94.0,94.0,82.0,,,,,76.0,,,,,Latin America & Caribbean
1990,93.0,97.0,91.0,,,,,86.0,,,,,Latin America & Caribbean
1989,91.0,88.0,79.0,,,,,71.0,,,,,Latin America & Caribbean
1988,85.0,90.0,61.0,,,,,59.0,,,,,Latin America & Caribbean
1987,77.0,87.0,85.0,,,,,53.0,,,,,Latin America & Caribbean
1986,94.0,98.0,82.0,,,,,85.0,,,,,Latin America & Caribbean
1985,81.0,81.0,58.0,,,,,49.0,,,,,Latin America & Caribbean
1984,77.0,77.0,53.0,,,,,43.0,,,,,Latin America & Caribbean
1983,81.0,81.0,59.0,,,,,43.0,,,,,Latin America & Caribbean
1982,85.0,74.0,61.0,,,,,51.0,,,,,Latin America & Caribbean
1981,71.0,77.0,44.0,,,,,40.0,,,,,Latin America & Caribbean
1980,71.0,72.0,47.0,,,,,21.0,,,,,Latin America & Caribbean
