Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,90.0,89.0,83.0,83.0,,83.0,89.0,89.0,38.0,83.0,89.0,87.0,84.0,Latin America & Caribbean
2017,93.0,91.0,84.0,84.0,,84.0,91.0,83.0,,83.0,83.0,84.0,82.0,Latin America & Caribbean
2016,96.0,93.0,87.0,87.0,,87.0,92.0,94.0,,87.0,94.0,87.0,89.0,Latin America & Caribbean
2015,99.0,97.0,89.0,89.0,,89.0,,95.0,,86.0,95.0,89.0,88.0,Latin America & Caribbean
2014,94.0,92.0,85.0,85.0,,85.0,,89.0,,56.0,89.0,85.0,73.0,Latin America & Caribbean
2013,94.0,87.0,87.0,87.0,,87.0,,87.0,,,87.0,85.0,83.0,Latin America & Caribbean
2012,99.0,97.0,93.0,93.0,,93.0,,92.0,,,92.0,91.0,90.0,Latin America & Caribbean
2011,99.0,98.0,95.0,95.0,,95.0,,96.0,,,96.0,91.0,92.0,Latin America & Caribbean
2010,98.0,97.0,91.0,91.0,,91.0,,88.0,,,88.0,87.0,74.0,Latin America & Caribbean
2009,93.0,97.0,93.0,93.0,,93.0,,93.0,,,93.0,76.0,72.0,Latin America & Caribbean
2008,90.0,96.0,88.0,88.0,,88.0,,92.0,,,92.0,51.0,88.0,Latin America & Caribbean
2007,87.0,85.0,84.0,84.0,,84.0,,86.0,,,86.0,,93.0,Latin America & Caribbean
2006,87.0,87.0,83.0,83.0,,83.0,,88.0,,,88.0,,87.0,Latin America & Caribbean
2005,88.0,93.0,85.0,85.0,,85.0,,89.0,,,89.0,,84.0,Latin America & Caribbean
2004,86.0,88.0,84.0,84.0,,84.0,,90.0,,,90.0,,23.0,Latin America & Caribbean
2003,96.0,96.0,88.0,80.0,,80.0,,96.0,,,96.0,,,Latin America & Caribbean
2002,93.0,94.0,77.0,77.0,,77.0,,91.0,,,91.0,,,Latin America & Caribbean
2001,90.0,91.0,71.0,77.0,,77.0,,88.0,,,88.0,,,Latin America & Caribbean
2000,92.0,92.0,75.0,77.0,,77.0,,84.0,,,84.0,,,Latin America & Caribbean
1999,95.0,92.0,77.0,,,,,79.0,,,,,,Latin America & Caribbean
1998,85.0,86.0,61.0,,,,,65.0,,,,,,Latin America & Caribbean
1997,88.0,80.0,58.0,,,,,51.0,,,,,,Latin America & Caribbean
1996,98.0,82.0,61.0,,,,,61.0,,,,,,Latin America & Caribbean
1995,87.0,84.0,64.0,,,,,58.0,,,,,,Latin America & Caribbean
1994,92.0,80.0,58.0,,,,,64.0,,,,,,Latin America & Caribbean
1993,84.0,76.0,52.0,,,,,57.0,,,,,,Latin America & Caribbean
1992,81.0,70.0,45.0,,,,,57.0,,,,,,Latin America & Caribbean
1991,67.0,68.0,43.0,,,,,54.0,,,,,,Latin America & Caribbean
1990,65.0,66.0,41.0,,,,,53.0,,,,,,Latin America & Caribbean
1989,64.0,76.0,52.0,,,,,59.0,,,,,,Latin America & Caribbean
1988,56.0,53.0,28.0,,,,,58.0,,,,,,Latin America & Caribbean
1987,55.0,60.0,35.0,,,,,57.0,,,,,,Latin America & Caribbean
1986,53.0,67.0,42.0,,,,,55.0,,,,,,Latin America & Caribbean
1985,24.0,58.0,33.0,,,,,21.0,,,,,,Latin America & Caribbean
1984,23.0,25.0,6.0,,,,,20.0,,,,,,Latin America & Caribbean
1983,27.0,31.0,10.0,,,,,13.0,,,,,,Latin America & Caribbean
1982,31.0,33.0,12.0,,,,,15.0,,,,,,Latin America & Caribbean
1981,30.0,35.0,13.0,,,,,17.0,,,,,,Latin America & Caribbean
1980,30.0,32.0,11.0,,,,,13.0,,,,,,Latin America & Caribbean
