Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,90.0,87.0,83.0,83.0,80.0,83.0,89.0,84.0,69.0,84.0,84.0,80.0,51.0,Latin America & Caribbean
2017,90.0,99.0,89.0,93.0,80.0,93.0,99.0,91.0,76.0,84.0,91.0,70.0,55.0,Latin America & Caribbean
2016,90.0,95.0,89.0,89.0,82.0,89.0,80.0,95.0,77.0,84.0,95.0,88.0,43.0,Latin America & Caribbean
2015,99.0,97.0,96.0,96.0,91.0,96.0,97.0,96.0,80.0,94.0,96.0,94.0,46.0,Latin America & Caribbean
2014,99.0,98.0,93.0,96.0,88.0,95.0,,97.0,89.0,93.0,97.0,92.0,47.0,Latin America & Caribbean
2013,99.0,98.0,97.0,96.0,89.0,98.0,,98.0,69.0,94.0,98.0,93.0,45.0,Latin America & Caribbean
2012,99.0,99.0,95.0,96.0,90.0,95.0,,99.0,70.0,88.0,99.0,86.0,42.0,Latin America & Caribbean
2011,99.0,99.0,99.0,98.0,91.0,99.0,,99.0,71.0,82.0,99.0,87.0,37.0,Latin America & Caribbean
2010,99.0,99.0,99.0,96.0,92.0,99.0,,99.0,53.0,24.0,99.0,83.0,34.0,Latin America & Caribbean
2009,99.0,99.0,99.0,99.0,92.0,99.0,,99.0,55.0,,99.0,86.0,34.0,Latin America & Caribbean
2008,99.0,99.0,99.0,96.0,93.0,99.0,,99.0,56.0,,99.0,81.0,35.0,Latin America & Caribbean
2007,99.0,99.0,99.0,99.0,94.0,98.0,,99.0,49.0,,99.0,80.0,36.0,Latin America & Caribbean
2006,99.0,99.0,99.0,99.0,95.0,97.0,,99.0,55.0,,99.0,47.0,34.0,Latin America & Caribbean
2005,99.0,99.0,99.0,98.0,94.0,96.0,,98.0,61.0,,98.0,,34.0,Latin America & Caribbean
2004,99.0,99.0,99.0,96.0,92.0,95.0,,97.0,68.0,,97.0,,31.0,Latin America & Caribbean
2003,99.0,99.0,99.0,97.0,91.0,94.0,,97.0,74.0,,97.0,,34.0,Latin America & Caribbean
2002,99.0,99.0,99.0,92.0,93.0,93.0,,96.0,80.0,,96.0,,20.0,Latin America & Caribbean
2001,99.0,99.0,98.0,91.0,95.0,93.0,,99.0,95.0,,99.0,,39.0,Latin America & Caribbean
2000,99.0,99.0,98.0,94.0,99.0,90.0,,99.0,95.0,,99.0,,37.0,Latin America & Caribbean
1999,99.0,99.0,94.0,84.0,,,,99.0,,,,,38.0,Latin America & Caribbean
1998,99.0,99.0,93.0,13.0,,,,95.0,,,,,38.0,Latin America & Caribbean
1997,99.0,99.0,79.0,6.0,,,,99.0,,,,,,Latin America & Caribbean
1996,99.0,75.0,77.0,15.0,,,,80.0,,,,,,Latin America & Caribbean
1995,99.0,85.0,81.0,10.0,,,,87.0,,,,,,Latin America & Caribbean
1994,93.0,50.0,74.0,4.0,,,,77.0,,,,,,Latin America & Caribbean
1993,95.0,91.0,75.0,,,,,85.0,,,,,,Latin America & Caribbean
1992,90.0,88.0,71.0,,,,,91.0,,,,,,Latin America & Caribbean
1991,87.0,92.0,78.0,,,,,85.0,,,,,,Latin America & Caribbean
1990,79.0,86.0,66.0,,,,,78.0,,,,,,Latin America & Caribbean
1989,74.0,79.0,56.0,,,,,60.0,,,,,,Latin America & Caribbean
1988,74.0,80.0,58.0,,,,,62.0,,,,,,Latin America & Caribbean
1987,68.0,80.0,58.0,,,,,64.0,,,,,,Latin America & Caribbean
1986,65.0,80.0,58.0,,,,,67.0,,,,,,Latin America & Caribbean
1985,63.0,86.0,66.0,,,,,67.0,,,,,,Latin America & Caribbean
1984,75.0,87.0,68.0,,,,,73.0,,,,,,Latin America & Caribbean
1983,66.0,82.0,60.0,,,,,68.0,,,,,,Latin America & Caribbean
1982,64.0,79.0,56.0,,,,,66.0,,,,,,Latin America & Caribbean
1981,62.0,72.0,47.0,,,,,73.0,,,,,,Latin America & Caribbean
1980,56.0,62.0,37.0,,,,,57.0,,,,,,Latin America & Caribbean
