Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,99.0,95.0,95.0,,95.0,98.0,93.0,93.0,93.0,93.0,,Latin America & Caribbean
2017,96.0,98.0,93.0,93.0,,93.0,98.0,93.0,90.0,93.0,93.0,,Latin America & Caribbean
2016,97.0,99.0,95.0,95.0,,95.0,99.0,93.0,87.0,93.0,93.0,,Latin America & Caribbean
2015,93.0,97.0,96.0,97.0,,97.0,,96.0,89.0,90.0,96.0,,Latin America & Caribbean
2014,98.0,99.0,95.0,95.0,,95.0,,97.0,88.0,92.0,97.0,,Latin America & Caribbean
2013,98.0,92.0,91.0,90.0,,90.0,,90.0,78.0,79.0,90.0,,Latin America & Caribbean
2012,92.0,90.0,90.0,90.0,,90.0,,90.0,74.0,82.0,90.0,,Latin America & Caribbean
2011,91.0,98.0,94.0,94.0,,94.0,,91.0,77.0,54.0,91.0,,Latin America & Caribbean
2010,95.0,93.0,92.0,92.0,,92.0,,93.0,84.0,,93.0,,Latin America & Caribbean
2009,95.0,94.0,94.0,94.0,,94.0,,93.0,89.0,,93.0,,Latin America & Caribbean
2008,99.0,96.0,95.0,95.0,,95.0,,96.0,89.0,,96.0,,Latin America & Caribbean
2007,98.0,98.0,96.0,92.0,,96.0,,92.0,95.0,,92.0,,Latin America & Caribbean
2006,98.0,95.0,94.0,95.0,,94.0,,91.0,95.0,,91.0,,Latin America & Caribbean
2005,95.0,92.0,91.0,,,91.0,,90.0,96.0,,90.0,,Latin America & Caribbean
2004,95.0,94.0,93.0,,,93.0,,94.0,96.0,,94.0,,Latin America & Caribbean
2003,95.0,98.0,96.0,,,96.0,,96.0,,,96.0,,Latin America & Caribbean
2002,96.0,98.0,97.0,,,97.0,,95.0,,,95.0,,Latin America & Caribbean
2001,98.0,99.0,97.0,,,97.0,,96.0,,,96.0,,Latin America & Caribbean
2000,93.0,98.0,91.0,,,91.0,,97.0,,,97.0,,Latin America & Caribbean
1999,95.0,97.0,95.0,,,95.0,,94.0,,,94.0,,Latin America & Caribbean
1998,92.0,97.0,90.0,,,90.0,,98.0,,,98.0,,Latin America & Caribbean
1997,92.0,96.0,90.0,,,90.0,,96.0,,,96.0,,Latin America & Caribbean
1996,99.0,97.0,91.0,,,91.0,,93.0,,,93.0,,Latin America & Caribbean
1995,97.0,97.0,94.0,,,,,97.0,,,97.0,,Latin America & Caribbean
1994,99.0,97.0,94.0,,,,,96.0,,,96.0,,Latin America & Caribbean
1993,97.0,96.0,90.0,,,,,94.0,,,94.0,,Latin America & Caribbean
1992,99.0,96.0,90.0,,,,,89.0,,,89.0,,Latin America & Caribbean
1991,99.0,97.0,94.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1990,94.0,98.0,95.0,,,,,97.0,,,97.0,,Latin America & Caribbean
1989,97.0,98.0,95.0,,,,,92.0,,,,,Latin America & Caribbean
1988,98.0,98.0,96.0,,,,,95.0,,,,,Latin America & Caribbean
1987,97.0,97.0,93.0,,,,,92.0,,,,,Latin America & Caribbean
1986,96.0,96.0,90.0,,,,,91.0,,,,,Latin America & Caribbean
1985,96.0,99.0,99.0,,,,,92.0,,,,,Latin America & Caribbean
1984,95.0,99.0,99.0,,,,,94.0,,,,,Latin America & Caribbean
1983,92.0,96.0,89.0,,,,,95.0,,,,,Latin America & Caribbean
1982,94.0,99.0,99.0,,,,,96.0,,,,,Latin America & Caribbean
1981,96.0,99.0,99.0,,,,,95.0,,,,,Latin America & Caribbean
1980,96.0,97.0,93.0,,,,,94.0,,,,,Latin America & Caribbean
