Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,89.0,92.0,92.0,92.0,77.0,92.0,93.0,95.0,88.0,94.0,95.0,90.0,87.0,Latin America & Caribbean
2017,91.0,94.0,92.0,92.0,81.0,92.0,94.0,93.0,89.0,91.0,93.0,90.0,88.0,Latin America & Caribbean
2016,88.0,93.0,91.0,91.0,,91.0,92.0,93.0,87.0,89.0,93.0,90.0,77.0,Latin America & Caribbean
2015,90.0,93.0,91.0,91.0,,91.0,92.0,94.0,86.0,91.0,94.0,91.0,85.0,Latin America & Caribbean
2014,89.0,91.0,90.0,90.0,,90.0,,91.0,88.0,89.0,91.0,89.0,92.0,Latin America & Caribbean
2013,85.0,97.0,91.0,91.0,,91.0,,92.0,72.0,87.0,92.0,87.0,92.0,Latin America & Caribbean
2012,89.0,91.0,91.0,92.0,,91.0,,94.0,80.0,84.0,94.0,87.0,92.0,Latin America & Caribbean
2011,83.0,95.0,85.0,85.0,,85.0,,88.0,76.0,46.0,88.0,78.0,88.0,Latin America & Caribbean
2010,84.0,96.0,88.0,88.0,,88.0,,88.0,74.0,22.0,88.0,74.0,79.0,Latin America & Caribbean
2009,90.0,97.0,92.0,92.0,,92.0,,89.0,71.0,,89.0,55.0,80.0,Latin America & Caribbean
2008,93.0,97.0,92.0,92.0,,92.0,,95.0,70.0,,95.0,,81.0,Latin America & Caribbean
2007,93.0,97.0,93.0,93.0,,93.0,,93.0,93.0,,93.0,,84.0,Latin America & Caribbean
2006,96.0,97.0,93.0,93.0,,93.0,,95.0,85.0,,95.0,,88.0,Latin America & Caribbean
2005,94.0,97.0,93.0,93.0,,93.0,,96.0,73.0,,96.0,,,Latin America & Caribbean
2004,92.0,90.0,89.0,89.0,,89.0,,94.0,70.0,,94.0,,,Latin America & Caribbean
2003,97.0,94.0,92.0,92.0,,93.0,,93.0,70.0,,93.0,,,Latin America & Caribbean
2002,87.0,93.0,81.0,78.0,,69.0,,93.0,93.0,,93.0,,,Latin America & Caribbean
2001,87.0,82.0,80.0,80.0,,55.0,,93.0,83.0,,93.0,,,Latin America & Caribbean
2000,91.0,91.0,79.0,78.0,,65.0,,88.0,84.0,,88.0,,,Latin America & Caribbean
1999,80.0,95.0,74.0,77.0,,64.0,,79.0,,,79.0,,,Latin America & Caribbean
1998,85.0,95.0,73.0,75.0,,62.0,,78.0,,,78.0,,,Latin America & Caribbean
1997,97.0,94.0,84.0,85.0,,,,80.0,,,80.0,,,Latin America & Caribbean
1996,99.0,95.0,85.0,95.0,,,,90.0,,,90.0,,,Latin America & Caribbean
1995,99.0,95.0,85.0,71.0,,,,95.0,,,95.0,,,Latin America & Caribbean
1994,99.0,95.0,85.0,,,,,84.0,,,,,,Latin America & Caribbean
1993,96.0,94.0,88.0,,,,,94.0,,,,,,Latin America & Caribbean
1992,88.0,92.0,78.0,,,,,74.0,,,,,,Latin America & Caribbean
1991,95.0,94.0,84.0,,,,,78.0,,,,,,Latin America & Caribbean
1990,95.0,96.0,88.0,,,,,82.0,,,,,,Latin America & Caribbean
1989,94.0,92.0,78.0,,,,,81.0,,,,,,Latin America & Caribbean
1988,99.0,90.0,74.0,,,,,74.0,,,,,,Latin America & Caribbean
1987,80.0,80.0,58.0,,,,,59.0,,,,,,Latin America & Caribbean
1986,70.0,72.0,48.0,,,,,45.0,,,,,,Latin America & Caribbean
1985,76.0,82.0,61.0,,,,,51.0,,,,,,Latin America & Caribbean
1984,69.0,82.0,61.0,,,,,51.0,,,,,,Latin America & Caribbean
1983,79.0,67.0,42.0,,,,,43.0,,,,,,Latin America & Caribbean
1982,65.0,51.0,26.0,,,,,28.0,,,,,,Latin America & Caribbean
1981,57.0,44.0,20.0,,,,,26.0,,,,,,Latin America & Caribbean
1980,45.0,39.0,16.0,,,,,13.0,,,,,,Latin America & Caribbean
