Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,92.0,95.0,94.0,98.0,90.0,94.0,94.0,93.0,96.0,94.0,,Latin America & Caribbean
2017,90.0,99.0,96.0,97.0,87.0,96.0,96.0,93.0,96.0,96.0,,Latin America & Caribbean
2016,89.0,99.0,97.0,97.0,91.0,97.0,93.0,87.0,94.0,93.0,,Latin America & Caribbean
2015,83.0,93.0,92.0,92.0,90.0,92.0,93.0,90.0,94.0,93.0,,Latin America & Caribbean
2014,80.0,91.0,91.0,91.0,89.0,91.0,95.0,90.0,83.0,95.0,,Latin America & Caribbean
2013,79.0,98.0,95.0,94.0,90.0,95.0,91.0,92.0,94.0,91.0,,Latin America & Caribbean
2012,78.0,92.0,91.0,91.0,90.0,90.0,90.0,95.0,89.0,90.0,,Latin America & Caribbean
2011,78.0,87.0,85.0,84.0,88.0,81.0,83.0,80.0,68.0,83.0,,Latin America & Caribbean
2010,77.0,96.0,88.0,89.0,86.0,90.0,83.0,79.0,94.0,83.0,,Latin America & Caribbean
2009,81.0,91.0,86.0,87.0,87.0,87.0,81.0,84.0,48.0,81.0,,Latin America & Caribbean
2008,90.0,90.0,90.0,89.0,87.0,87.0,89.0,89.0,,89.0,,Latin America & Caribbean
2007,91.0,90.0,89.0,89.0,88.0,88.0,90.0,,,90.0,,Latin America & Caribbean
2006,87.0,89.0,89.0,88.0,88.0,88.0,90.0,,,90.0,,Latin America & Caribbean
2005,88.0,97.0,91.0,90.0,89.0,89.0,89.0,,,89.0,,Latin America & Caribbean
2004,90.0,96.0,90.0,89.0,89.0,90.0,88.0,,,88.0,,Latin America & Caribbean
2003,87.0,89.0,88.0,86.0,86.0,87.0,89.0,,,89.0,,Latin America & Caribbean
2002,91.0,98.0,94.0,94.0,87.0,93.0,94.0,,,94.0,,Latin America & Caribbean
2001,87.0,91.0,91.0,80.0,87.0,89.0,82.0,,,82.0,,Latin America & Caribbean
2000,92.0,90.0,88.0,89.0,,92.0,82.0,,,82.0,,Latin America & Caribbean
1999,89.0,92.0,86.0,83.0,,68.0,88.0,,,88.0,,Latin America & Caribbean
1998,87.0,95.0,85.0,86.0,,26.0,83.0,,,83.0,,Latin America & Caribbean
1997,82.0,97.0,94.0,76.0,,,99.0,,,99.0,,Latin America & Caribbean
1996,92.0,95.0,85.0,,,,84.0,,,84.0,,Latin America & Caribbean
1995,99.0,95.0,85.0,,,,91.0,,,91.0,,Latin America & Caribbean
1994,94.0,96.0,88.0,,,,87.0,,,87.0,,Latin America & Caribbean
1993,98.0,96.0,88.0,,,,89.0,,,89.0,,Latin America & Caribbean
1992,94.0,96.0,90.0,,,,92.0,,,92.0,,Latin America & Caribbean
1991,81.0,96.0,90.0,,,,96.0,,,96.0,,Latin America & Caribbean
1990,92.0,98.0,95.0,,,,90.0,,,90.0,,Latin America & Caribbean
1989,89.0,95.0,86.0,,,,77.0,,,77.0,,Latin America & Caribbean
1988,86.0,95.0,87.0,,,,97.0,,,97.0,,Latin America & Caribbean
1987,83.0,97.0,94.0,,,,93.0,,,93.0,,Latin America & Caribbean
1986,79.0,96.0,89.0,,,,90.0,,,,,Latin America & Caribbean
1985,82.0,96.0,90.0,,,,78.0,,,,,Latin America & Caribbean
1984,86.0,97.0,93.0,,,,76.0,,,,,Latin America & Caribbean
1983,83.0,95.0,86.0,,,,84.0,,,,,Latin America & Caribbean
1982,81.0,93.0,81.0,,,,87.0,,,,,Latin America & Caribbean
1981,81.0,95.0,85.0,,,,79.0,,,,,Latin America & Caribbean
1980,80.0,95.0,86.0,,,,60.0,,,,,Latin America & Caribbean
