Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,99.0,94.0,94.0,46.0,94.0,99.0,84.0,81.0,,84.0,,Latin America & Caribbean
2017,97.0,98.0,91.0,91.0,23.0,91.0,98.0,77.0,81.0,,77.0,,Latin America & Caribbean
2016,98.0,99.0,99.0,99.0,,99.0,99.0,96.0,92.0,,96.0,,Latin America & Caribbean
2015,98.0,99.0,98.0,98.0,,98.0,36.0,96.0,94.0,,96.0,,Latin America & Caribbean
2014,98.0,99.0,97.0,97.0,,97.0,,94.0,89.0,,94.0,,Latin America & Caribbean
2013,97.0,98.0,96.0,96.0,,96.0,,93.0,91.0,,93.0,,Latin America & Caribbean
2012,98.0,98.0,97.0,97.0,,97.0,,99.0,94.0,,99.0,,Latin America & Caribbean
2011,98.0,99.0,98.0,98.0,,98.0,,99.0,94.0,,99.0,,Latin America & Caribbean
2010,99.0,99.0,98.0,98.0,,98.0,,99.0,95.0,,99.0,,Latin America & Caribbean
2009,99.0,99.0,99.0,99.0,,99.0,,99.0,95.0,,99.0,,Latin America & Caribbean
2008,98.0,96.0,96.0,96.0,,96.0,,99.0,95.0,,99.0,,Latin America & Caribbean
2007,90.0,98.0,96.0,93.0,,93.0,,96.0,95.0,,96.0,,Latin America & Caribbean
2006,99.0,98.0,95.0,7.0,,7.0,,97.0,99.0,,97.0,,Latin America & Caribbean
2005,98.0,99.0,98.0,,,,,98.0,99.0,,98.0,,Latin America & Caribbean
2004,99.0,99.0,99.0,,,,,99.0,99.0,,99.0,,Latin America & Caribbean
2003,99.0,99.0,99.0,,,,,99.0,99.0,,99.0,,Latin America & Caribbean
2002,99.0,99.0,98.0,,,,,99.0,99.0,,99.0,,Latin America & Caribbean
2001,99.0,99.0,99.0,,,,,99.0,62.0,,99.0,,Latin America & Caribbean
2000,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1999,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1998,99.0,99.0,99.0,,,,,98.0,,,98.0,,Latin America & Caribbean
1997,99.0,97.0,92.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1996,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1995,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1994,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1993,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1992,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1991,99.0,98.0,98.0,,,,,98.0,,,98.0,,Latin America & Caribbean
1990,99.0,97.0,92.0,,,,,88.0,,,88.0,,Latin America & Caribbean
1989,99.0,97.0,92.0,,,,,88.0,,,88.0,,Latin America & Caribbean
1988,98.0,98.0,96.0,,,,,90.0,,,,,Latin America & Caribbean
1987,98.0,98.0,95.0,,,,,87.0,,,,,Latin America & Caribbean
1986,87.0,97.0,93.0,,,,,97.0,,,,,Latin America & Caribbean
1985,90.0,97.0,91.0,,,,,93.0,,,,,Latin America & Caribbean
1984,84.0,94.0,84.0,,,,,85.0,,,,,Latin America & Caribbean
1983,99.0,97.0,93.0,,,,,63.0,,,,,Latin America & Caribbean
1982,48.0,99.0,99.0,,,,,43.0,,,,,Latin America & Caribbean
1981,57.0,98.0,97.0,,,,,,,,,,Latin America & Caribbean
1980,65.0,84.0,63.0,,,,,,,,,,Latin America & Caribbean
