Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,94.0,92.0,65.0,90.0,98.0,95.0,31.0,70.0,95.0,82.0,Latin America & Caribbean
2017,99.0,99.0,84.0,81.0,67.0,77.0,98.0,86.0,,64.0,86.0,82.0,Latin America & Caribbean
2016,99.0,98.0,87.0,80.0,66.0,73.0,96.0,85.0,,30.0,85.0,75.0,Latin America & Caribbean
2015,99.0,99.0,85.0,81.0,64.0,76.0,6.0,90.0,,22.0,90.0,83.0,Latin America & Caribbean
2014,99.0,95.0,91.0,89.0,67.0,87.0,,88.0,,27.0,88.0,86.0,Latin America & Caribbean
2013,99.0,91.0,83.0,80.0,63.0,75.0,,83.0,,,83.0,69.0,Latin America & Caribbean
2012,99.0,92.0,85.0,74.0,59.0,70.0,,88.0,,,88.0,9.0,Latin America & Caribbean
2011,99.0,91.0,84.0,80.0,67.0,71.0,,87.0,,,87.0,,Latin America & Caribbean
2010,98.0,96.0,88.0,83.0,65.0,81.0,,85.0,,,85.0,,Latin America & Caribbean
2009,96.0,85.0,82.0,80.0,58.0,77.0,,84.0,,,84.0,,Latin America & Caribbean
2008,92.0,86.0,82.0,81.0,54.0,79.0,,83.0,,,83.0,,Latin America & Caribbean
2007,92.0,87.0,85.0,81.0,46.0,70.0,,82.0,,,82.0,,Latin America & Caribbean
2006,95.0,93.0,89.0,84.0,75.0,80.0,,81.0,,,81.0,,Latin America & Caribbean
2005,96.0,92.0,87.0,87.0,75.0,87.0,,79.0,,,79.0,,Latin America & Caribbean
2004,97.0,87.0,79.0,82.0,66.0,80.0,,81.0,,,81.0,,Latin America & Caribbean
2003,95.0,88.0,79.0,79.0,66.0,75.0,,83.0,,,,,Latin America & Caribbean
2002,97.0,92.0,82.0,63.0,66.0,43.0,,86.0,,,,,Latin America & Caribbean
2001,98.0,95.0,72.0,66.0,66.0,20.0,,88.0,,,,,Latin America & Caribbean
2000,90.0,91.0,78.0,68.0,,,,85.0,,,,,Latin America & Caribbean
1999,99.0,95.0,83.0,76.0,,,,83.0,,,,,Latin America & Caribbean
1998,86.0,91.0,75.0,62.0,,,,80.0,,,,,Latin America & Caribbean
1997,88.0,86.0,73.0,,,,,79.0,,,,,Latin America & Caribbean
1996,79.0,88.0,72.0,,,,,79.0,,,,,Latin America & Caribbean
1995,90.0,89.0,72.0,,,,,78.0,,,,,Latin America & Caribbean
1994,86.0,90.0,74.0,,,,,76.0,,,,,Latin America & Caribbean
1993,82.0,91.0,75.0,,,,,75.0,,,,,Latin America & Caribbean
1992,78.0,90.0,73.0,,,,,73.0,,,,,Latin America & Caribbean
1991,74.0,88.0,71.0,,,,,72.0,,,,,Latin America & Caribbean
1990,70.0,87.0,69.0,,,,,70.0,,,,,Latin America & Caribbean
1989,63.0,80.0,58.0,,,,,65.0,,,,,Latin America & Caribbean
1988,60.0,80.0,69.0,,,,,29.0,,,,,Latin America & Caribbean
1987,57.0,93.0,80.0,,,,,71.0,,,,,Latin America & Caribbean
1986,54.0,93.0,80.0,,,,,71.0,,,,,Latin America & Caribbean
1985,51.0,64.0,39.0,,,,,54.0,,,,,Latin America & Caribbean
1984,43.0,59.0,34.0,,,,,19.0,,,,,Latin America & Caribbean
1983,41.0,54.0,29.0,,,,,24.0,,,,,Latin America & Caribbean
1982,38.0,53.0,28.0,,,,,25.0,,,,,Latin America & Caribbean
1981,34.0,52.0,27.0,,,,,18.0,,,,,Latin America & Caribbean
1980,29.0,61.0,36.0,,,,,30.0,,,,,Latin America & Caribbean
