Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,90.0,86.0,85.0,85.0,70.0,85.0,69.0,83.0,74.0,85.0,83.0,85.0,85.0,Latin America & Caribbean
2017,88.0,95.0,85.0,85.0,61.0,85.0,83.0,81.0,73.0,84.0,81.0,84.0,84.0,Latin America & Caribbean
2016,84.0,94.0,83.0,83.0,68.0,83.0,79.0,86.0,64.0,84.0,86.0,80.0,81.0,Latin America & Caribbean
2015,88.0,80.0,78.0,78.0,75.0,78.0,3.0,84.0,76.0,81.0,84.0,78.0,78.0,Latin America & Caribbean
2014,89.0,84.0,83.0,83.0,79.0,83.0,,85.0,59.0,86.0,85.0,81.0,86.0,Latin America & Caribbean
2013,90.0,87.0,87.0,87.0,69.0,87.0,,97.0,70.0,90.0,97.0,83.0,73.0,Latin America & Caribbean
2012,94.0,88.0,87.0,88.0,16.0,87.0,,96.0,81.0,94.0,96.0,87.0,74.0,Latin America & Caribbean
2011,98.0,89.0,88.0,88.0,,88.0,,94.0,92.0,71.0,94.0,90.0,74.0,Latin America & Caribbean
2010,98.0,91.0,91.0,90.0,,90.0,,95.0,91.0,17.0,95.0,94.0,81.0,Latin America & Caribbean
2009,99.0,98.0,94.0,91.0,,93.0,,97.0,99.0,,97.0,97.0,5.0,Latin America & Caribbean
2008,98.0,98.0,96.0,93.0,,95.0,,98.0,,,98.0,82.0,5.0,Latin America & Caribbean
2007,99.0,98.0,96.0,94.0,,95.0,,98.0,,,98.0,,5.0,Latin America & Caribbean
2006,99.0,96.0,96.0,96.0,,94.0,,97.0,,,97.0,,5.0,Latin America & Caribbean
2005,99.0,96.0,92.0,92.0,,90.0,,93.0,,,93.0,,5.0,Latin America & Caribbean
2004,99.0,95.0,88.0,88.0,,86.0,,99.0,,,99.0,,5.0,Latin America & Caribbean
2003,99.0,95.0,87.0,82.0,,54.0,,99.0,,,99.0,,5.0,Latin America & Caribbean
2002,99.0,95.0,88.0,75.0,,,,99.0,,,99.0,,5.0,Latin America & Caribbean
2001,99.0,95.0,89.0,69.0,,,,99.0,,,99.0,,5.0,Latin America & Caribbean
2000,99.0,94.0,87.0,36.0,,,,99.0,,,99.0,,5.0,Latin America & Caribbean
1999,99.0,93.0,79.0,,,,,99.0,,,99.0,,,Latin America & Caribbean
1998,98.0,94.0,85.0,,,,,89.0,,,89.0,,,Latin America & Caribbean
1997,99.0,93.0,81.0,,,,,77.0,,,77.0,,,Latin America & Caribbean
1996,99.0,94.0,82.0,,,,,79.0,,,,,,Latin America & Caribbean
1995,99.0,94.0,83.0,,,,,81.0,,,,,,Latin America & Caribbean
1994,99.0,94.0,84.0,,,,,83.0,,,,,,Latin America & Caribbean
1993,99.0,95.0,85.0,,,,,85.0,,,,,,Latin America & Caribbean
1992,99.0,95.0,87.0,,,,,69.0,,,,,,Latin America & Caribbean
1991,82.0,81.0,59.0,,,,,54.0,,,,,,Latin America & Caribbean
1990,89.0,87.0,68.0,,,,,60.0,,,,,,Latin America & Caribbean
1989,91.0,78.0,55.0,,,,,57.0,,,,,,Latin America & Caribbean
1988,92.0,77.0,54.0,,,,,53.0,,,,,,Latin America & Caribbean
1987,85.0,75.0,51.0,,,,,47.0,,,,,,Latin America & Caribbean
1986,94.0,69.0,44.0,,,,,50.0,,,,,,Latin America & Caribbean
1985,99.0,66.0,41.0,,,,,51.0,,,,,,Latin America & Caribbean
1984,99.0,72.0,48.0,,,,,54.0,,,,,,Latin America & Caribbean
1983,85.0,56.0,31.0,,,,,34.0,,,,,,Latin America & Caribbean
1982,99.0,60.0,35.0,,,,,45.0,,,,,,Latin America & Caribbean
1981,82.0,51.0,26.0,,,,,31.0,,,,,,Latin America & Caribbean
1980,76.0,31.0,10.0,,,,,24.0,,,,,,Latin America & Caribbean
