Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,81.0,82.0,81.0,81.0,77.0,81.0,81.0,81.0,85.0,75.0,81.0,82.0,Latin America & Caribbean
2017,83.0,95.0,85.0,85.0,80.0,85.0,82.0,85.0,86.0,87.0,85.0,84.0,Latin America & Caribbean
2016,87.0,97.0,93.0,93.0,81.0,93.0,90.0,90.0,87.0,90.0,90.0,93.0,Latin America & Caribbean
2015,99.0,93.0,91.0,91.0,75.0,91.0,,95.0,88.0,98.0,95.0,93.0,Latin America & Caribbean
2014,85.0,96.0,94.0,93.0,,93.0,,95.0,85.0,86.0,95.0,96.0,Latin America & Caribbean
2013,90.0,97.0,92.0,92.0,,92.0,,94.0,85.0,92.0,94.0,92.0,Latin America & Caribbean
2012,90.0,92.0,92.0,92.0,,92.0,,93.0,95.0,94.0,93.0,93.0,Latin America & Caribbean
2011,95.0,90.0,89.0,89.0,,89.0,,89.0,81.0,98.0,89.0,90.0,Latin America & Caribbean
2010,96.0,90.0,89.0,89.0,,89.0,,92.0,78.0,69.0,92.0,90.0,Latin America & Caribbean
2009,99.0,97.0,91.0,91.0,,91.0,,91.0,82.0,,91.0,62.0,Latin America & Caribbean
2008,99.0,99.0,98.0,98.0,,98.0,,95.0,79.0,,95.0,83.0,Latin America & Caribbean
2007,99.0,99.0,99.0,99.0,,99.0,,99.0,86.0,,99.0,78.0,Latin America & Caribbean
2006,93.0,98.0,96.0,96.0,,96.0,,98.0,89.0,,98.0,25.0,Latin America & Caribbean
2005,84.0,96.0,89.0,89.0,,89.0,,99.0,85.0,,99.0,,Latin America & Caribbean
2004,94.0,96.0,90.0,90.0,,90.0,,93.0,80.0,,93.0,,Latin America & Caribbean
2003,91.0,98.0,94.0,94.0,,94.0,,90.0,77.0,,90.0,,Latin America & Caribbean
2002,92.0,93.0,81.0,81.0,,81.0,,93.0,,,93.0,,Latin America & Caribbean
2001,92.0,97.0,92.0,75.0,,,,95.0,,,95.0,,Latin America & Caribbean
2000,99.0,99.0,99.0,99.0,,,,97.0,,,97.0,,Latin America & Caribbean
1999,99.0,98.0,94.0,1.0,,,,94.0,,,94.0,,Latin America & Caribbean
1998,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1997,95.0,98.0,97.0,,,,,98.0,,,98.0,,Latin America & Caribbean
1996,98.0,98.0,96.0,,,,,94.0,,,,,Latin America & Caribbean
1995,99.0,99.0,99.0,,,,,93.0,,,,,Latin America & Caribbean
1994,82.0,96.0,90.0,,,,,80.0,,,,,Latin America & Caribbean
1993,79.0,92.0,79.0,,,,,86.0,,,,,Latin America & Caribbean
1992,62.0,82.0,60.0,,,,,55.0,,,,,Latin America & Caribbean
1991,67.0,82.0,61.0,,,,,54.0,,,,,Latin America & Caribbean
1990,75.0,93.0,80.0,,,,,98.0,,,,,Latin America & Caribbean
1989,62.0,84.0,64.0,,,,,73.0,,,,,Latin America & Caribbean
1988,56.0,84.0,63.0,,,,,63.0,,,,,Latin America & Caribbean
1987,55.0,77.0,53.0,,,,,48.0,,,,,Latin America & Caribbean
1986,51.0,74.0,50.0,,,,,51.0,,,,,Latin America & Caribbean
1985,50.0,78.0,55.0,,,,,71.0,,,,,Latin America & Caribbean
1984,22.0,56.0,31.0,,,,,41.0,,,,,Latin America & Caribbean
1983,48.0,45.0,21.0,,,,,46.0,,,,,Latin America & Caribbean
1982,46.0,67.0,42.0,,,,,43.0,,,,,Latin America & Caribbean
1981,47.0,67.0,42.0,,,,,44.0,,,,,Latin America & Caribbean
1980,56.0,69.0,44.0,,,,,45.0,,,,,Latin America & Caribbean
