Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,96.0,96.0,95.0,96.0,96.0,84.0,74.0,,84.0,,Latin America & Caribbean
2017,98.0,96.0,96.0,78.0,96.0,91.0,85.0,79.0,,85.0,,Latin America & Caribbean
2016,98.0,96.0,96.0,,96.0,90.0,95.0,85.0,,95.0,,Latin America & Caribbean
2015,94.0,92.0,92.0,,92.0,54.0,99.0,89.0,,99.0,,Latin America & Caribbean
2014,97.0,97.0,97.0,,97.0,,94.0,92.0,,94.0,,Latin America & Caribbean
2013,99.0,97.0,97.0,,97.0,,94.0,85.0,,94.0,,Latin America & Caribbean
2012,99.0,97.0,97.0,,97.0,,94.0,75.0,,94.0,,Latin America & Caribbean
2011,98.0,95.0,94.0,,95.0,,95.0,85.0,,95.0,,Latin America & Caribbean
2010,99.0,97.0,97.0,,97.0,,95.0,86.0,,95.0,,Latin America & Caribbean
2009,99.0,99.0,99.0,,99.0,,98.0,78.0,,98.0,,Latin America & Caribbean
2008,99.0,99.0,99.0,,99.0,,99.0,86.0,,99.0,,Latin America & Caribbean
2007,98.0,96.0,96.0,,96.0,,98.0,86.0,,98.0,,Latin America & Caribbean
2006,97.0,91.0,91.0,,91.0,,98.0,87.0,,98.0,,Latin America & Caribbean
2005,99.0,99.0,99.0,,99.0,,99.0,81.0,,99.0,,Latin America & Caribbean
2004,87.0,83.0,83.0,,83.0,,74.0,61.0,,74.0,,Latin America & Caribbean
2003,99.0,97.0,97.0,,97.0,,99.0,68.0,,99.0,,Latin America & Caribbean
2002,99.0,98.0,98.0,,98.0,,96.0,74.0,,96.0,,Latin America & Caribbean
2001,98.0,96.0,96.0,,96.0,,99.0,,,99.0,,Latin America & Caribbean
2000,99.0,97.0,,,33.0,,92.0,,,92.0,,Latin America & Caribbean
1999,96.0,88.0,,,,,94.0,,,94.0,,Latin America & Caribbean
1998,99.0,97.0,,,,,97.0,,,97.0,,Latin America & Caribbean
1997,98.0,95.0,,,,,92.0,,,92.0,,Latin America & Caribbean
1996,93.0,80.0,,,,,85.0,,,85.0,,Latin America & Caribbean
1995,98.0,95.0,,,,,88.0,,,88.0,,Latin America & Caribbean
1994,97.0,91.0,,,,,87.0,,,87.0,,Latin America & Caribbean
1993,96.0,89.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1992,96.0,90.0,,,,,73.0,,,,,Latin America & Caribbean
1991,95.0,85.0,,,,,96.0,,,,,Latin America & Caribbean
1990,93.0,80.0,,,,,85.0,,,,,Latin America & Caribbean
1989,95.0,87.0,,,,,89.0,,,,,Latin America & Caribbean
1988,85.0,65.0,,,,,48.0,,,,,Latin America & Caribbean
1987,93.0,80.0,,,,,77.0,,,,,Latin America & Caribbean
1986,98.0,98.0,,,,,62.0,,,,,Latin America & Caribbean
1985,82.0,61.0,,,,,49.0,,,,,Latin America & Caribbean
1984,91.0,76.0,,,,,31.0,,,,,Latin America & Caribbean
1983,87.0,68.0,,,,,7.0,,,,,Latin America & Caribbean
1982,79.0,56.0,,,,,5.0,,,,,Latin America & Caribbean
1981,68.0,43.0,,,,,,,,,,Latin America & Caribbean
1980,50.0,25.0,,,,,,,,,,Latin America & Caribbean
