Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,88.0,94.0,86.0,86.0,48.0,86.0,94.0,87.0,76.0,85.0,87.0,87.0,Latin America & Caribbean
2017,81.0,88.0,82.0,82.0,45.0,82.0,88.0,86.0,81.0,84.0,86.0,80.0,Latin America & Caribbean
2016,87.0,96.0,80.0,80.0,38.0,80.0,91.0,86.0,65.0,81.0,86.0,82.0,Latin America & Caribbean
2015,89.0,99.0,74.0,74.0,32.0,74.0,,77.0,,82.0,77.0,79.0,Latin America & Caribbean
2014,91.0,89.0,73.0,73.0,22.0,73.0,,67.0,,51.0,67.0,54.0,Latin America & Caribbean
2013,88.0,97.0,85.0,85.0,32.0,85.0,,85.0,,24.0,85.0,81.0,Latin America & Caribbean
2012,94.0,96.0,96.0,96.0,35.0,96.0,,93.0,,,93.0,81.0,Latin America & Caribbean
2011,91.0,94.0,88.0,88.0,31.0,85.0,,89.0,,,89.0,71.0,Latin America & Caribbean
2010,99.0,96.0,94.0,94.0,15.0,94.0,,93.0,,,93.0,38.0,Latin America & Caribbean
2009,93.0,94.0,92.0,92.0,,92.0,,92.0,,,92.0,,Latin America & Caribbean
2008,99.0,99.0,95.0,95.0,,95.0,,96.0,,,96.0,,Latin America & Caribbean
2007,88.0,88.0,85.0,85.0,,85.0,,86.0,,,86.0,,Latin America & Caribbean
2006,96.0,95.0,89.0,89.0,,89.0,,95.0,,,95.0,,Latin America & Caribbean
2005,96.0,97.0,87.0,87.0,,87.0,,93.0,,,93.0,,Latin America & Caribbean
2004,98.0,98.0,87.0,,,,,95.0,,,95.0,,Latin America & Caribbean
2003,97.0,96.0,84.0,,,,,94.0,,,94.0,,Latin America & Caribbean
2002,96.0,93.0,82.0,,,,,92.0,,,92.0,,Latin America & Caribbean
2001,93.0,93.0,77.0,,,,,91.0,,,91.0,,Latin America & Caribbean
2000,95.0,94.0,81.0,,,,,86.0,,,,,Latin America & Caribbean
1999,93.0,91.0,77.0,,,,,83.0,,,,,Latin America & Caribbean
1998,89.0,94.0,78.0,,,,,79.0,,,,,Latin America & Caribbean
1997,88.0,90.0,73.0,,,,,74.0,,,,,Latin America & Caribbean
1996,76.0,86.0,66.0,,,,,69.0,,,,,Latin America & Caribbean
1995,79.0,91.0,77.0,,,,,83.0,,,,,Latin America & Caribbean
1994,78.0,88.0,71.0,,,,,66.0,,,,,Latin America & Caribbean
1993,69.0,91.0,75.0,,,,,71.0,,,,,Latin America & Caribbean
1992,57.0,86.0,66.0,,,,,59.0,,,,,Latin America & Caribbean
1991,43.0,84.0,63.0,,,,,49.0,,,,,Latin America & Caribbean
1990,62.0,86.0,66.0,,,,,68.0,,,,,Latin America & Caribbean
1989,21.0,74.0,50.0,,,,,60.0,,,,,Latin America & Caribbean
1988,41.0,72.0,47.0,,,,,55.0,,,,,Latin America & Caribbean
1987,34.0,39.0,16.0,,,,,24.0,,,,,Latin America & Caribbean
1986,32.0,62.0,37.0,,,,,55.0,,,,,Latin America & Caribbean
1985,30.0,45.0,21.0,,,,,23.0,,,,,Latin America & Caribbean
1984,33.0,72.0,48.0,,,,,24.0,,,,,Latin America & Caribbean
1983,24.0,69.0,44.0,,,,,9.0,,,,,Latin America & Caribbean
1982,28.0,70.0,45.0,,,,,12.0,,,,,Latin America & Caribbean
1981,29.0,67.0,42.0,,,,,8.0,,,,,Latin America & Caribbean
1980,36.0,68.0,43.0,,,,,23.0,,,,,Latin America & Caribbean
