Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,99.0,99.0,95.0,95.0,,95.0,97.0,98.0,84.0,91.0,98.0,91.0,96.0,Latin America & Caribbean
2017,97.0,97.0,97.0,97.0,,97.0,94.0,99.0,93.0,97.0,99.0,97.0,99.0,Latin America & Caribbean
2016,95.0,97.0,97.0,97.0,,97.0,98.0,99.0,94.0,92.0,99.0,96.0,99.0,Latin America & Caribbean
2015,99.0,96.0,95.0,95.0,,95.0,31.0,99.0,95.0,94.0,99.0,96.0,99.0,Latin America & Caribbean
2014,99.0,99.0,98.0,98.0,,98.0,,99.0,91.0,97.0,99.0,95.0,99.0,Latin America & Caribbean
2013,98.0,98.0,98.0,98.0,,98.0,,99.0,95.0,96.0,99.0,94.0,99.0,Latin America & Caribbean
2012,98.0,99.0,97.0,97.0,,97.0,,99.0,90.0,90.0,99.0,91.0,99.0,Latin America & Caribbean
2011,97.0,97.0,93.0,93.0,,93.0,,98.0,84.0,50.0,98.0,77.0,97.0,Latin America & Caribbean
2010,98.0,99.0,95.0,95.0,,95.0,,95.0,82.0,,95.0,39.0,94.0,Latin America & Caribbean
2009,98.0,99.0,98.0,98.0,,98.0,,97.0,84.0,,97.0,,97.0,Latin America & Caribbean
2008,96.0,94.0,93.0,93.0,,93.0,,95.0,84.0,,95.0,,97.0,Latin America & Caribbean
2007,97.0,96.0,94.0,94.0,,94.0,,96.0,90.0,,96.0,,96.0,Latin America & Caribbean
2006,96.0,95.0,93.0,93.0,,93.0,,90.0,74.0,,90.0,,90.0,Latin America & Caribbean
2005,96.0,93.0,93.0,93.0,,93.0,,92.0,72.0,,92.0,,91.0,Latin America & Caribbean
2004,94.0,97.0,91.0,91.0,,91.0,,88.0,63.0,,88.0,,89.0,Latin America & Caribbean
2003,95.0,93.0,90.0,90.0,,90.0,,89.0,71.0,,89.0,,89.0,Latin America & Caribbean
2002,91.0,96.0,91.0,91.0,,91.0,,93.0,80.0,,93.0,,90.0,Latin America & Caribbean
2001,95.0,98.0,85.0,85.0,,85.0,,92.0,88.0,,92.0,,90.0,Latin America & Caribbean
2000,93.0,97.0,88.0,,,,,86.0,,,86.0,,83.0,Latin America & Caribbean
1999,91.0,97.0,83.0,,,,,87.0,,,87.0,,45.0,Latin America & Caribbean
1998,92.0,97.0,90.0,,,,,93.0,,,93.0,,7.0,Latin America & Caribbean
1997,94.0,96.0,88.0,,,,,82.0,,,82.0,,,Latin America & Caribbean
1996,88.0,94.0,83.0,,,,,91.0,,,91.0,,,Latin America & Caribbean
1995,93.0,95.0,86.0,,,,,77.0,,,77.0,,,Latin America & Caribbean
1994,94.0,96.0,90.0,,,,,83.0,,,,,,Latin America & Caribbean
1993,94.0,97.0,93.0,,,,,92.0,,,,,,Latin America & Caribbean
1992,88.0,92.0,79.0,,,,,73.0,,,,,,Latin America & Caribbean
1991,89.0,93.0,81.0,,,,,76.0,,,,,,Latin America & Caribbean
1990,85.0,94.0,83.0,,,,,73.0,,,,,,Latin America & Caribbean
1989,76.0,91.0,77.0,,,,,69.0,,,,,,Latin America & Caribbean
1988,64.0,84.0,64.0,,,,,55.0,,,,,,Latin America & Caribbean
1987,69.0,86.0,67.0,,,,,52.0,,,,,,Latin America & Caribbean
1986,76.0,84.0,64.0,,,,,42.0,,,,,,Latin America & Caribbean
1985,98.0,91.0,75.0,,,,,40.0,,,,,,Latin America & Caribbean
1984,49.0,88.0,70.0,,,,,56.0,,,,,,Latin America & Caribbean
1983,76.0,79.0,58.0,,,,,51.0,,,,,,Latin America & Caribbean
1982,78.0,77.0,53.0,,,,,68.0,,,,,,Latin America & Caribbean
1981,73.0,70.0,45.0,,,,,,,,,,,Latin America & Caribbean
1980,68.0,60.0,35.0,,,,,,,,,,,Latin America & Caribbean
