Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,83.0,84.0,64.0,64.0,,64.0,66.0,69.0,38.0,1.0,69.0,58.0,Latin America & Caribbean
2017,83.0,84.0,64.0,64.0,,64.0,66.0,69.0,25.0,,69.0,58.0,Latin America & Caribbean
2016,83.0,84.0,64.0,64.0,,64.0,45.0,69.0,26.0,,69.0,58.0,Latin America & Caribbean
2015,83.0,84.0,64.0,64.0,,64.0,,69.0,,,69.0,58.0,Latin America & Caribbean
2014,81.0,79.0,63.0,63.0,,63.0,,69.0,,,69.0,23.0,Latin America & Caribbean
2013,82.0,82.0,65.0,68.0,,68.0,,68.0,,,68.0,,Latin America & Caribbean
2012,82.0,85.0,66.0,,,,,66.0,,,66.0,,Latin America & Caribbean
2011,83.0,88.0,68.0,,,,,65.0,,,65.0,,Latin America & Caribbean
2010,82.0,87.0,67.0,,,,,64.0,,,64.0,,Latin America & Caribbean
2009,80.0,86.0,65.0,,,,,63.0,,,63.0,,Latin America & Caribbean
2008,78.0,86.0,64.0,,,,,62.0,,,62.0,,Latin America & Caribbean
2007,78.0,85.0,64.0,,,,,60.0,,,,,Latin America & Caribbean
2006,75.0,84.0,62.0,,,,,59.0,,,,,Latin America & Caribbean
2005,75.0,83.0,60.0,,,,,58.0,,,,,Latin America & Caribbean
2004,74.0,81.0,57.0,,,,,57.0,,,,,Latin America & Caribbean
2003,74.0,79.0,53.0,,,,,57.0,,,,,Latin America & Caribbean
2002,73.0,77.0,50.0,,,,,56.0,,,,,Latin America & Caribbean
2001,72.0,75.0,46.0,,,,,55.0,,,,,Latin America & Caribbean
2000,72.0,73.0,43.0,,,,,55.0,,,,,Latin America & Caribbean
1999,71.0,71.0,39.0,,,,,54.0,,,,,Latin America & Caribbean
1998,72.0,69.0,41.0,,,,,53.0,,,,,Latin America & Caribbean
1997,72.0,66.0,42.0,,,,,52.0,,,,,Latin America & Caribbean
1996,72.0,75.0,42.0,,,,,50.0,,,,,Latin America & Caribbean
1995,74.0,75.0,42.0,,,,,49.0,,,,,Latin America & Caribbean
1994,73.0,75.0,41.0,,,,,48.0,,,,,Latin America & Caribbean
1993,73.0,73.0,39.0,,,,,44.0,,,,,Latin America & Caribbean
1992,73.0,72.0,38.0,,,,,39.0,,,,,Latin America & Caribbean
1991,72.0,70.0,36.0,,,,,35.0,,,,,Latin America & Caribbean
1990,72.0,66.0,41.0,,,,,31.0,,,,,Latin America & Caribbean
1989,69.0,74.0,50.0,,,,,31.0,,,,,Latin America & Caribbean
1988,66.0,72.0,48.0,,,,,59.0,,,,,Latin America & Caribbean
1987,72.0,53.0,28.0,,,,,23.0,,,,,Latin America & Caribbean
1986,76.0,48.0,24.0,,,,,26.0,,,,,Latin America & Caribbean
1985,71.0,42.0,19.0,,,,,21.0,,,,,Latin America & Caribbean
1984,71.0,36.0,14.0,,,,,8.0,,,,,Latin America & Caribbean
1983,62.0,29.0,9.0,,,,,6.0,,,,,Latin America & Caribbean
1982,58.0,35.0,13.0,,,,,3.0,,,,,Latin America & Caribbean
1981,60.0,36.0,14.0,,,,,,,,,,Latin America & Caribbean
1980,,21.0,3.0,,,,,,,,,,Latin America & Caribbean
