Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,94.0,94.0,90.0,90.0,79.0,90.0,94.0,89.0,94.0,90.0,89.0,91.0,Latin America & Caribbean
2017,93.0,93.0,89.0,89.0,75.0,89.0,93.0,96.0,,89.0,96.0,90.0,Latin America & Caribbean
2016,94.0,94.0,94.0,94.0,80.0,94.0,94.0,96.0,,94.0,96.0,95.0,Latin America & Caribbean
2015,95.0,99.0,98.0,98.0,80.0,98.0,9.0,96.0,,99.0,96.0,99.0,Latin America & Caribbean
2014,96.0,99.0,98.0,98.0,79.0,98.0,,96.0,,99.0,96.0,99.0,Latin America & Caribbean
2013,97.0,99.0,98.0,98.0,79.0,98.0,,97.0,,99.0,97.0,98.0,Latin America & Caribbean
2012,98.0,98.0,98.0,98.0,78.0,98.0,,97.0,,97.0,97.0,98.0,Latin America & Caribbean
2011,99.0,99.0,97.0,97.0,77.0,97.0,,97.0,,78.0,97.0,97.0,Latin America & Caribbean
2010,99.0,99.0,97.0,97.0,78.0,97.0,,98.0,,,98.0,97.0,Latin America & Caribbean
2009,99.0,99.0,97.0,97.0,72.0,97.0,,98.0,,,98.0,81.0,Latin America & Caribbean
2008,99.0,97.0,93.0,92.0,61.0,92.0,,93.0,,,93.0,,Latin America & Caribbean
2007,99.0,94.0,94.0,93.0,44.0,93.0,,94.0,,,94.0,,Latin America & Caribbean
2006,97.0,96.0,95.0,94.0,,94.0,,95.0,,,95.0,,Latin America & Caribbean
2005,98.0,99.0,98.0,97.0,,97.0,,96.0,,,96.0,,Latin America & Caribbean
2004,98.0,98.0,94.0,93.0,,93.0,,92.0,,,92.0,,Latin America & Caribbean
2003,91.0,97.0,92.0,91.0,,91.0,,95.0,,,95.0,,Latin America & Caribbean
2002,94.0,98.0,95.0,94.0,,94.0,,97.0,,,97.0,,Latin America & Caribbean
2001,99.0,98.0,96.0,95.0,,95.0,,99.0,,,99.0,,Latin America & Caribbean
2000,99.0,98.0,94.0,93.0,,93.0,,98.0,,,98.0,,Latin America & Caribbean
1999,93.0,98.0,95.0,,,,,98.0,,,98.0,,Latin America & Caribbean
1998,96.0,99.0,97.0,,,,,98.0,,,98.0,,Latin America & Caribbean
1997,99.0,96.0,95.0,,,,,89.0,,,89.0,,Latin America & Caribbean
1996,99.0,97.0,94.0,,,,,91.0,,,,,Latin America & Caribbean
1995,97.0,97.0,94.0,,,,,89.0,,,,,Latin America & Caribbean
1994,99.0,97.0,94.0,,,,,93.0,,,,,Latin America & Caribbean
1993,95.0,97.0,94.0,,,,,94.0,,,,,Latin America & Caribbean
1992,92.0,97.0,93.0,,,,,89.0,,,,,Latin America & Caribbean
1991,99.0,97.0,94.0,,,,,86.0,,,,,Latin America & Caribbean
1990,70.0,94.0,84.0,,,,,90.0,,,,,Latin America & Caribbean
1989,80.0,95.0,85.0,,,,,94.0,,,,,Latin America & Caribbean
1988,64.0,90.0,74.0,,,,,76.0,,,,,Latin America & Caribbean
1987,66.0,80.0,58.0,,,,,57.0,,,,,Latin America & Caribbean
1986,72.0,83.0,62.0,,,,,60.0,,,,,Latin America & Caribbean
1985,65.0,80.0,58.0,,,,,53.0,,,,,Latin America & Caribbean
1984,41.0,66.0,41.0,,,,,44.0,,,,,Latin America & Caribbean
1983,55.0,76.0,52.0,,,,,49.0,,,,,Latin America & Caribbean
1982,50.0,71.0,46.0,,,,,48.0,,,,,Latin America & Caribbean
1981,41.0,59.0,34.0,,,,,34.0,,,,,Latin America & Caribbean
1980,25.0,53.0,28.0,,,,,31.0,,,,,Latin America & Caribbean
