Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,93.0,99.0,97.0,97.0,,98.0,95.0,89.0,82.0,,89.0,,Latin America & Caribbean
2017,93.0,95.0,93.0,93.0,,93.0,95.0,95.0,95.0,,95.0,,Latin America & Caribbean
2016,96.0,99.0,99.0,98.0,,99.0,95.0,95.0,85.0,,95.0,,Latin America & Caribbean
2015,99.0,97.0,91.0,91.0,,91.0,33.0,91.0,83.0,,91.0,,Latin America & Caribbean
2014,90.0,97.0,92.0,92.0,,92.0,,92.0,72.0,,92.0,,Latin America & Caribbean
2013,93.0,97.0,93.0,93.0,,93.0,,94.0,71.0,,94.0,,Latin America & Caribbean
2012,95.0,98.0,96.0,96.0,,96.0,,93.0,76.0,,93.0,,Latin America & Caribbean
2011,95.0,94.0,92.0,92.0,,91.0,,88.0,60.0,,88.0,,Latin America & Caribbean
2010,95.0,98.0,94.0,94.0,,94.0,,89.0,56.0,,89.0,,Latin America & Caribbean
2009,94.0,91.0,90.0,90.0,,90.0,,88.0,78.0,,88.0,,Latin America & Caribbean
2008,92.0,97.0,91.0,92.0,,91.0,,88.0,80.0,,88.0,,Latin America & Caribbean
2007,87.0,97.0,92.0,92.0,,91.0,,76.0,84.0,,76.0,,Latin America & Caribbean
2006,90.0,96.0,95.0,97.0,,97.0,,87.0,88.0,,87.0,,Latin America & Caribbean
2005,95.0,99.0,99.0,99.0,,99.0,,84.0,91.0,,84.0,,Latin America & Caribbean
2004,90.0,99.0,98.0,98.0,,98.0,,86.0,95.0,,86.0,,Latin America & Caribbean
2003,88.0,98.0,96.0,36.0,,35.0,,78.0,95.0,,78.0,,Latin America & Caribbean
2002,90.0,99.0,99.0,,,,,86.0,96.0,,86.0,,Latin America & Caribbean
2001,96.0,99.0,99.0,,,,,85.0,96.0,,85.0,,Latin America & Caribbean
2000,94.0,97.0,93.0,,,,,88.0,,,88.0,,Latin America & Caribbean
1999,89.0,96.0,89.0,,,,,82.0,,,82.0,,Latin America & Caribbean
1998,85.0,92.0,86.0,,,,,88.0,,,88.0,,Latin America & Caribbean
1997,97.0,96.0,90.0,,,,,88.0,,,88.0,,Latin America & Caribbean
1996,98.0,97.0,92.0,,,,,96.0,,,96.0,,Latin America & Caribbean
1995,98.0,96.0,90.0,,,,,90.0,,,90.0,,Latin America & Caribbean
1994,99.0,97.0,93.0,,,,,82.0,,,82.0,,Latin America & Caribbean
1993,99.0,97.0,91.0,,,,,80.0,,,80.0,,Latin America & Caribbean
1992,85.0,95.0,84.0,,,,,63.0,,,,,Latin America & Caribbean
1991,94.0,95.0,85.0,,,,,77.0,,,,,Latin America & Caribbean
1990,98.0,95.0,86.0,,,,,74.0,,,,,Latin America & Caribbean
1989,99.0,95.0,85.0,,,,,71.0,,,,,Latin America & Caribbean
1988,96.0,94.0,82.0,,,,,68.0,,,,,Latin America & Caribbean
1987,92.0,93.0,81.0,,,,,62.0,,,,,Latin America & Caribbean
1986,73.0,90.0,74.0,,,,,36.0,,,,,Latin America & Caribbean
1985,51.0,82.0,60.0,,,,,64.0,,,,,Latin America & Caribbean
1984,50.0,80.0,58.0,,,,,60.0,,,,,Latin America & Caribbean
1983,56.0,75.0,51.0,,,,,15.0,,,,,Latin America & Caribbean
1982,27.0,59.0,34.0,,,,,12.0,,,,,Latin America & Caribbean
1981,32.0,64.0,39.0,,,,,,,,,,Latin America & Caribbean
1980,38.0,48.0,24.0,,,,,,,,,,Latin America & Caribbean
