Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,90.0,88.0,55.0,98.0,88.0,90.0,97.0,99.0,88.0,97.0,77.0,Latin America & Caribbean
2017,94.0,93.0,85.0,58.0,98.0,85.0,93.0,76.0,62.0,92.0,76.0,70.0,Latin America & Caribbean
2016,99.0,96.0,93.0,93.0,98.0,93.0,96.0,96.0,98.0,92.0,96.0,72.0,Latin America & Caribbean
2015,98.0,99.0,87.0,82.0,98.0,87.0,99.0,97.0,96.0,93.0,97.0,81.0,Latin America & Caribbean
2014,96.0,95.0,87.0,84.0,90.0,87.0,,97.0,95.0,94.0,97.0,85.0,Latin America & Caribbean
2013,91.0,90.0,83.0,82.0,82.0,83.0,,89.0,76.0,84.0,89.0,81.0,Latin America & Caribbean
2012,99.0,99.0,99.0,99.0,90.0,99.0,,99.0,92.0,99.0,99.0,99.0,Latin America & Caribbean
2011,99.0,99.0,97.0,98.0,98.0,97.0,,98.0,97.0,98.0,98.0,98.0,Latin America & Caribbean
2010,98.0,96.0,95.0,93.0,84.0,95.0,,95.0,91.0,92.0,95.0,90.0,Latin America & Caribbean
2009,99.0,98.0,95.0,95.0,,95.0,,96.0,92.0,46.0,96.0,93.0,Latin America & Caribbean
2008,99.0,98.0,96.0,97.0,,96.0,,96.0,94.0,14.0,96.0,47.0,Latin America & Caribbean
2007,99.0,99.0,98.0,98.0,,98.0,,96.0,85.0,,96.0,,Latin America & Caribbean
2006,99.0,99.0,98.0,98.0,,98.0,,96.0,91.0,,96.0,,Latin America & Caribbean
2005,99.0,99.0,98.0,98.0,,98.0,,96.0,97.0,,96.0,,Latin America & Caribbean
2004,99.0,99.0,98.0,98.0,,98.0,,96.0,97.0,,96.0,,Latin America & Caribbean
2003,99.0,99.0,98.0,98.0,,98.0,,96.0,96.0,,96.0,,Latin America & Caribbean
2002,99.0,99.0,97.0,97.0,,97.0,,96.0,89.0,,96.0,,Latin America & Caribbean
2001,99.0,99.0,97.0,97.0,,97.0,,95.0,99.0,,95.0,,Latin America & Caribbean
2000,99.0,99.0,97.0,97.0,,97.0,,96.0,98.0,,96.0,,Latin America & Caribbean
1999,99.0,99.0,96.0,,,,,94.0,,,94.0,,Latin America & Caribbean
1998,99.0,98.0,96.0,,,,,96.0,,,96.0,,Latin America & Caribbean
1997,99.0,98.0,95.0,,,,,91.0,,,,,Latin America & Caribbean
1996,99.0,98.0,95.0,,,,,93.0,,,,,Latin America & Caribbean
1995,98.0,97.0,91.0,,,,,90.0,,,,,Latin America & Caribbean
1994,97.0,97.0,91.0,,,,,90.0,,,,,Latin America & Caribbean
1993,93.0,94.0,82.0,,,,,79.0,,,,,Latin America & Caribbean
1992,94.0,96.0,90.0,,,,,88.0,,,,,Latin America & Caribbean
1991,89.0,96.0,88.0,,,,,89.0,,,,,Latin America & Caribbean
1990,67.0,77.0,53.0,,,,,75.0,,,,,Latin America & Caribbean
1989,80.0,85.0,65.0,,,,,85.0,,,,,Latin America & Caribbean
1988,72.0,82.0,60.0,,,,,70.0,,,,,Latin America & Caribbean
1987,71.0,83.0,62.0,,,,,54.0,,,,,Latin America & Caribbean
1986,54.0,75.0,51.0,,,,,60.0,,,,,Latin America & Caribbean
1985,16.0,65.0,40.0,,,,,64.0,,,,,Latin America & Caribbean
1984,47.0,76.0,52.0,,,,,21.0,,,,,Latin America & Caribbean
1983,52.0,66.0,41.0,,,,,23.0,,,,,Latin America & Caribbean
1982,50.0,65.0,40.0,,,,,37.0,,,,,Latin America & Caribbean
1981,41.0,68.0,43.0,,,,,33.0,,,,,Latin America & Caribbean
1980,48.0,69.0,44.0,,,,,35.0,,,,,Latin America & Caribbean
