Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,99.0,98.0,98.0,,98.0,99.0,99.0,95.0,98.0,99.0,98.0,Latin America & Caribbean
2017,98.0,99.0,98.0,98.0,,98.0,99.0,99.0,84.0,98.0,99.0,98.0,Latin America & Caribbean
2016,98.0,99.0,98.0,98.0,,98.0,99.0,99.0,,98.0,99.0,98.0,Latin America & Caribbean
2015,98.0,99.0,98.0,98.0,,98.0,9.0,99.0,,98.0,99.0,98.0,Latin America & Caribbean
2014,98.0,99.0,98.0,98.0,,98.0,,99.0,,98.0,99.0,98.0,Latin America & Caribbean
2013,98.0,99.0,98.0,98.0,,98.0,,99.0,,98.0,99.0,98.0,Latin America & Caribbean
2012,98.0,99.0,98.0,98.0,,98.0,,99.0,,98.0,99.0,98.0,Latin America & Caribbean
2011,98.0,99.0,98.0,98.0,,98.0,,99.0,,61.0,99.0,98.0,Latin America & Caribbean
2010,98.0,99.0,98.0,98.0,,98.0,,99.0,,,99.0,98.0,Latin America & Caribbean
2009,98.0,99.0,98.0,98.0,,98.0,,99.0,,,99.0,94.0,Latin America & Caribbean
2008,98.0,99.0,97.0,97.0,,97.0,,99.0,,,99.0,89.0,Latin America & Caribbean
2007,98.0,94.0,93.0,93.0,,93.0,,99.0,,,99.0,66.0,Latin America & Caribbean
2006,98.0,94.0,88.0,88.0,,88.0,,99.0,,,99.0,,Latin America & Caribbean
2005,88.0,92.0,86.0,86.0,,86.0,,96.0,,,96.0,,Latin America & Caribbean
2004,88.0,80.0,79.0,79.0,,79.0,,84.0,,,84.0,,Latin America & Caribbean
2003,94.0,86.0,86.0,86.0,,86.0,,93.0,,,93.0,,Latin America & Caribbean
2002,93.0,88.0,85.0,85.0,,85.0,,98.0,,,98.0,,Latin America & Caribbean
2001,97.0,92.0,87.0,87.0,,87.0,,99.0,,,99.0,,Latin America & Caribbean
2000,96.0,97.0,83.0,83.0,,83.0,,86.0,,,86.0,,Latin America & Caribbean
1999,99.0,96.0,79.0,80.0,,80.0,,87.0,,,87.0,,Latin America & Caribbean
1998,92.0,94.0,73.0,,,,,91.0,,,91.0,,Latin America & Caribbean
1997,95.0,93.0,80.0,,,,,86.0,,,,,Latin America & Caribbean
1996,94.0,93.0,80.0,,,,,85.0,,,,,Latin America & Caribbean
1995,93.0,93.0,80.0,,,,,85.0,,,,,Latin America & Caribbean
1994,92.0,93.0,81.0,,,,,84.0,,,,,Latin America & Caribbean
1993,91.0,93.0,81.0,,,,,84.0,,,,,Latin America & Caribbean
1992,91.0,93.0,81.0,,,,,83.0,,,,,Latin America & Caribbean
1991,74.0,91.0,75.0,,,,,54.0,,,,,Latin America & Caribbean
1990,84.0,88.0,70.0,,,,,82.0,,,,,Latin America & Caribbean
1989,94.0,87.0,68.0,,,,,63.0,,,,,Latin America & Caribbean
1988,91.0,72.0,47.0,,,,,63.0,,,,,Latin America & Caribbean
1987,94.0,75.0,51.0,,,,,47.0,,,,,Latin America & Caribbean
1986,99.0,70.0,45.0,,,,,51.0,,,,,Latin America & Caribbean
1985,99.0,64.0,39.0,,,,,59.0,,,,,Latin America & Caribbean
1984,98.0,58.0,33.0,,,,,56.0,,,,,Latin America & Caribbean
1983,89.0,48.0,24.0,,,,,41.0,,,,,Latin America & Caribbean
1982,83.0,52.0,27.0,,,,,40.0,,,,,Latin America & Caribbean
1981,66.0,47.0,23.0,,,,,20.0,,,,,Latin America & Caribbean
1980,34.0,39.0,16.0,,,,,15.0,,,,,Latin America & Caribbean
