Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,99.0,96.0,88.0,88.0,85.0,88.0,96.0,98.0,99.0,92.0,98.0,95.0,6.0,Latin America & Caribbean
2017,99.0,96.0,81.0,81.0,87.0,81.0,96.0,98.0,93.0,90.0,98.0,94.0,6.0,Latin America & Caribbean
2016,99.0,96.0,86.0,86.0,84.0,86.0,96.0,95.0,93.0,83.0,95.0,92.0,6.0,Latin America & Caribbean
2015,99.0,96.0,73.0,73.0,85.0,73.0,80.0,93.0,92.0,82.0,93.0,87.0,5.0,Latin America & Caribbean
2014,99.0,96.0,80.0,80.0,84.0,80.0,,90.0,90.0,75.0,90.0,87.0,5.0,Latin America & Caribbean
2013,95.0,93.0,80.0,80.0,79.0,80.0,,92.0,68.0,68.0,92.0,87.0,4.0,Latin America & Caribbean
2012,98.0,99.0,85.0,85.0,87.0,85.0,,98.0,72.0,62.0,98.0,92.0,5.0,Latin America & Caribbean
2011,99.0,98.0,87.0,87.0,93.0,87.0,,97.0,81.0,55.0,97.0,95.0,,Latin America & Caribbean
2010,99.0,96.0,94.0,94.0,89.0,94.0,,97.0,73.0,48.0,97.0,89.0,,Latin America & Caribbean
2009,99.0,95.0,85.0,85.0,78.0,85.0,,96.0,76.0,,96.0,78.0,,Latin America & Caribbean
2008,98.0,93.0,86.0,86.0,80.0,86.0,,96.0,79.0,,96.0,74.0,,Latin America & Caribbean
2007,97.0,97.0,85.0,85.0,83.0,85.0,,95.0,83.0,,95.0,66.0,,Latin America & Caribbean
2006,98.0,96.0,88.0,88.0,79.0,88.0,,95.0,86.0,,95.0,82.0,,Latin America & Caribbean
2005,99.0,95.0,92.0,92.0,75.0,92.0,,99.0,89.0,,99.0,,,Latin America & Caribbean
2004,99.0,98.0,95.0,95.0,85.0,95.0,,97.0,89.0,,97.0,,,Latin America & Caribbean
2003,99.0,99.0,98.0,98.0,57.0,98.0,,95.0,89.0,,95.0,,,Latin America & Caribbean
2002,99.0,99.0,99.0,98.0,30.0,99.0,,95.0,88.0,,95.0,,,Latin America & Caribbean
2001,99.0,99.0,99.0,98.0,2.0,99.0,,95.0,88.0,,95.0,,,Latin America & Caribbean
2000,99.0,99.0,98.0,,,,,97.0,88.0,,97.0,,,Latin America & Caribbean
1999,99.0,96.0,92.0,,,,,90.0,,,90.0,,,Latin America & Caribbean
1998,99.0,99.0,98.0,,,,,96.0,,,96.0,,,Latin America & Caribbean
1997,99.0,98.0,95.0,,,,,92.0,,,92.0,,,Latin America & Caribbean
1996,99.0,97.0,91.0,,,,,90.0,,,90.0,,,Latin America & Caribbean
1995,99.0,95.0,86.0,,,,,84.0,,,84.0,,,Latin America & Caribbean
1994,95.0,94.0,83.0,,,,,84.0,,,84.0,,,Latin America & Caribbean
1993,92.0,94.0,83.0,,,,,83.0,,,83.0,,,Latin America & Caribbean
1992,84.0,91.0,77.0,,,,,76.0,,,76.0,,,Latin America & Caribbean
1991,87.0,94.0,82.0,,,,,80.0,,,,,,Latin America & Caribbean
1990,97.0,95.0,86.0,,,,,73.0,,,,,,Latin America & Caribbean
1989,87.0,88.0,70.0,,,,,73.0,,,,,,Latin America & Caribbean
1988,92.0,91.0,75.0,,,,,73.0,,,,,,Latin America & Caribbean
1987,90.0,89.0,72.0,,,,,78.0,,,,,,Latin America & Caribbean
1986,92.0,88.0,70.0,,,,,74.0,,,,,,Latin America & Caribbean
1985,94.0,90.0,73.0,,,,,84.0,,,,,,Latin America & Caribbean
1984,89.0,81.0,59.0,,,,,72.0,,,,,,Latin America & Caribbean
1983,81.0,82.0,60.0,,,,,85.0,,,,,,Latin America & Caribbean
1982,83.0,82.0,60.0,,,,,64.0,,,,,,Latin America & Caribbean
1981,98.0,92.0,78.0,,,,,76.0,,,,,,Latin America & Caribbean
1980,99.0,72.0,47.0,,,,,71.0,,,,,,Latin America & Caribbean
