Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,91.0,91.0,88.0,88.0,,88.0,91.0,93.0,83.0,94.0,93.0,91.0,99.0,Latin America & Caribbean
2017,96.0,95.0,91.0,91.0,,91.0,95.0,92.0,82.0,93.0,92.0,93.0,99.0,Latin America & Caribbean
2016,94.0,94.0,92.0,92.0,,92.0,94.0,85.0,87.0,99.0,85.0,91.0,99.0,Latin America & Caribbean
2015,96.0,96.0,92.0,92.0,,92.0,,78.0,72.0,90.0,78.0,91.0,93.0,Latin America & Caribbean
2014,96.0,95.0,93.0,93.0,,93.0,,84.0,76.0,86.0,84.0,90.0,85.0,Latin America & Caribbean
2013,91.0,97.0,91.0,90.0,,90.0,,88.0,76.0,90.0,88.0,86.0,97.0,Latin America & Caribbean
2012,93.0,94.0,91.0,91.0,,91.0,,88.0,75.0,82.0,88.0,87.0,87.0,Latin America & Caribbean
2011,94.0,95.0,92.0,91.0,,91.0,,91.0,78.0,,91.0,85.0,86.0,Latin America & Caribbean
2010,93.0,95.0,91.0,91.0,,91.0,,93.0,77.0,,93.0,56.0,86.0,Latin America & Caribbean
2009,91.0,94.0,86.0,85.0,,85.0,,91.0,77.0,,91.0,,76.0,Latin America & Caribbean
2008,94.0,96.0,89.0,87.0,,87.0,,91.0,84.0,,91.0,,,Latin America & Caribbean
2007,98.0,99.0,95.0,86.0,,88.0,,91.0,74.0,,91.0,,,Latin America & Caribbean
2006,99.0,99.0,98.0,92.0,,92.0,,91.0,61.0,,91.0,,,Latin America & Caribbean
2005,98.0,97.0,96.0,92.0,,93.0,,91.0,31.0,,91.0,,,Latin America & Caribbean
2004,97.0,94.0,92.0,90.0,,92.0,,91.0,,,91.0,,,Latin America & Caribbean
2003,88.0,95.0,86.0,86.0,,86.0,,91.0,,,91.0,,,Latin America & Caribbean
2002,83.0,95.0,87.0,,,,,86.0,,,86.0,,,Latin America & Caribbean
2001,86.0,96.0,89.0,,,,,90.0,,,90.0,,,Latin America & Caribbean
2000,85.0,95.0,86.0,,,,,92.0,,,92.0,,,Latin America & Caribbean
1999,85.0,85.0,82.0,,,,,82.0,,,,,,Latin America & Caribbean
1998,84.0,88.0,79.0,,,,,71.0,,,,,,Latin America & Caribbean
1997,83.0,91.0,75.0,,,,,61.0,,,,,,Latin America & Caribbean
1996,83.0,89.0,72.0,,,,,81.0,,,,,,Latin America & Caribbean
1995,82.0,87.0,68.0,,,,,75.0,,,,,,Latin America & Caribbean
1994,82.0,88.0,71.0,,,,,76.0,,,,,,Latin America & Caribbean
1993,80.0,86.0,66.0,,,,,96.0,,,,,,Latin America & Caribbean
1992,84.0,90.0,73.0,,,,,87.0,,,,,,Latin America & Caribbean
1991,78.0,86.0,66.0,,,,,74.0,,,,,,Latin America & Caribbean
1990,75.0,86.0,67.0,,,,,69.0,,,,,,Latin America & Caribbean
1989,66.0,82.0,61.0,,,,,58.0,,,,,,Latin America & Caribbean
1988,56.0,79.0,56.0,,,,,63.0,,,,,,Latin America & Caribbean
1987,66.0,80.0,58.0,,,,,56.0,,,,,,Latin America & Caribbean
1986,51.0,77.0,53.0,,,,,46.0,,,,,,Latin America & Caribbean
1985,68.0,80.0,57.0,,,,,48.0,,,,,,Latin America & Caribbean
1984,80.0,86.0,67.0,,,,,62.0,,,,,,Latin America & Caribbean
1983,55.0,70.0,45.0,,,,,37.0,,,,,,Latin America & Caribbean
1982,47.0,59.0,34.0,,,,,26.0,,,,,,Latin America & Caribbean
1981,42.0,53.0,28.0,,,,,16.0,,,,,,Latin America & Caribbean
1980,31.0,40.0,17.0,,,,,19.0,,,,,,Latin America & Caribbean
