Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,81.0,90.0,84.0,84.0,73.0,84.0,89.0,85.0,66.0,82.0,85.0,85.0,65.0,Latin America & Caribbean
2017,84.0,90.0,83.0,83.0,75.0,83.0,90.0,83.0,66.0,80.0,83.0,85.0,63.0,Latin America & Caribbean
2016,90.0,94.0,89.0,89.0,79.0,89.0,94.0,88.0,66.0,86.0,88.0,87.0,64.0,Latin America & Caribbean
2015,91.0,97.0,90.0,90.0,79.0,90.0,98.0,92.0,63.0,90.0,92.0,87.0,67.0,Latin America & Caribbean
2014,94.0,98.0,88.0,88.0,78.0,88.0,,89.0,44.0,86.0,89.0,86.0,65.0,Latin America & Caribbean
2013,95.0,97.0,88.0,88.0,82.0,88.0,,85.0,54.0,85.0,85.0,86.0,64.0,Latin America & Caribbean
2012,95.0,99.0,95.0,95.0,81.0,95.0,,94.0,63.0,89.0,94.0,91.0,58.0,Latin America & Caribbean
2011,91.0,94.0,91.0,91.0,76.0,91.0,,96.0,70.0,82.0,96.0,84.0,51.0,Latin America & Caribbean
2010,95.0,97.0,93.0,93.0,74.0,93.0,,94.0,56.0,83.0,94.0,75.0,61.0,Latin America & Caribbean
2009,97.0,97.0,93.0,93.0,71.0,93.0,,91.0,42.0,9.0,91.0,41.0,66.0,Latin America & Caribbean
2008,97.0,97.0,93.0,93.0,79.0,93.0,,92.0,17.0,,92.0,3.0,82.0,Latin America & Caribbean
2007,96.0,93.0,93.0,93.0,73.0,93.0,,92.0,9.0,,92.0,,87.0,Latin America & Caribbean
2006,96.0,96.0,94.0,94.0,66.0,94.0,,93.0,,,93.0,,91.0,Latin America & Caribbean
2005,95.0,94.0,77.0,94.0,67.0,94.0,,77.0,,,77.0,,78.0,Latin America & Caribbean
2004,95.0,93.0,86.0,92.0,68.0,96.0,,85.0,,,85.0,,57.0,Latin America & Caribbean
2003,94.0,98.0,94.0,65.0,60.0,41.0,,95.0,,,95.0,,47.0,Latin America & Caribbean
2002,92.0,98.0,95.0,,,40.0,,95.0,,,,,36.0,Latin America & Caribbean
2001,87.0,91.0,90.0,,,38.0,,97.0,,,,,26.0,Latin America & Caribbean
2000,93.0,99.0,98.0,,,43.0,,97.0,,,,,8.0,Latin America & Caribbean
1999,97.0,99.0,99.0,,,28.0,,93.0,,,,,,Latin America & Caribbean
1998,96.0,94.0,94.0,,,12.0,,93.0,,,,,,Latin America & Caribbean
1997,98.0,96.0,90.0,,,,,91.0,,,,,,Latin America & Caribbean
1996,99.0,97.0,94.0,,,,,87.0,,,,,,Latin America & Caribbean
1995,94.0,96.0,90.0,,,,,98.0,,,,,,Latin America & Caribbean
1994,91.0,95.0,87.0,,,,,75.0,,,,,,Latin America & Caribbean
1993,87.0,95.0,87.0,,,,,75.0,,,,,,Latin America & Caribbean
1992,85.0,94.0,83.0,,,,,83.0,,,,,,Latin America & Caribbean
1991,78.0,88.0,71.0,,,,,74.0,,,,,,Latin America & Caribbean
1990,83.0,89.0,72.0,,,,,64.0,,,,,,Latin America & Caribbean
1989,62.0,80.0,58.0,,,,,52.0,,,,,,Latin America & Caribbean
1988,70.0,82.0,60.0,,,,,52.0,,,,,,Latin America & Caribbean
1987,61.0,68.0,43.0,,,,,56.0,,,,,,Latin America & Caribbean
1986,54.0,74.0,50.0,,,,,41.0,,,,,,Latin America & Caribbean
1985,63.0,72.0,48.0,,,,,53.0,,,,,,Latin America & Caribbean
1984,64.0,53.0,28.0,,,,,35.0,,,,,,Latin America & Caribbean
1983,61.0,47.0,23.0,,,,,28.0,,,,,,Latin America & Caribbean
1982,65.0,47.0,23.0,,,,,32.0,,,,,,Latin America & Caribbean
1981,63.0,44.0,20.0,,,,,26.0,,,,,,Latin America & Caribbean
1980,57.0,39.0,16.0,,,,,23.0,,,,,,Latin America & Caribbean
