Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,95.0,95.0,17.0,95.0,99.0,86.0,68.0,,86.0,,Latin America & Caribbean
2017,88.0,89.0,80.0,80.0,,80.0,89.0,87.0,73.0,,87.0,,Latin America & Caribbean
2016,96.0,95.0,95.0,95.0,,95.0,95.0,99.0,88.0,,99.0,,Latin America & Caribbean
2015,99.0,99.0,99.0,99.0,,99.0,21.0,97.0,95.0,,97.0,,Latin America & Caribbean
2014,89.0,99.0,99.0,99.0,,99.0,,99.0,79.0,,99.0,,Latin America & Caribbean
2013,99.0,99.0,99.0,99.0,,99.0,,99.0,62.0,,99.0,,Latin America & Caribbean
2012,99.0,99.0,98.0,98.0,,98.0,,99.0,80.0,,99.0,,Latin America & Caribbean
2011,99.0,99.0,99.0,99.0,,99.0,,91.0,72.0,,91.0,,Latin America & Caribbean
2010,97.0,98.0,97.0,97.0,,97.0,,95.0,74.0,,95.0,,Latin America & Caribbean
2009,97.0,99.0,95.0,95.0,,95.0,,99.0,63.0,,99.0,,Latin America & Caribbean
2008,99.0,99.0,96.0,96.0,,96.0,,99.0,22.0,,99.0,,Latin America & Caribbean
2007,99.0,99.0,99.0,99.0,,99.0,,94.0,33.0,,94.0,,Latin America & Caribbean
2006,94.0,94.0,85.0,85.0,,85.0,,94.0,45.0,,94.0,,Latin America & Caribbean
2005,97.0,99.0,95.0,95.0,,95.0,,94.0,56.0,,94.0,,Latin America & Caribbean
2004,99.0,99.0,91.0,91.0,,91.0,,95.0,67.0,,95.0,,Latin America & Caribbean
2003,95.0,90.0,90.0,84.0,,84.0,,90.0,69.0,,90.0,,Latin America & Caribbean
2002,95.0,99.0,74.0,14.0,,14.0,,98.0,71.0,,98.0,,Latin America & Caribbean
2001,99.0,99.0,99.0,,,,,89.0,73.0,,89.0,,Latin America & Caribbean
2000,91.0,76.0,70.0,,,,,88.0,89.0,,88.0,,Latin America & Caribbean
1999,99.0,96.0,89.0,,,,,95.0,,,95.0,,Latin America & Caribbean
1998,85.0,91.0,88.0,,,,,90.0,,,90.0,,Latin America & Caribbean
1997,99.0,98.0,98.0,,,,,95.0,,,95.0,,Latin America & Caribbean
1996,89.0,96.0,88.0,,,,,95.0,,,95.0,,Latin America & Caribbean
1995,98.0,98.0,98.0,,,,,94.0,,,94.0,,Latin America & Caribbean
1994,99.0,97.0,93.0,,,,,92.0,,,92.0,,Latin America & Caribbean
1993,95.0,98.0,97.0,,,,,94.0,,,94.0,,Latin America & Caribbean
1992,99.0,98.0,96.0,,,,,75.0,,,75.0,,Latin America & Caribbean
1991,95.0,98.0,96.0,,,,,97.0,,,97.0,,Latin America & Caribbean
1990,94.0,96.0,89.0,,,,,82.0,,,82.0,,Latin America & Caribbean
1989,99.0,97.0,92.0,,,,,91.0,,,91.0,,Latin America & Caribbean
1988,85.0,92.0,78.0,,,,,83.0,,,83.0,,Latin America & Caribbean
1987,89.0,95.0,85.0,,,,,81.0,,,81.0,,Latin America & Caribbean
1986,73.0,92.0,78.0,,,,,91.0,,,91.0,,Latin America & Caribbean
1985,99.0,95.0,87.0,,,,,68.0,,,,,Latin America & Caribbean
1984,80.0,94.0,83.0,,,,,60.0,,,,,Latin America & Caribbean
1983,69.0,93.0,81.0,,,,,36.0,,,,,Latin America & Caribbean
1982,60.0,92.0,79.0,,,,,43.0,,,,,Latin America & Caribbean
1981,44.0,84.0,64.0,,,,,,,,,,Latin America & Caribbean
1980,27.0,79.0,56.0,,,,,,,,,,Latin America & Caribbean
