Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,97.0,97.0,97.0,97.0,96.0,99.0,99.0,,99.0,,Latin America & Caribbean
2017,99.0,99.0,99.0,99.0,30.0,99.0,96.0,99.0,99.0,,99.0,,Latin America & Caribbean
2016,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,,99.0,,Latin America & Caribbean
2015,99.0,99.0,99.0,99.0,,99.0,54.0,99.0,99.0,,99.0,,Latin America & Caribbean
2014,98.0,99.0,98.0,98.0,,98.0,,99.0,98.0,,99.0,,Latin America & Caribbean
2013,96.0,99.0,97.0,97.0,,98.0,,99.0,96.0,,99.0,,Latin America & Caribbean
2012,97.0,98.0,96.0,96.0,,97.0,,94.0,92.0,,94.0,,Latin America & Caribbean
2011,99.0,98.0,96.0,96.0,,96.0,,97.0,91.0,,97.0,,Latin America & Caribbean
2010,90.0,99.0,99.0,99.0,,99.0,,99.0,89.0,,99.0,,Latin America & Caribbean
2009,80.0,99.0,99.0,99.0,,99.0,,99.0,94.0,,99.0,,Latin America & Caribbean
2008,87.0,99.0,99.0,99.0,,99.0,,99.0,94.0,,99.0,,Latin America & Caribbean
2007,93.0,99.0,99.0,99.0,,99.0,,99.0,83.0,,99.0,,Latin America & Caribbean
2006,99.0,99.0,99.0,99.0,,99.0,,99.0,88.0,,99.0,,Latin America & Caribbean
2005,95.0,99.0,99.0,99.0,,99.0,,97.0,93.0,,97.0,,Latin America & Caribbean
2004,99.0,99.0,99.0,99.0,,99.0,,99.0,73.0,,99.0,,Latin America & Caribbean
2003,87.0,99.0,99.0,31.0,,27.0,,94.0,86.0,,94.0,,Latin America & Caribbean
2002,91.0,99.0,99.0,,,,,99.0,99.0,,99.0,,Latin America & Caribbean
2001,99.0,99.0,99.0,,,,,98.0,99.0,,98.0,,Latin America & Caribbean
2000,99.0,99.0,98.0,,,,,96.0,,,96.0,,Latin America & Caribbean
1999,99.0,98.0,95.0,,,,,87.0,,,87.0,,Latin America & Caribbean
1998,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1997,98.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1996,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1995,99.0,98.0,97.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1994,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1993,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1992,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1991,99.0,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1990,99.0,98.0,98.0,,,,,96.0,,,,,Latin America & Caribbean
1989,99.0,98.0,98.0,,,,,99.0,,,,,Latin America & Caribbean
1988,95.0,98.0,98.0,,,,,97.0,,,,,Latin America & Caribbean
1987,90.0,98.0,97.0,,,,,91.0,,,,,Latin America & Caribbean
1986,76.0,98.0,95.0,,,,,88.0,,,,,Latin America & Caribbean
1985,84.0,96.0,90.0,,,,,74.0,,,,,Latin America & Caribbean
1984,32.0,95.0,86.0,,,,,92.0,,,,,Latin America & Caribbean
1983,,93.0,80.0,,,,,59.0,,,,,Latin America & Caribbean
1982,,86.0,67.0,,,,,40.0,,,,,Latin America & Caribbean
1981,,57.0,32.0,,,,,,,,,,Latin America & Caribbean
1980,,51.0,26.0,,,,,,,,,,Latin America & Caribbean
