Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,99.0,99.0,99.0,,99.0,99.0,90.0,92.0,99.0,90.0,,88.0,Latin America & Caribbean
2017,96.0,89.0,89.0,,89.0,90.0,93.0,90.0,93.0,93.0,,95.0,Latin America & Caribbean
2016,97.0,97.0,97.0,,97.0,96.0,86.0,65.0,91.0,86.0,,85.0,Latin America & Caribbean
2015,98.0,96.0,90.0,,90.0,6.0,89.0,79.0,93.0,89.0,,91.0,Latin America & Caribbean
2014,93.0,92.0,92.0,,92.0,,96.0,93.0,95.0,96.0,,96.0,Latin America & Caribbean
2013,94.0,92.0,92.0,,92.0,,91.0,86.0,80.0,91.0,,89.0,Latin America & Caribbean
2012,97.0,92.0,92.0,,92.0,,85.0,85.0,39.0,85.0,,85.0,Latin America & Caribbean
2011,96.0,90.0,90.0,,90.0,,92.0,83.0,,92.0,,95.0,Latin America & Caribbean
2010,96.0,90.0,90.0,,90.0,,92.0,82.0,,92.0,,95.0,Latin America & Caribbean
2009,95.0,90.0,90.0,,90.0,,94.0,80.0,,94.0,,94.0,Latin America & Caribbean
2008,91.0,90.0,90.0,,90.0,,91.0,81.0,,91.0,,86.0,Latin America & Caribbean
2007,90.0,88.0,89.0,,88.0,,91.0,87.0,,91.0,,90.0,Latin America & Caribbean
2006,93.0,92.0,89.0,,89.0,,89.0,78.0,,89.0,,88.0,Latin America & Caribbean
2005,98.0,95.0,95.0,,95.0,,93.0,84.0,,93.0,,93.0,Latin America & Caribbean
2004,98.0,94.0,94.0,,94.0,,95.0,78.0,,95.0,,90.0,Latin America & Caribbean
2003,93.0,91.0,76.0,,92.0,,88.0,73.0,,88.0,,88.0,Latin America & Caribbean
2002,98.0,96.0,5.0,,59.0,,87.0,77.0,,87.0,,88.0,Latin America & Caribbean
2001,91.0,91.0,,,85.0,,91.0,80.0,,91.0,,91.0,Latin America & Caribbean
2000,90.0,90.0,,,74.0,,90.0,,,90.0,,91.0,Latin America & Caribbean
1999,92.0,90.0,,,49.0,,88.0,,,88.0,,91.0,Latin America & Caribbean
1998,94.0,91.0,,,8.0,,90.0,,,90.0,,91.0,Latin America & Caribbean
1997,96.0,90.0,,,,,88.0,,,88.0,,,Latin America & Caribbean
1996,96.0,89.0,,,,,88.0,,,88.0,,,Latin America & Caribbean
1995,96.0,89.0,,,,,84.0,,,84.0,,,Latin America & Caribbean
1994,95.0,85.0,,,,,86.0,,,86.0,,,Latin America & Caribbean
1993,93.0,81.0,,,,,87.0,,,87.0,,,Latin America & Caribbean
1992,95.0,87.0,,,,,83.0,,,83.0,,,Latin America & Caribbean
1991,94.0,82.0,,,,,93.0,,,93.0,,,Latin America & Caribbean
1990,94.0,82.0,,,,,70.0,,,70.0,,,Latin America & Caribbean
1989,91.0,77.0,,,,,59.0,,,59.0,,,Latin America & Caribbean
1988,94.0,82.0,,,,,72.0,,,72.0,,,Latin America & Caribbean
1987,92.0,79.0,,,,,68.0,,,68.0,,,Latin America & Caribbean
1986,88.0,70.0,,,,,42.0,,,42.0,,,Latin America & Caribbean
1985,91.0,75.0,,,,,32.0,,,32.0,,,Latin America & Caribbean
1984,85.0,65.0,,,,,10.0,,,10.0,,,Latin America & Caribbean
1983,82.0,60.0,,,,,,,,,,,Latin America & Caribbean
1982,77.0,54.0,,,,,,,,,,,Latin America & Caribbean
1981,83.0,62.0,,,,,,,,,,,Latin America & Caribbean
1980,51.0,26.0,,,,,,,,,,,Latin America & Caribbean
