Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,96.0,91.0,91.0,,91.0,97.0,91.0,93.0,97.0,,Latin America & Caribbean
2017,98.0,97.0,93.0,93.0,,93.0,96.0,92.0,94.0,96.0,,Latin America & Caribbean
2016,98.0,97.0,95.0,95.0,,95.0,95.0,92.0,94.0,95.0,,Latin America & Caribbean
2015,98.0,99.0,95.0,95.0,,95.0,96.0,93.0,94.0,96.0,,Latin America & Caribbean
2014,99.0,99.0,95.0,95.0,,95.0,96.0,93.0,95.0,96.0,,Latin America & Caribbean
2013,98.0,98.0,94.0,94.0,,94.0,96.0,92.0,93.0,96.0,,Latin America & Caribbean
2012,99.0,98.0,95.0,95.0,,95.0,96.0,,93.0,96.0,,Latin America & Caribbean
2011,99.0,99.0,95.0,95.0,,95.0,95.0,,92.0,95.0,,Latin America & Caribbean
2010,99.0,98.0,95.0,95.0,,95.0,95.0,,91.0,95.0,,Latin America & Caribbean
2009,99.0,99.0,95.0,95.0,,95.0,94.0,,,94.0,,Latin America & Caribbean
2008,99.0,98.0,94.0,94.0,,94.0,95.0,,,95.0,,Latin America & Caribbean
2007,99.0,98.0,94.0,94.0,,94.0,96.0,,,96.0,,Latin America & Caribbean
2006,99.0,99.0,95.0,95.0,,95.0,94.0,,,94.0,,Latin America & Caribbean
2005,99.0,99.0,96.0,96.0,,96.0,95.0,,,95.0,,Latin America & Caribbean
2004,99.0,98.0,94.0,94.0,,94.0,95.0,,,95.0,,Latin America & Caribbean
2003,99.0,98.0,91.0,91.0,,91.0,95.0,,,95.0,,Latin America & Caribbean
2002,99.0,99.0,95.0,95.0,,95.0,95.0,,,95.0,,Latin America & Caribbean
2001,99.0,99.0,94.0,94.0,,90.0,94.0,,,94.0,,Latin America & Caribbean
2000,99.0,92.0,90.0,92.0,,88.0,89.0,,,89.0,,Latin America & Caribbean
1999,99.0,94.0,93.0,93.0,,91.0,99.0,,,99.0,,Latin America & Caribbean
1998,99.0,95.0,91.0,,,75.0,96.0,,,96.0,,Latin America & Caribbean
1997,99.0,97.0,91.0,,,84.0,92.0,,,92.0,,Latin America & Caribbean
1996,99.0,97.0,91.0,,,,89.0,,,89.0,,Latin America & Caribbean
1995,99.0,97.0,91.0,,,,90.0,,,90.0,,Latin America & Caribbean
1994,99.0,97.0,91.0,,,,90.0,,,90.0,,Latin America & Caribbean
1993,98.0,97.0,92.0,,,,90.0,,,90.0,,Latin America & Caribbean
1992,99.0,97.0,93.0,,,,93.0,,,93.0,,Latin America & Caribbean
1991,99.0,98.0,96.0,,,,96.0,,,96.0,,Latin America & Caribbean
1990,99.0,98.0,97.0,,,,97.0,,,97.0,,Latin America & Caribbean
1989,99.0,96.0,88.0,,,,82.0,,,82.0,,Latin America & Caribbean
1988,98.0,94.0,82.0,,,,72.0,,,72.0,,Latin America & Caribbean
1987,98.0,95.0,85.0,,,,88.0,,,88.0,,Latin America & Caribbean
1986,92.0,88.0,70.0,,,,82.0,,,82.0,,Latin America & Caribbean
1985,92.0,84.0,63.0,,,,59.0,,,59.0,,Latin America & Caribbean
1984,93.0,83.0,62.0,,,,66.0,,,66.0,,Latin America & Caribbean
1983,99.0,90.0,73.0,,,,65.0,,,65.0,,Latin America & Caribbean
1982,76.0,86.0,67.0,,,,52.0,,,52.0,,Latin America & Caribbean
1981,76.0,80.0,57.0,,,,55.0,,,,,Latin America & Caribbean
1980,56.0,77.0,53.0,,,,50.0,,,,,Latin America & Caribbean
