Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,92.0,84.0,60.0,60.0,55.0,60.0,32.0,74.0,39.0,,74.0,,35.0,Latin America & Caribbean
2017,94.0,95.0,66.0,66.0,56.0,66.0,70.0,96.0,59.0,,96.0,18.0,83.0,Latin America & Caribbean
2016,97.0,97.0,84.0,84.0,56.0,84.0,68.0,88.0,53.0,7.0,88.0,47.0,84.0,Latin America & Caribbean
2015,99.0,98.0,87.0,87.0,64.0,87.0,,92.0,52.0,24.0,92.0,84.0,85.0,Latin America & Caribbean
2014,97.0,88.0,78.0,78.0,72.0,78.0,,89.0,50.0,,89.0,76.0,82.0,Latin America & Caribbean
2013,95.0,90.0,82.0,82.0,80.0,82.0,,85.0,38.0,,85.0,77.0,85.0,Latin America & Caribbean
2012,96.0,90.0,81.0,81.0,67.0,81.0,,87.0,33.0,,87.0,76.0,87.0,Latin America & Caribbean
2011,95.0,90.0,78.0,78.0,78.0,78.0,,86.0,26.0,,86.0,66.0,73.0,Latin America & Caribbean
2010,92.0,90.0,78.0,78.0,73.0,78.0,,79.0,31.0,,79.0,49.0,48.0,Latin America & Caribbean
2009,91.0,86.0,84.0,84.0,66.0,84.0,,87.0,6.0,,87.0,54.0,77.0,Latin America & Caribbean
2008,90.0,87.0,50.0,53.0,73.0,51.0,,93.0,,,93.0,50.0,77.0,Latin America & Caribbean
2007,82.0,70.0,62.0,62.0,64.0,62.0,,87.0,,,87.0,29.0,65.0,Latin America & Caribbean
2006,83.0,79.0,71.0,71.0,61.0,71.0,,82.0,,,82.0,13.0,73.0,Latin America & Caribbean
2005,95.0,98.0,87.0,88.0,63.0,87.0,,76.0,,,76.0,,94.0,Latin America & Caribbean
2004,96.0,93.0,86.0,82.0,57.0,60.0,,80.0,,,80.0,,94.0,Latin America & Caribbean
2003,91.0,88.0,68.0,72.0,44.0,54.0,,83.0,,,83.0,,82.0,Latin America & Caribbean
2002,90.0,79.0,65.0,60.0,34.0,59.0,,83.0,,,83.0,,27.0,Latin America & Caribbean
2001,93.0,82.0,70.0,53.0,35.0,34.0,,98.0,,,98.0,,28.0,Latin America & Caribbean
2000,99.0,92.0,77.0,5.0,14.0,2.0,,84.0,,,84.0,,17.0,Latin America & Caribbean
1999,98.0,99.0,76.0,,,,,84.0,,,84.0,,,Latin America & Caribbean
1998,82.0,90.0,39.0,,,,,92.0,,,92.0,,,Latin America & Caribbean
1997,89.0,82.0,60.0,,,,,68.0,,,,,,Latin America & Caribbean
1996,90.0,80.0,57.0,,,,,64.0,,,,,,Latin America & Caribbean
1995,91.0,87.0,68.0,,,,,47.0,,,,,,Latin America & Caribbean
1994,95.0,84.0,63.0,,,,,94.0,,,,,,Latin America & Caribbean
1993,81.0,87.0,67.0,,,,,62.0,,,,,,Latin America & Caribbean
1992,85.0,86.0,67.0,,,,,61.0,,,,,,Latin America & Caribbean
1991,90.0,84.0,64.0,,,,,63.0,,,,,,Latin America & Caribbean
1990,82.0,84.0,63.0,,,,,61.0,,,,,,Latin America & Caribbean
1989,88.0,80.0,57.0,,,,,50.0,,,,,,Latin America & Caribbean
1988,76.0,79.0,56.0,,,,,51.0,,,,,,Latin America & Caribbean
1987,63.0,80.0,57.0,,,,,54.0,,,,,,Latin America & Caribbean
1986,86.0,80.0,58.0,,,,,48.0,,,,,,Latin America & Caribbean
1985,89.0,73.0,49.0,,,,,56.0,,,,,,Latin America & Caribbean
1984,92.0,58.0,33.0,,,,,41.0,,,,,,Latin America & Caribbean
1983,82.0,80.0,58.0,,,,,42.0,,,,,,Latin America & Caribbean
1982,76.0,77.0,53.0,,,,,45.0,,,,,,Latin America & Caribbean
1981,77.0,77.0,54.0,,,,,43.0,,,,,,Latin America & Caribbean
1980,72.0,79.0,56.0,,,,,50.0,,,,,,Latin America & Caribbean
