Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,96.0,91.0,91.0,99.0,91.0,94.0,80.0,77.0,91.0,80.0,,Middle East & North Africa
2017,99.0,95.0,91.0,91.0,99.0,91.0,92.0,88.0,92.0,89.0,88.0,,Middle East & North Africa
2016,99.0,96.0,91.0,91.0,99.0,91.0,94.0,94.0,96.0,61.0,,,Middle East & North Africa
2015,99.0,99.0,95.0,95.0,99.0,95.0,8.0,95.0,99.0,,,,Middle East & North Africa
2014,99.0,99.0,95.0,95.0,99.0,95.0,,95.0,99.0,,,,Middle East & North Africa
2013,99.0,99.0,95.0,95.0,99.0,95.0,,95.0,93.0,,,,Middle East & North Africa
2012,99.0,99.0,95.0,95.0,99.0,95.0,,95.0,95.0,,,,Middle East & North Africa
2011,99.0,99.0,95.0,95.0,99.0,95.0,,95.0,96.0,,,,Middle East & North Africa
2010,99.0,99.0,95.0,95.0,99.0,95.0,,95.0,95.0,,,,Middle East & North Africa
2009,99.0,98.0,95.0,94.0,99.0,95.0,,92.0,98.0,,,,Middle East & North Africa
2008,99.0,97.0,93.0,91.0,99.0,93.0,,88.0,96.0,,,,Middle East & North Africa
2007,99.0,98.0,95.0,90.0,99.0,,,92.0,95.0,,,,Middle East & North Africa
2006,99.0,98.0,95.0,80.0,97.0,,,91.0,98.0,,,,Middle East & North Africa
2005,98.0,94.0,88.0,83.0,97.0,,,83.0,94.0,,,,Middle East & North Africa
2004,98.0,93.0,86.0,81.0,97.0,,,81.0,94.0,,,,Middle East & North Africa
2003,98.0,93.0,87.0,,,,,84.0,96.0,,,,Middle East & North Africa
2002,98.0,93.0,86.0,,,,,81.0,93.0,,,,Middle East & North Africa
2001,97.0,92.0,89.0,,,,,83.0,73.0,,,,Middle East & North Africa
2000,97.0,95.0,86.0,,,,,80.0,78.0,,,,Middle East & North Africa
1999,97.0,92.0,83.0,,,,,83.0,,,,,Middle East & North Africa
1998,95.0,94.0,85.0,,,,,84.0,,,,,Middle East & North Africa
1997,94.0,96.0,89.0,,,,,92.0,,,,,Middle East & North Africa
1996,94.0,96.0,88.0,,,,,90.0,,,,,Middle East & North Africa
1995,93.0,96.0,88.0,,,,,89.0,,,,,Middle East & North Africa
1994,93.0,95.0,87.0,,,,,88.0,,,,,Middle East & North Africa
1993,95.0,96.0,88.0,,,,,87.0,,,,,Middle East & North Africa
1992,97.0,96.0,88.0,,,,,86.0,,,,,Middle East & North Africa
1991,98.0,96.0,89.0,,,,,85.0,,,,,Middle East & North Africa
1990,99.0,96.0,89.0,,,,,83.0,,,,,Middle East & North Africa
1989,96.0,95.0,87.0,,,,,82.0,,,,,Middle East & North Africa
1988,96.0,93.0,85.0,,,,,81.0,,,,,Middle East & North Africa
1987,93.0,92.0,79.0,,,,,73.0,,,,,Middle East & North Africa
1986,88.0,92.0,73.0,,,,,67.0,,,,,Middle East & North Africa
1985,86.0,88.0,69.0,,,,,68.0,,,,,Middle East & North Africa
1984,,,,,,,,,,,,,Middle East & North Africa
1983,,,,,,,,,,,,,Middle East & North Africa
1982,,,,,,,,,,,,,Middle East & North Africa
1981,,,,,,,,,,,,,Middle East & North Africa
1980,,,,,,,,,,,,,Middle East & North Africa
