Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,Middle East & North Africa
2017,98.0,97.0,98.0,99.0,97.0,98.0,99.0,99.0,97.0,99.0,97.0,Middle East & North Africa
2016,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,Middle East & North Africa
2015,98.0,98.0,98.0,67.0,98.0,98.0,99.0,99.0,98.0,99.0,97.0,Middle East & North Africa
2014,98.0,98.0,98.0,,98.0,,99.0,99.0,98.0,99.0,97.0,Middle East & North Africa
2013,99.0,99.0,99.0,,99.0,,99.0,99.0,99.0,99.0,97.0,Middle East & North Africa
2012,99.0,99.0,99.0,,99.0,,99.0,99.0,99.0,99.0,96.0,Middle East & North Africa
2011,99.0,99.0,99.0,,99.0,,99.0,98.0,99.0,99.0,96.0,Middle East & North Africa
2010,99.0,99.0,99.0,,99.0,,99.0,98.0,99.0,99.0,59.0,Middle East & North Africa
2009,98.0,98.0,98.0,,97.0,,99.0,99.0,96.0,99.0,90.0,Middle East & North Africa
2008,98.0,97.0,97.0,,97.0,,99.0,97.0,14.0,99.0,49.0,Middle East & North Africa
2007,97.0,97.0,97.0,,97.0,,99.0,99.0,,99.0,,Middle East & North Africa
2006,99.0,98.0,98.0,,98.0,,99.0,99.0,,99.0,,Middle East & North Africa
2005,99.0,98.0,98.0,,98.0,,99.0,99.0,,99.0,,Middle East & North Africa
2004,99.0,98.0,98.0,,98.0,,99.0,99.0,,99.0,,Middle East & North Africa
2003,99.0,97.0,98.0,,97.0,,99.0,99.0,,99.0,,Middle East & North Africa
2002,99.0,98.0,98.0,,98.0,,99.0,97.0,,99.0,,Middle East & North Africa
2001,99.0,99.0,99.0,,99.0,,98.0,99.0,,98.0,,Middle East & North Africa
2000,98.0,97.0,97.0,,97.0,,98.0,92.0,,98.0,,Middle East & North Africa
1999,99.0,97.0,97.0,,96.0,,94.0,,,94.0,,Middle East & North Africa
1998,98.0,98.0,95.0,,39.0,,99.0,,,99.0,,Middle East & North Africa
1997,98.0,98.0,95.0,,,,94.0,,,94.0,,Middle East & North Africa
1996,96.0,96.0,96.0,,,,95.0,,,95.0,,Middle East & North Africa
1995,98.0,95.0,95.0,,,,95.0,,,95.0,,Middle East & North Africa
1994,99.0,96.0,93.0,,,,93.0,,,93.0,,Middle East & North Africa
1993,97.0,94.0,90.0,,,,90.0,,,90.0,,Middle East & North Africa
1992,97.0,94.0,57.0,,,,87.0,,,87.0,,Middle East & North Africa
1991,99.0,99.0,,,,,88.0,,,88.0,,Middle East & North Africa
1990,97.0,94.0,,,,,87.0,,,87.0,,Middle East & North Africa
1989,98.0,96.0,,,,,85.0,,,85.0,,Middle East & North Africa
1988,98.0,96.0,,,,,78.0,,,78.0,,Middle East & North Africa
1987,98.0,95.0,,,,,78.0,,,78.0,,Middle East & North Africa
1986,97.0,92.0,,,,,78.0,,,78.0,,Middle East & North Africa
1985,96.0,90.0,,,,,78.0,,,78.0,,Middle East & North Africa
1984,95.0,86.0,,,,,65.0,,,65.0,,Middle East & North Africa
1983,94.0,83.0,,,,,59.0,,,59.0,,Middle East & North Africa
1982,92.0,79.0,,,,,54.0,,,54.0,,Middle East & North Africa
1981,91.0,75.0,,,,,50.0,,,50.0,,Middle East & North Africa
1980,89.0,72.0,,,,,45.0,,,45.0,,Middle East & North Africa
