Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,96.0,95.0,95.0,89.0,95.0,,94.0,94.0,,94.0,,Middle East & North Africa
2017,86.0,95.0,94.0,94.0,84.0,94.0,,94.0,94.0,,94.0,,Middle East & North Africa
2016,96.0,96.0,95.0,95.0,,95.0,,95.0,96.0,,95.0,,Middle East & North Africa
2015,96.0,94.0,93.0,93.0,,93.0,,92.0,92.0,,92.0,,Middle East & North Africa
2014,96.0,96.0,94.0,94.0,,94.0,,93.0,93.0,,93.0,,Middle East & North Africa
2013,98.0,97.0,97.0,97.0,,,,96.0,96.0,,96.0,,Middle East & North Africa
2012,95.0,94.0,93.0,93.0,,,,93.0,92.0,,93.0,,Middle East & North Africa
2011,98.0,97.0,96.0,96.0,,,,96.0,97.0,,96.0,,Middle East & North Africa
2010,98.0,97.0,97.0,97.0,,,,96.0,97.0,,96.0,,Middle East & North Africa
2009,98.0,97.0,97.0,97.0,,,,95.0,96.0,,95.0,,Middle East & North Africa
2008,98.0,98.0,97.0,97.0,,,,92.0,96.0,,92.0,,Middle East & North Africa
2007,98.0,98.0,98.0,98.0,,,,97.0,97.0,,97.0,,Middle East & North Africa
2006,99.0,98.0,98.0,98.0,,,,98.0,97.0,,97.0,,Middle East & North Africa
2005,98.0,98.0,98.0,98.0,,,,98.0,97.0,,97.0,,Middle East & North Africa
2004,98.0,98.0,97.0,97.0,,,,97.0,96.0,,96.0,,Middle East & North Africa
2003,98.0,98.0,98.0,98.0,,,,98.0,97.0,,97.0,,Middle East & North Africa
2002,98.0,98.0,97.0,97.0,,,,97.0,96.0,,96.0,,Middle East & North Africa
2001,98.0,99.0,99.0,99.0,,,,97.0,99.0,,99.0,,Middle East & North Africa
2000,98.0,98.0,98.0,98.0,,,,98.0,97.0,,97.0,,Middle East & North Africa
1999,98.0,98.0,97.0,97.0,,,,96.0,,,95.0,,Middle East & North Africa
1998,99.0,97.0,92.0,88.0,,,,98.0,,,,,Middle East & North Africa
1997,98.0,96.0,88.0,81.0,,,,92.0,,,,,Middle East & North Africa
1996,95.0,96.0,90.0,77.0,,,,92.0,,,,,Middle East & North Africa
1995,93.0,96.0,88.0,74.0,,,,89.0,,,,,Middle East & North Africa
1994,95.0,94.0,83.0,57.0,,,,89.0,,,,,Middle East & North Africa
1993,95.0,93.0,81.0,,,,,89.0,,,,,Middle East & North Africa
1992,92.0,92.0,79.0,,,,,89.0,,,,,Middle East & North Africa
1991,92.0,91.0,76.0,,,,,89.0,,,,,Middle East & North Africa
1990,89.0,95.0,87.0,,,,,86.0,,,,,Middle East & North Africa
1989,83.0,96.0,90.0,,,,,86.0,,,,,Middle East & North Africa
1988,80.0,95.0,87.0,,,,,85.0,,,,,Middle East & North Africa
1987,72.0,93.0,81.0,,,,,76.0,,,,,Middle East & North Africa
1986,77.0,93.0,80.0,,,,,78.0,,,,,Middle East & North Africa
1985,80.0,94.0,84.0,,,,,74.0,,,,,Middle East & North Africa
1984,53.0,87.0,69.0,,,,,47.0,,,,,Middle East & North Africa
1983,53.0,80.0,57.0,,,,,41.0,,,,,Middle East & North Africa
1982,50.0,80.0,57.0,,,,,41.0,,,,,Middle East & North Africa
1981,50.0,80.0,57.0,,,,,41.0,,,,,Middle East & North Africa
1980,50.0,80.0,57.0,,,,,41.0,,,,,Middle East & North Africa
