Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,95.0,99.0,43.0,99.0,98.0,,99.0,,Middle East & North Africa
2017,99.0,99.0,99.0,99.0,95.0,99.0,,99.0,98.0,,99.0,,Middle East & North Africa
2016,99.0,99.0,99.0,99.0,95.0,99.0,,99.0,98.0,,99.0,,Middle East & North Africa
2015,99.0,99.0,98.0,98.0,96.0,98.0,,99.0,98.0,,99.0,,Middle East & North Africa
2014,99.0,99.0,99.0,99.0,97.0,,,99.0,98.0,,99.0,,Middle East & North Africa
2013,99.0,98.0,98.0,99.0,99.0,,,98.0,97.0,,98.0,,Middle East & North Africa
2012,99.0,99.0,99.0,98.0,96.0,,,98.0,97.0,,98.0,,Middle East & North Africa
2011,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,,99.0,,Middle East & North Africa
2010,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,,99.0,,Middle East & North Africa
2009,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,,99.0,,Middle East & North Africa
2008,99.0,99.0,99.0,99.0,99.0,,,98.0,96.0,,98.0,,Middle East & North Africa
2007,99.0,99.0,99.0,97.0,99.0,,,97.0,97.0,,97.0,,Middle East & North Africa
2006,99.0,98.0,98.0,98.0,99.0,,,99.0,98.0,,99.0,,Middle East & North Africa
2005,99.0,97.0,95.0,94.0,96.0,,,94.0,92.0,,94.0,,Middle East & North Africa
2004,99.0,99.0,99.0,95.0,99.0,,,96.0,99.0,,96.0,,Middle East & North Africa
2003,99.0,99.0,99.0,98.0,99.0,,,99.0,96.0,,,,Middle East & North Africa
2002,97.0,99.0,99.0,99.0,99.0,,,99.0,96.0,,,,Middle East & North Africa
2001,91.0,96.0,96.0,94.0,94.0,,,96.0,94.0,,,,Middle East & North Africa
2000,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,,,,Middle East & North Africa
1999,99.0,99.0,99.0,95.0,,,,99.0,,,,,Middle East & North Africa
1998,99.0,99.0,99.0,94.0,,,,99.0,,,,,Middle East & North Africa
1997,91.0,99.0,99.0,93.0,,,,95.0,,,,,Middle East & North Africa
1996,96.0,99.0,99.0,84.0,,,,99.0,,,,,Middle East & North Africa
1995,96.0,98.0,98.0,59.0,,,,95.0,,,,,Middle East & North Africa
1994,99.0,98.0,95.0,62.0,,,,97.0,,,,,Middle East & North Africa
1993,99.0,99.0,99.0,,,,,96.0,,,,,Middle East & North Africa
1992,99.0,98.0,97.0,,,,,96.0,,,,,Middle East & North Africa
1991,91.0,96.0,88.0,,,,,84.0,,,,,Middle East & North Africa
1990,95.0,97.0,91.0,,,,,85.0,,,,,Middle East & North Africa
1989,85.0,94.0,82.0,,,,,79.0,,,,,Middle East & North Africa
1988,88.0,96.0,88.0,,,,,83.0,,,,,Middle East & North Africa
1987,56.0,80.0,57.0,,,,,55.0,,,,,Middle East & North Africa
1986,56.0,80.0,57.0,,,,,55.0,,,,,Middle East & North Africa
1985,79.0,75.0,51.0,,,,,62.0,,,,,Middle East & North Africa
1984,10.0,58.0,33.0,,,,,38.0,,,,,Middle East & North Africa
1983,10.0,58.0,33.0,,,,,38.0,,,,,Middle East & North Africa
1982,10.0,66.0,41.0,,,,,55.0,,,,,Middle East & North Africa
1981,6.0,54.0,29.0,,,,,48.0,,,,,Middle East & North Africa
1980,7.0,57.0,32.0,,,,,39.0,,,,,Middle East & North Africa
