Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,92.0,84.0,84.0,41.0,84.0,92.0,83.0,81.0,32.0,81.0,60.0,Middle East & North Africa
2017,96.0,93.0,85.0,85.0,44.0,85.0,93.0,85.0,88.0,33.0,88.0,63.0,Middle East & North Africa
2016,90.0,87.0,73.0,73.0,47.0,73.0,,80.0,78.0,,78.0,53.0,Middle East & North Africa
2015,94.0,80.0,68.0,68.0,43.0,68.0,,71.0,76.0,,76.0,43.0,Middle East & North Africa
2014,99.0,82.0,72.0,69.0,43.0,69.0,,68.0,67.0,,67.0,29.0,Middle East & North Africa
2013,99.0,86.0,74.0,68.0,43.0,68.0,,72.0,57.0,,57.0,52.0,Middle East & North Africa
2012,99.0,90.0,73.0,62.0,37.0,36.0,,74.0,68.0,,68.0,31.0,Middle East & North Africa
2011,94.0,92.0,81.0,78.0,32.0,,,80.0,77.0,,77.0,,Middle East & North Africa
2010,90.0,86.0,74.0,72.0,27.0,,,75.0,77.0,,77.0,,Middle East & North Africa
2009,92.0,88.0,78.0,75.0,60.0,,,81.0,87.0,,87.0,,Middle East & North Africa
2008,87.0,81.0,69.0,66.0,92.0,,,76.0,76.0,,76.0,,Middle East & North Africa
2007,92.0,68.0,57.0,56.0,90.0,,,64.0,64.0,,64.0,,Middle East & North Africa
2006,89.0,76.0,59.0,59.0,88.0,,,62.0,52.0,,52.0,,Middle East & North Africa
2005,92.0,84.0,65.0,65.0,93.0,,,69.0,58.0,,58.0,,Middle East & North Africa
2004,94.0,86.0,74.0,62.0,92.0,,,69.0,41.0,,41.0,,Middle East & North Africa
2003,94.0,87.0,75.0,63.0,,,,73.0,45.0,,45.0,,Middle East & North Africa
2002,94.0,89.0,77.0,65.0,,,,77.0,48.0,,48.0,,Middle East & North Africa
2001,93.0,90.0,78.0,66.0,,,,82.0,52.0,,52.0,,Middle East & North Africa
2000,93.0,92.0,80.0,67.0,,,,86.0,,,,,Middle East & North Africa
1999,93.0,93.0,81.0,52.0,,,,90.0,,,,,Middle East & North Africa
1998,94.0,79.0,76.0,3.0,,,,88.0,,,,,Middle East & North Africa
1997,95.0,89.0,78.0,65.0,,,,85.0,,,,,Middle East & North Africa
1996,96.0,88.0,76.0,22.0,,,,82.0,,,82.0,,Middle East & North Africa
1995,97.0,86.0,74.0,57.0,,,,80.0,,,80.0,,Middle East & North Africa
1994,97.0,84.0,72.0,40.0,,,,72.0,,,,,Middle East & North Africa
1993,96.0,82.0,70.0,,,,,63.0,,,,,Middle East & North Africa
1992,96.0,86.0,74.0,,,,,67.0,,,,,Middle East & North Africa
1991,96.0,90.0,78.0,,,,,71.0,,,,,Middle East & North Africa
1990,96.0,93.0,83.0,,,,,75.0,,,,,Middle East & North Africa
1989,96.0,97.0,87.0,,,,,79.0,,,,,Middle East & North Africa
1988,98.0,98.0,87.0,,,,,85.0,,,,,Middle East & North Africa
1987,99.0,98.0,94.0,,,,,91.0,,,,,Middle East & North Africa
1986,98.0,98.0,91.0,,,,,75.0,,,,,Middle East & North Africa
1985,94.0,98.0,86.0,,,,,70.0,,,,,Middle East & North Africa
1984,91.0,81.0,67.0,,,,,25.0,,,,,Middle East & North Africa
1983,87.0,39.0,16.0,,,,,12.0,,,,,Middle East & North Africa
1982,83.0,41.0,18.0,,,,,11.0,,,,,Middle East & North Africa
1981,80.0,35.0,13.0,,,,,10.0,,,,,Middle East & North Africa
1980,76.0,36.0,14.0,,,,,9.0,,,,,Middle East & North Africa
