Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,99.0,98.0,97.0,95.0,98.0,99.0,98.0,96.0,94.0,98.0,81.0,Middle East & North Africa
2017,,99.0,98.0,97.0,95.0,98.0,99.0,98.0,96.0,94.0,98.0,81.0,Middle East & North Africa
2016,,94.0,94.0,95.0,95.0,94.0,94.0,97.0,97.0,93.0,97.0,81.0,Middle East & North Africa
2015,,95.0,95.0,96.0,96.0,95.0,95.0,98.0,97.0,94.0,98.0,80.0,Middle East & North Africa
2014,,95.0,95.0,97.0,97.0,95.0,,97.0,96.0,94.0,97.0,81.0,Middle East & North Africa
2013,,96.0,96.0,97.0,97.0,96.0,,98.0,95.0,94.0,98.0,80.0,Middle East & North Africa
2012,,94.0,94.0,97.0,97.0,94.0,,96.0,89.0,93.0,96.0,82.0,Middle East & North Africa
2011,,94.0,94.0,98.0,98.0,94.0,,97.0,87.0,92.0,97.0,,Middle East & North Africa
2010,,95.0,95.0,97.0,97.0,95.0,,96.0,93.0,,96.0,,Middle East & North Africa
2009,,96.0,96.0,98.0,98.0,96.0,,97.0,92.0,,97.0,,Middle East & North Africa
2008,,94.0,94.0,99.0,99.0,94.0,,98.0,91.0,,98.0,,Middle East & North Africa
2007,,95.0,95.0,99.0,99.0,95.0,,97.0,90.0,,97.0,,Middle East & North Africa
2006,,95.0,95.0,96.0,96.0,94.0,,96.0,96.0,,96.0,,Middle East & North Africa
2005,,93.0,93.0,96.0,96.0,93.0,,94.0,96.0,,94.0,,Middle East & North Africa
2004,,95.0,95.0,99.0,96.0,95.0,,97.0,97.0,,97.0,,Middle East & North Africa
2003,,95.0,93.0,98.0,96.0,93.0,,96.0,97.0,,96.0,,Middle East & North Africa
2002,,95.0,90.0,98.0,96.0,91.0,,95.0,97.0,,95.0,,Middle East & North Africa
2001,,95.0,92.0,96.0,96.0,94.0,,95.0,97.0,,95.0,,Middle East & North Africa
2000,,95.0,93.0,98.0,96.0,93.0,,95.0,,,95.0,,Middle East & North Africa
1999,,95.0,91.0,96.0,,93.0,,94.0,,,94.0,,Middle East & North Africa
1998,,95.0,92.0,97.0,,94.0,,94.0,,,94.0,,Middle East & North Africa
1997,,95.0,95.0,97.0,,92.0,,97.0,,,97.0,,Middle East & North Africa
1996,,97.0,94.0,96.0,,92.0,,96.0,,,96.0,,Middle East & North Africa
1995,,98.0,96.0,93.0,,93.0,,93.0,,,93.0,,Middle East & North Africa
1994,,98.0,95.0,92.0,,92.0,,92.0,,,,,Middle East & North Africa
1993,,98.0,96.0,92.0,,,,92.0,,,,,Middle East & North Africa
1992,,98.0,95.0,92.0,,,,94.0,,,,,Middle East & North Africa
1991,,97.0,94.0,,,,,94.0,,,,,Middle East & North Africa
1990,,97.0,93.0,,,,,91.0,,,,,Middle East & North Africa
1989,,97.0,92.0,,,,,88.0,,,,,Middle East & North Africa
1988,,97.0,92.0,,,,,86.0,,,,,Middle East & North Africa
1987,,97.0,92.0,,,,,88.0,,,,,Middle East & North Africa
1986,,97.0,92.0,,,,,88.0,,,,,Middle East & North Africa
1985,,95.0,85.0,,,,,85.0,,,,,Middle East & North Africa
1984,,95.0,87.0,,,,,85.0,,,,,Middle East & North Africa
1983,,96.0,89.0,,,,,85.0,,,,,Middle East & North Africa
1982,68.0,97.0,92.0,,,,,88.0,,,,,Middle East & North Africa
1981,70.0,97.0,91.0,,,,,83.0,,,,,Middle East & North Africa
1980,75.0,94.0,84.0,,,,,81.0,,,,,Middle East & North Africa
