Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,94.0,98.0,96.0,96.0,,96.0,98.0,92.0,96.0,,96.0,93.0,Middle East & North Africa
2017,99.0,99.0,99.0,99.0,,99.0,99.0,93.0,99.0,,99.0,96.0,Middle East & North Africa
2016,99.0,99.0,98.0,98.0,,98.0,99.0,96.0,99.0,,99.0,97.0,Middle East & North Africa
2015,98.0,99.0,99.0,99.0,,99.0,99.0,94.0,96.0,,96.0,88.0,Middle East & North Africa
2014,95.0,98.0,98.0,98.0,,98.0,,98.0,98.0,,98.0,,Middle East & North Africa
2013,98.0,99.0,98.0,98.0,,98.0,,97.0,98.0,,98.0,,Middle East & North Africa
2012,96.0,98.0,98.0,98.0,,98.0,,98.0,96.0,,96.0,,Middle East & North Africa
2011,95.0,98.0,98.0,98.0,,98.0,,98.0,95.0,,95.0,,Middle East & North Africa
2010,95.0,98.0,98.0,98.0,,98.0,,98.0,95.0,,95.0,,Middle East & North Africa
2009,95.0,98.0,98.0,98.0,,98.0,,95.0,90.0,,90.0,,Middle East & North Africa
2008,95.0,98.0,97.0,97.0,,97.0,,95.0,90.0,,90.0,,Middle East & North Africa
2007,90.0,99.0,98.0,98.0,,98.0,,95.0,97.0,,97.0,,Middle East & North Africa
2006,95.0,99.0,98.0,98.0,,98.0,,99.0,88.0,,88.0,,Middle East & North Africa
2005,89.0,98.0,95.0,95.0,,95.0,,95.0,92.0,,92.0,,Middle East & North Africa
2004,58.0,96.0,95.0,95.0,,95.0,,99.0,98.0,,98.0,,Middle East & North Africa
2003,67.0,98.0,97.0,97.0,,97.0,,96.0,91.0,,91.0,,Middle East & North Africa
2002,29.0,96.0,95.0,95.0,,95.0,,95.0,90.0,,90.0,,Middle East & North Africa
2001,,99.0,99.0,97.0,,59.0,,99.0,87.0,,87.0,,Middle East & North Africa
2000,,91.0,91.0,93.0,,,,94.0,83.0,,83.0,,Middle East & North Africa
1999,,86.0,85.0,92.0,,,,83.0,,,,,Middle East & North Africa
1998,,99.0,99.0,91.0,,,,93.0,,,,,Middle East & North Africa
1997,,99.0,99.0,90.0,,,,95.0,,,,,Middle East & North Africa
1996,,99.0,96.0,85.0,,,,94.0,,,,,Middle East & North Africa
1995,,99.0,95.0,54.0,,,,92.0,,,,,Middle East & North Africa
1994,,95.0,94.0,,,,,91.0,,,,,Middle East & North Africa
1993,,93.0,91.0,,,,,88.0,,,,,Middle East & North Africa
1992,,97.0,92.0,,,,,91.0,,,,,Middle East & North Africa
1991,,97.0,92.0,,,,,85.0,,,,,Middle East & North Africa
1990,,97.0,92.0,,,,,87.0,,,,,Middle East & North Africa
1989,,97.0,94.0,,,,,84.0,,,,,Middle East & North Africa
1988,,97.0,93.0,,,,,87.0,,,,,Middle East & North Africa
1987,,96.0,90.0,,,,,87.0,,,,,Middle East & North Africa
1986,,96.0,88.0,,,,,81.0,,,,,Middle East & North Africa
1985,,95.0,85.0,,,,,73.0,,,,,Middle East & North Africa
1984,,93.0,81.0,,,,,65.0,,,,,Middle East & North Africa
1983,,91.0,76.0,,,,,56.0,,,,,Middle East & North Africa
1982,,91.0,75.0,,,,,48.0,,,,,Middle East & North Africa
1981,,93.0,81.0,,,,,40.0,,,,,Middle East & North Africa
1980,,55.0,30.0,,,,,29.0,,,,,Middle East & North Africa
