Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,3.0,Middle East & North Africa
2017,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,3.0,Middle East & North Africa
2016,96.0,99.0,99.0,99.0,92.0,99.0,98.0,99.0,99.0,99.0,99.0,,Middle East & North Africa
2015,99.0,99.0,99.0,99.0,99.0,99.0,97.0,93.0,96.0,99.0,93.0,,Middle East & North Africa
2014,99.0,97.0,95.0,96.0,96.0,95.0,,94.0,86.0,94.0,94.0,,Middle East & North Africa
2013,99.0,99.0,99.0,99.0,98.0,99.0,,99.0,99.0,99.0,99.0,,Middle East & North Africa
2012,97.0,99.0,98.0,98.0,97.0,98.0,,99.0,99.0,99.0,99.0,,Middle East & North Africa
2011,99.0,99.0,99.0,99.0,98.0,99.0,,99.0,99.0,99.0,99.0,,Middle East & North Africa
2010,98.0,98.0,98.0,99.0,99.0,98.0,,98.0,99.0,98.0,98.0,,Middle East & North Africa
2009,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,94.0,99.0,99.0,,Middle East & North Africa
2008,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,86.0,99.0,99.0,,Middle East & North Africa
2007,94.0,99.0,99.0,99.0,99.0,99.0,,99.0,90.0,,99.0,,Middle East & North Africa
2006,84.0,99.0,99.0,99.0,99.0,99.0,,99.0,96.0,,99.0,,Middle East & North Africa
2005,,99.0,99.0,99.0,99.0,99.0,,99.0,77.0,,99.0,,Middle East & North Africa
2004,,99.0,98.0,94.0,99.0,98.0,,97.0,,,97.0,,Middle East & North Africa
2003,,99.0,99.0,99.0,98.0,99.0,,97.0,,,97.0,,Middle East & North Africa
2002,,99.0,99.0,99.0,96.0,99.0,,97.0,,,97.0,,Middle East & North Africa
2001,,99.0,99.0,99.0,95.0,99.0,,99.0,,,99.0,,Middle East & North Africa
2000,,98.0,98.0,95.0,94.0,98.0,,99.0,,,99.0,,Middle East & North Africa
1999,,97.0,94.0,95.0,,94.0,,96.0,,,96.0,,Middle East & North Africa
1998,,98.0,95.0,99.0,,94.0,,99.0,,,99.0,,Middle East & North Africa
1997,,98.0,96.0,98.0,,,,95.0,,,95.0,,Middle East & North Africa
1996,,99.0,99.0,99.0,,,,99.0,,,99.0,,Middle East & North Africa
1995,,99.0,99.0,99.0,,,,98.0,,,98.0,,Middle East & North Africa
1994,,99.0,99.0,93.0,,,,98.0,,,,,Middle East & North Africa
1993,,98.0,97.0,91.0,,,,95.0,,,,,Middle East & North Africa
1992,,96.0,88.0,38.0,,,,85.0,,,,,Middle East & North Africa
1991,,93.0,80.0,,,,,75.0,,,,,Middle East & North Africa
1990,,88.0,71.0,,,,,66.0,,,,,Middle East & North Africa
1989,,97.0,94.0,,,,,98.0,,,,,Middle East & North Africa
1988,,97.0,94.0,,,,,97.0,,,,,Middle East & North Africa
1987,,97.0,92.0,,,,,95.0,,,,,Middle East & North Africa
1986,,97.0,91.0,,,,,93.0,,,,,Middle East & North Africa
1985,,96.0,90.0,,,,,91.0,,,,,Middle East & North Africa
1984,,96.0,89.0,,,,,88.0,,,,,Middle East & North Africa
1983,,96.0,89.0,,,,,80.0,,,,,Middle East & North Africa
1982,,94.0,83.0,,,,,79.0,,,,,Middle East & North Africa
1981,,92.0,79.0,,,,,71.0,,,,,Middle East & North Africa
1980,,86.0,67.0,,,,,48.0,,,,,Middle East & North Africa
