Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,83.0,80.0,80.0,85.0,96.0,82.0,63.0,82.0,63.0,,Middle East & North Africa
2017,96.0,83.0,80.0,80.0,85.0,96.0,82.0,63.0,82.0,63.0,,Middle East & North Africa
2016,96.0,83.0,80.0,80.0,85.0,96.0,82.0,63.0,,63.0,,Middle East & North Africa
2015,96.0,83.0,80.0,80.0,85.0,96.0,82.0,63.0,,63.0,,Middle East & North Africa
2014,96.0,83.0,80.0,80.0,85.0,,82.0,63.0,,63.0,,Middle East & North Africa
2013,95.0,83.0,80.0,80.0,85.0,,82.0,65.0,,65.0,,Middle East & North Africa
2012,93.0,83.0,80.0,83.0,84.0,,81.0,68.0,,68.0,,Middle East & North Africa
2011,91.0,82.0,80.0,86.0,83.0,,81.0,70.0,,70.0,,Middle East & North Africa
2010,88.0,82.0,81.0,88.0,83.0,,80.0,73.0,,73.0,,Middle East & North Africa
2009,86.0,81.0,81.0,91.0,82.0,,80.0,75.0,,75.0,,Middle East & North Africa
2008,84.0,81.0,81.0,94.0,81.0,,79.0,65.0,,65.0,,Middle East & North Africa
2007,84.0,80.0,80.0,94.0,80.0,,74.0,55.0,,55.0,,Middle East & North Africa
2006,84.0,78.0,78.0,94.0,78.0,,69.0,45.0,,45.0,,Middle East & North Africa
2005,83.0,77.0,77.0,94.0,77.0,,63.0,34.0,,63.0,,Middle East & North Africa
2004,83.0,75.0,75.0,94.0,75.0,,58.0,24.0,,58.0,,Middle East & North Africa
2003,83.0,74.0,74.0,94.0,74.0,,53.0,14.0,,53.0,,Middle East & North Africa
2002,85.0,77.0,77.0,94.0,,,59.0,28.0,,59.0,,Middle East & North Africa
2001,88.0,80.0,80.0,90.0,,,65.0,42.0,,65.0,,Middle East & North Africa
2000,90.0,83.0,83.0,90.0,,,71.0,56.0,,71.0,,Middle East & North Africa
1999,92.0,86.0,86.0,,,,77.0,,,77.0,,Middle East & North Africa
1998,95.0,89.0,,,,,83.0,,,83.0,,Middle East & North Africa
1997,97.0,92.0,,,,,89.0,,,89.0,,Middle East & North Africa
1996,97.0,93.0,,,,,85.0,,,85.0,,Middle East & North Africa
1995,97.0,93.0,,,,,85.0,,,85.0,,Middle East & North Africa
1994,97.0,92.0,,,,,88.0,,,,,Middle East & North Africa
1993,97.0,91.0,,,,,88.0,,,,,Middle East & North Africa
1992,96.0,90.0,,,,,76.0,,,,,Middle East & North Africa
1991,95.0,86.0,,,,,65.0,,,,,Middle East & North Africa
1990,94.0,82.0,,,,,61.0,,,,,Middle East & North Africa
1989,92.0,79.0,,,,,58.0,,,,,Middle East & North Africa
1988,84.0,63.0,,,,,48.0,,,,,Middle East & North Africa
1987,71.0,46.0,,,,,39.0,,,,,Middle East & North Africa
1986,55.0,30.0,,,,,30.0,,,,,Middle East & North Africa
1985,40.0,17.0,,,,,23.0,,,,,Middle East & North Africa
1984,22.0,4.0,,,,,16.0,,,,,Middle East & North Africa
1983,22.0,4.0,,,,,8.0,,,,,Middle East & North Africa
1982,22.0,4.0,,,,,1.0,,,,,Middle East & North Africa
1981,20.0,2.0,,,,,,,,,,Middle East & North Africa
1980,17.0,,,,,,,,,,,Middle East & North Africa
