Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,98.0,97.0,97.0,,97.0,98.0,97.0,96.0,96.0,97.0,97.0,Middle East & North Africa
2017,99.0,99.0,96.0,96.0,,96.0,99.0,94.0,94.0,94.0,94.0,96.0,Middle East & North Africa
2016,99.0,98.0,97.0,97.0,,97.0,98.0,97.0,96.0,96.0,97.0,97.0,Middle East & North Africa
2015,99.0,98.0,97.0,97.0,,97.0,98.0,98.0,97.0,71.0,98.0,93.0,Middle East & North Africa
2014,99.0,96.0,94.0,94.0,,94.0,,93.0,92.0,39.0,93.0,86.0,Middle East & North Africa
2013,99.0,98.0,96.0,96.0,,96.0,,96.0,95.0,,96.0,,Middle East & North Africa
2012,99.0,99.0,98.0,98.0,,98.0,,98.0,97.0,,98.0,,Middle East & North Africa
2011,99.0,99.0,98.0,98.0,,98.0,,98.0,97.0,,98.0,,Middle East & North Africa
2010,99.0,98.0,98.0,98.0,,98.0,,98.0,97.0,,98.0,,Middle East & North Africa
2009,99.0,98.0,98.0,98.0,,98.0,,98.0,97.0,,98.0,,Middle East & North Africa
2008,99.0,98.0,98.0,98.0,,98.0,,98.0,97.0,,98.0,,Middle East & North Africa
2007,99.0,98.0,98.0,98.0,,56.0,,98.0,97.0,,98.0,,Middle East & North Africa
2006,99.0,98.0,98.0,98.0,,,,98.0,96.0,,98.0,,Middle East & North Africa
2005,99.0,98.0,98.0,97.0,,,,97.0,95.0,,97.0,,Middle East & North Africa
2004,99.0,99.0,97.0,99.0,,,,99.0,95.0,,99.0,,Middle East & North Africa
2003,99.0,99.0,95.0,96.0,,,,96.0,90.0,,96.0,,Middle East & North Africa
2002,99.0,97.0,93.0,91.0,,,,91.0,86.0,,91.0,,Middle East & North Africa
2001,99.0,96.0,94.0,93.0,,,,93.0,81.0,,93.0,,Middle East & North Africa
2000,98.0,97.0,94.0,92.0,,,,93.0,,,93.0,,Middle East & North Africa
1999,97.0,97.0,94.0,92.0,,,,92.0,,,92.0,,Middle East & North Africa
1998,97.0,98.0,95.0,92.0,,,,92.0,,,92.0,,Middle East & North Africa
1997,97.0,98.0,96.0,91.0,,,,91.0,,,91.0,,Middle East & North Africa
1996,97.0,98.0,96.0,93.0,,,,93.0,,,93.0,,Middle East & North Africa
1995,99.0,98.0,95.0,92.0,,,,92.0,,,92.0,,Middle East & North Africa
1994,99.0,98.0,95.0,92.0,,,,92.0,,,,,Middle East & North Africa
1993,99.0,98.0,96.0,91.0,,,,91.0,,,,,Middle East & North Africa
1992,99.0,96.0,90.0,88.0,,,,88.0,,,,,Middle East & North Africa
1991,95.0,95.0,87.0,,,,,87.0,,,,,Middle East & North Africa
1990,90.0,94.0,84.0,,,,,89.0,,,,,Middle East & North Africa
1989,90.0,95.0,87.0,,,,,79.0,,,,,Middle East & North Africa
1988,92.0,94.0,84.0,,,,,76.0,,,,,Middle East & North Africa
1987,95.0,94.0,82.0,,,,,75.0,,,,,Middle East & North Africa
1986,92.0,94.0,82.0,,,,,78.0,,,,,Middle East & North Africa
1985,87.0,93.0,81.0,,,,,75.0,,,,,Middle East & North Africa
1984,85.0,93.0,81.0,,,,,76.0,,,,,Middle East & North Africa
1983,84.0,92.0,79.0,,,,,71.0,,,,,Middle East & North Africa
1982,89.0,89.0,72.0,,,,,65.0,,,,,Middle East & North Africa
1981,78.0,86.0,67.0,,,,,66.0,,,,,Middle East & North Africa
1980,88.0,82.0,60.0,,,,,61.0,,,,,Middle East & North Africa
