Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,36.0,99.0,80.0,99.0,99.0,99.0,99.0,99.0,Middle East & North Africa
2017,99.0,99.0,99.0,99.0,33.0,99.0,17.0,99.0,99.0,99.0,99.0,99.0,Middle East & North Africa
2016,99.0,99.0,99.0,99.0,22.0,99.0,95.0,99.0,99.0,98.0,99.0,99.0,Middle East & North Africa
2015,99.0,99.0,99.0,99.0,14.0,99.0,33.0,99.0,95.0,95.0,99.0,90.0,Middle East & North Africa
2014,99.0,99.0,99.0,99.0,14.0,99.0,,99.0,54.0,90.0,99.0,90.0,Middle East & North Africa
2013,99.0,99.0,99.0,99.0,14.0,99.0,,99.0,,80.0,,90.0,Middle East & North Africa
2012,99.0,99.0,99.0,99.0,9.0,99.0,,99.0,,72.0,,88.0,Middle East & North Africa
2011,99.0,99.0,99.0,98.0,4.0,99.0,,99.0,,23.0,,80.0,Middle East & North Africa
2010,99.0,99.0,99.0,98.0,20.0,99.0,,98.0,,1.0,,2.0,Middle East & North Africa
2009,99.0,99.0,99.0,98.0,,99.0,,98.0,,,,,Middle East & North Africa
2008,99.0,99.0,99.0,97.0,,99.0,,96.0,,,,,Middle East & North Africa
2007,96.0,98.0,95.0,95.0,,91.0,,95.0,92.0,,92.0,,Middle East & North Africa
2006,95.0,99.0,97.0,95.0,,,,95.0,92.0,,92.0,,Middle East & North Africa
2005,95.0,99.0,98.0,96.0,,,,97.0,92.0,,92.0,,Middle East & North Africa
2004,95.0,99.0,97.0,95.0,,,,95.0,91.0,,91.0,,Middle East & North Africa
2003,92.0,94.0,91.0,90.0,,,,90.0,,,,,Middle East & North Africa
2002,92.0,98.0,94.0,92.0,,,,94.0,,,,,Middle East & North Africa
2001,93.0,97.0,96.0,84.0,,,,96.0,,,,,Middle East & North Africa
2000,97.0,98.0,95.0,43.0,,,,93.0,,,,,Middle East & North Africa
1999,93.0,93.0,91.0,10.0,,,,90.0,,,,,Middle East & North Africa
1998,90.0,99.0,93.0,,,,,91.0,,,,,Middle East & North Africa
1997,94.0,99.0,94.0,,,,,92.0,,,,,Middle East & North Africa
1996,96.0,91.0,95.0,,,,,93.0,,,,,Middle East & North Africa
1995,96.0,94.0,90.0,,,,,88.0,,,,,Middle East & North Africa
1994,97.0,92.0,87.0,,,,,87.0,,,,,Middle East & North Africa
1993,99.0,90.0,86.0,,,,,83.0,,,,,Middle East & North Africa
1992,97.0,95.0,87.0,,,,,81.0,,,,,Middle East & North Africa
1991,96.0,93.0,81.0,,,,,80.0,,,,,Middle East & North Africa
1990,96.0,93.0,81.0,,,,,79.0,,,,,Middle East & North Africa
1989,91.0,93.0,80.0,,,,,82.0,,,,,Middle East & North Africa
1988,92.0,94.0,82.0,,,,,81.0,,,,,Middle East & North Africa
1987,92.0,95.0,85.0,,,,,73.0,,,,,Middle East & North Africa
1986,83.0,84.0,63.0,,,,,58.0,,,,,Middle East & North Africa
1985,77.0,75.0,51.0,,,,,45.0,,,,,Middle East & North Africa
1984,70.0,70.0,45.0,,,,,42.0,,,,,Middle East & North Africa
1983,62.0,66.0,41.0,,,,,35.0,,,,,Middle East & North Africa
1982,50.0,57.0,32.0,,,,,17.0,,,,,Middle East & North Africa
1981,,,,,,,,,,,,,Middle East & North Africa
1980,,,,,,,,,,,,,Middle East & North Africa
