Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,Middle East & North Africa
2017,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,Middle East & North Africa
2016,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,Middle East & North Africa
2015,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,,Middle East & North Africa
2014,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,98.0,99.0,,Middle East & North Africa
2013,99.0,99.0,98.0,98.0,99.0,98.0,,99.0,99.0,99.0,99.0,,Middle East & North Africa
2012,99.0,99.0,98.0,98.0,99.0,98.0,,99.0,99.0,99.0,99.0,,Middle East & North Africa
2011,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,,Middle East & North Africa
2010,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,,Middle East & North Africa
2009,99.0,99.0,98.0,98.0,99.0,98.0,,99.0,99.0,96.0,99.0,,Middle East & North Africa
2008,99.0,99.0,99.0,99.0,99.0,99.0,,98.0,98.0,,98.0,,Middle East & North Africa
2007,99.0,99.0,99.0,99.0,99.0,99.0,,97.0,95.0,,97.0,,Middle East & North Africa
2006,99.0,98.0,98.0,99.0,99.0,98.0,,96.0,97.0,,96.0,,Middle East & North Africa
2005,98.0,99.0,99.0,99.0,99.0,99.0,,98.0,97.0,,98.0,,Middle East & North Africa
2004,99.0,99.0,99.0,99.0,99.0,99.0,,98.0,98.0,,98.0,,Middle East & North Africa
2003,98.0,99.0,99.0,99.0,99.0,99.0,,98.0,98.0,,98.0,,Middle East & North Africa
2002,98.0,99.0,99.0,99.0,97.0,97.0,,99.0,98.0,,99.0,,Middle East & North Africa
2001,98.0,99.0,99.0,99.0,97.0,,,99.0,99.0,,99.0,,Middle East & North Africa
2000,98.0,99.0,99.0,99.0,99.0,,,99.0,99.0,,99.0,,Middle East & North Africa
1999,98.0,99.0,99.0,99.0,,,,99.0,,,99.0,,Middle East & North Africa
1998,96.0,99.0,99.0,99.0,,,,98.0,,,98.0,,Middle East & North Africa
1997,96.0,99.0,99.0,99.0,,,,98.0,,,98.0,,Middle East & North Africa
1996,96.0,99.0,99.0,99.0,,,,98.0,,,98.0,,Middle East & North Africa
1995,96.0,99.0,99.0,99.0,,,,98.0,,,98.0,,Middle East & North Africa
1994,96.0,98.0,97.0,99.0,,,,97.0,,,97.0,,Middle East & North Africa
1993,95.0,98.0,97.0,96.0,,,,95.0,,,,,Middle East & North Africa
1992,96.0,99.0,99.0,99.0,,,,96.0,,,,,Middle East & North Africa
1991,94.0,98.0,95.0,94.0,,,,96.0,,,,,Middle East & North Africa
1990,96.0,98.0,98.0,,,,,98.0,,,,,Middle East & North Africa
1989,95.0,98.0,98.0,,,,,94.0,,,,,Middle East & North Africa
1988,96.0,96.0,90.0,,,,,87.0,,,,,Middle East & North Africa
1987,97.0,96.0,89.0,,,,,86.0,,,,,Middle East & North Africa
1986,95.0,94.0,82.0,,,,,79.0,,,,,Middle East & North Africa
1985,93.0,82.0,60.0,,,,,65.0,,,,,Middle East & North Africa
1984,79.0,70.0,45.0,,,,,53.0,,,,,Middle East & North Africa
1983,77.0,56.0,31.0,,,,,34.0,,,,,Middle East & North Africa
1982,77.0,48.0,24.0,,,,,24.0,,,,,Middle East & North Africa
1981,54.0,42.0,19.0,,,,,10.0,,,,,Middle East & North Africa
1980,51.0,41.0,18.0,,,,,22.0,,,,,Middle East & North Africa
