Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,99.0,99.0,Middle East & North Africa
2017,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Middle East & North Africa
2016,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,Middle East & North Africa
2015,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,Middle East & North Africa
2014,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,Middle East & North Africa
2013,99.0,99.0,99.0,99.0,97.0,99.0,99.0,98.0,97.0,99.0,,Middle East & North Africa
2012,98.0,98.0,97.0,99.0,97.0,97.0,98.0,97.0,25.0,98.0,,Middle East & North Africa
2011,98.0,99.0,99.0,99.0,96.0,99.0,99.0,95.0,,99.0,,Middle East & North Africa
2010,98.0,99.0,99.0,98.0,96.0,99.0,98.0,94.0,,94.0,,Middle East & North Africa
2009,99.0,99.0,97.0,97.0,95.0,97.0,97.0,97.0,,97.0,,Middle East & North Africa
2008,99.0,99.0,96.0,96.0,95.0,96.0,96.0,99.0,,99.0,,Middle East & North Africa
2007,99.0,99.0,99.0,98.0,99.0,96.0,98.0,87.0,,87.0,,Middle East & North Africa
2006,99.0,99.0,96.0,97.0,99.0,,99.0,92.0,,92.0,,Middle East & North Africa
2005,99.0,99.0,96.0,99.0,98.0,,98.0,97.0,,97.0,,Middle East & North Africa
2004,98.0,99.0,96.0,96.0,97.0,,96.0,94.0,,94.0,,Middle East & North Africa
2003,99.0,99.0,98.0,97.0,95.0,,99.0,94.0,,94.0,,Middle East & North Africa
2002,96.0,99.0,97.0,91.0,93.0,,94.0,93.0,,93.0,,Middle East & North Africa
2001,97.0,97.0,97.0,92.0,94.0,,98.0,94.0,,94.0,,Middle East & North Africa
2000,92.0,95.0,93.0,95.0,95.0,,93.0,95.0,,95.0,,Middle East & North Africa
1999,91.0,96.0,89.0,90.0,,,92.0,,,,,Middle East & North Africa
1998,92.0,99.0,98.0,91.0,,,92.0,,,,,Middle East & North Africa
1997,89.0,98.0,96.0,99.0,,,96.0,,,,,Middle East & North Africa
1996,95.0,98.0,97.0,91.0,,,95.0,,,,,Middle East & North Africa
1995,91.0,99.0,99.0,93.0,,,73.0,,,,,Middle East & North Africa
1994,99.0,98.0,98.0,,,,96.0,,,,,Middle East & North Africa
1993,,97.0,94.0,,,,91.0,,,,,Middle East & North Africa
1992,,,,,,,,,,,,Middle East & North Africa
1991,,,,,,,,,,,,Middle East & North Africa
1990,,,,,,,,,,,,Middle East & North Africa
1989,,,,,,,,,,,,Middle East & North Africa
1988,,,,,,,,,,,,Middle East & North Africa
1987,,,,,,,,,,,,Middle East & North Africa
1986,,,,,,,,,,,,Middle East & North Africa
1985,,,,,,,,,,,,Middle East & North Africa
1984,,,,,,,,,,,,Middle East & North Africa
1983,,,,,,,,,,,,Middle East & North Africa
1982,,,,,,,,,,,,Middle East & North Africa
1981,,,,,,,,,,,,Middle East & North Africa
1980,,,,,,,,,,,,Middle East & North Africa
