Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,98.0,98.0,97.0,98.0,99.0,99.0,95.0,98.0,99.0,95.0,Middle East & North Africa
2017,99.0,98.0,97.0,97.0,97.0,97.0,98.0,99.0,93.0,98.0,99.0,93.0,Middle East & North Africa
2016,97.0,99.0,98.0,98.0,96.0,98.0,99.0,99.0,92.0,97.0,99.0,99.0,Middle East & North Africa
2015,97.0,99.0,99.0,99.0,95.0,99.0,96.0,99.0,91.0,95.0,99.0,92.0,Middle East & North Africa
2014,90.0,99.0,89.0,89.0,92.0,89.0,,99.0,95.0,94.0,99.0,90.0,Middle East & North Africa
2013,98.0,99.0,97.0,97.0,93.0,93.0,,97.0,99.0,99.0,97.0,97.0,Middle East & North Africa
2012,97.0,95.0,92.0,93.0,95.0,97.0,,97.0,99.0,92.0,97.0,90.0,Middle East & North Africa
2011,97.0,94.0,93.0,93.0,95.0,93.0,,98.0,99.0,98.0,98.0,93.0,Middle East & North Africa
2010,99.0,98.0,97.0,97.0,99.0,97.0,,99.0,98.0,97.0,99.0,55.0,Middle East & North Africa
2009,98.0,99.0,99.0,99.0,94.0,99.0,,99.0,99.0,99.0,99.0,59.0,Middle East & North Africa
2008,97.0,97.0,97.0,97.0,94.0,97.0,,96.0,95.0,,96.0,,Middle East & North Africa
2007,96.0,96.0,94.0,94.0,93.0,94.0,,92.0,91.0,,92.0,,Middle East & North Africa
2006,99.0,99.0,96.0,96.0,99.0,96.0,,99.0,87.0,,99.0,,Middle East & North Africa
2005,99.0,99.0,97.0,97.0,99.0,97.0,,99.0,98.0,,99.0,,Middle East & North Africa
2004,99.0,99.0,96.0,97.0,99.0,96.0,,99.0,95.0,,99.0,,Middle East & North Africa
2003,99.0,96.0,92.0,93.0,99.0,92.0,,93.0,91.0,,93.0,,Middle East & North Africa
2002,99.0,96.0,96.0,98.0,99.0,96.0,,99.0,91.0,,99.0,,Middle East & North Africa
2001,99.0,95.0,93.0,93.0,99.0,93.0,,92.0,,,92.0,,Middle East & North Africa
2000,99.0,92.0,80.0,89.0,99.0,80.0,,91.0,,,91.0,,Middle East & North Africa
1999,99.0,94.0,92.0,92.0,,92.0,,87.0,,,87.0,,Middle East & North Africa
1998,99.0,95.0,94.0,92.0,,94.0,,89.0,,,89.0,,Middle East & North Africa
1997,99.0,97.0,92.0,90.0,,92.0,,87.0,,,87.0,,Middle East & North Africa
1996,98.0,97.0,92.0,90.0,,,,90.0,,,90.0,,Middle East & North Africa
1995,96.0,97.0,92.0,90.0,,,,87.0,,,87.0,,Middle East & North Africa
1994,96.0,97.0,91.0,90.0,,,,86.0,,,86.0,,Middle East & North Africa
1993,99.0,96.0,90.0,93.0,,,,86.0,,,86.0,,Middle East & North Africa
1992,99.0,96.0,88.0,89.0,,,,86.0,,,86.0,,Middle East & North Africa
1991,98.0,95.0,86.0,86.0,,,,84.0,,,,,Middle East & North Africa
1990,97.0,94.0,82.0,,,,,79.0,,,,,Middle East & North Africa
1989,79.0,93.0,81.0,,,,,79.0,,,,,Middle East & North Africa
1988,85.0,87.0,69.0,,,,,73.0,,,,,Middle East & North Africa
1987,85.0,89.0,72.0,,,,,60.0,,,,,Middle East & North Africa
1986,84.0,89.0,72.0,,,,,62.0,,,,,Middle East & North Africa
1985,76.0,88.0,71.0,,,,,62.0,,,,,Middle East & North Africa
1984,73.0,82.0,60.0,,,,,62.0,,,,,Middle East & North Africa
1983,69.0,73.0,49.0,,,,,69.0,,,,,Middle East & North Africa
1982,44.0,62.0,37.0,,,,,22.0,,,,,Middle East & North Africa
1981,28.0,68.0,43.0,,,,,10.0,,,,,Middle East & North Africa
1980,4.0,82.0,61.0,,,,,26.0,,,,,Middle East & North Africa
