Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,96.0,96.0,97.0,98.0,96.0,96.0,98.0,97.0,98.0,98.0,97.0,Middle East & North Africa
2017,97.0,99.0,98.0,98.0,96.0,98.0,99.0,96.0,96.0,98.0,96.0,97.0,Middle East & North Africa
2016,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,98.0,98.0,95.0,Middle East & North Africa
2015,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,98.0,98.0,95.0,Middle East & North Africa
2014,98.0,99.0,98.0,98.0,98.0,98.0,,98.0,98.0,98.0,98.0,94.0,Middle East & North Africa
2013,99.0,98.0,98.0,98.0,99.0,98.0,,98.0,99.0,98.0,98.0,84.0,Middle East & North Africa
2012,99.0,98.0,98.0,98.0,99.0,98.0,,98.0,98.0,98.0,98.0,,Middle East & North Africa
2011,98.0,99.0,98.0,98.0,98.0,98.0,,98.0,97.0,98.0,98.0,,Middle East & North Africa
2010,98.0,98.0,98.0,98.0,98.0,98.0,,98.0,98.0,98.0,98.0,,Middle East & North Africa
2009,98.0,98.0,98.0,98.0,98.0,98.0,,98.0,98.0,98.0,98.0,,Middle East & North Africa
2008,98.0,98.0,98.0,98.0,98.0,98.0,,97.0,98.0,,97.0,,Middle East & North Africa
2007,96.0,97.0,96.0,96.0,96.0,96.0,,96.0,98.0,,96.0,,Middle East & North Africa
2006,95.0,97.0,96.0,96.0,95.0,96.0,,95.0,97.0,,95.0,,Middle East & North Africa
2005,96.0,97.0,96.0,97.0,96.0,96.0,,97.0,97.0,,97.0,,Middle East & North Africa
2004,95.0,96.0,96.0,96.0,95.0,96.0,,97.0,97.0,,97.0,,Middle East & North Africa
2003,94.0,96.0,95.0,95.0,94.0,95.0,,96.0,97.0,,96.0,,Middle East & North Africa
2002,98.0,97.0,95.0,97.0,98.0,95.0,,97.0,96.0,,97.0,,Middle East & North Africa
2001,94.0,99.0,97.0,95.0,94.0,,,94.0,96.0,,94.0,,Middle East & North Africa
2000,94.0,95.0,95.0,93.0,,,,94.0,,,94.0,,Middle East & North Africa
1999,92.0,94.0,93.0,92.0,,,,92.0,,,92.0,,Middle East & North Africa
1998,92.0,95.0,94.0,95.0,,,,93.0,,,93.0,,Middle East & North Africa
1997,91.0,94.0,92.0,91.0,,,,92.0,,,92.0,,Middle East & North Africa
1996,91.0,97.0,93.0,92.0,,,,92.0,,,92.0,,Middle East & North Africa
1995,94.0,98.0,96.0,93.0,,,,94.0,,,94.0,,Middle East & North Africa
1994,94.0,98.0,95.0,94.0,,,,93.0,,,93.0,,Middle East & North Africa
1993,93.0,97.0,94.0,93.0,,,,91.0,,,91.0,,Middle East & North Africa
1992,91.0,97.0,91.0,89.0,,,,88.0,,,88.0,,Middle East & North Africa
1991,85.0,97.0,91.0,86.0,,,,95.0,,,95.0,,Middle East & North Africa
1990,90.0,97.0,92.0,66.0,,,,88.0,,,,,Middle East & North Africa
1989,96.0,98.0,96.0,,,,,90.0,,,,,Middle East & North Africa
1988,93.0,96.0,89.0,,,,,81.0,,,,,Middle East & North Africa
1987,91.0,96.0,89.0,,,,,77.0,,,,,Middle East & North Africa
1986,90.0,95.0,86.0,,,,,77.0,,,,,Middle East & North Africa
1985,89.0,93.0,81.0,,,,,79.0,,,,,Middle East & North Africa
1984,88.0,91.0,76.0,,,,,71.0,,,,,Middle East & North Africa
1983,72.0,86.0,67.0,,,,,65.0,,,,,Middle East & North Africa
1982,56.0,83.0,62.0,,,,,53.0,,,,,Middle East & North Africa
1981,49.0,77.0,53.0,,,,,12.0,,,,,Middle East & North Africa
1980,33.0,66.0,41.0,,,,,8.0,,,,,Middle East & North Africa
