Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,79.0,67.0,47.0,47.0,,48.0,59.0,63.0,54.0,,63.0,,Middle East & North Africa
2017,78.0,63.0,48.0,48.0,,48.0,67.0,67.0,59.0,,67.0,,Middle East & North Africa
2016,72.0,61.0,42.0,42.0,,42.0,58.0,62.0,52.0,,62.0,,Middle East & North Africa
2015,66.0,62.0,41.0,41.0,,41.0,59.0,53.0,47.0,,53.0,,Middle East & North Africa
2014,81.0,65.0,43.0,47.0,,43.0,,54.0,49.0,,54.0,,Middle East & North Africa
2013,84.0,55.0,41.0,71.0,,41.0,,58.0,51.0,,58.0,,Middle East & North Africa
2012,82.0,68.0,45.0,43.0,,45.0,,61.0,53.0,,61.0,,Middle East & North Africa
2011,90.0,86.0,72.0,66.0,,72.0,,80.0,71.0,,80.0,,Middle East & North Africa
2010,97.0,89.0,80.0,84.0,,80.0,,82.0,82.0,,82.0,,Middle East & North Africa
2009,95.0,89.0,80.0,84.0,,80.0,,82.0,82.0,,82.0,,Middle East & North Africa
2008,93.0,88.0,79.0,83.0,,79.0,,81.0,81.0,,81.0,,Middle East & North Africa
2007,93.0,88.0,80.0,83.0,,80.0,,81.0,81.0,,81.0,,Middle East & North Africa
2006,91.0,88.0,80.0,83.0,,80.0,,81.0,81.0,,81.0,,Middle East & North Africa
2005,90.0,88.0,80.0,83.0,,80.0,,81.0,81.0,,81.0,,Middle East & North Africa
2004,90.0,89.0,81.0,82.0,,81.0,,82.0,82.0,,82.0,,Middle East & North Africa
2003,90.0,90.0,83.0,81.0,,82.0,,83.0,83.0,,83.0,,Middle East & North Africa
2002,90.0,92.0,84.0,80.0,,83.0,,84.0,84.0,,84.0,,Middle East & North Africa
2001,91.0,90.0,82.0,80.0,,84.0,,80.0,83.0,,80.0,,Middle East & North Africa
2000,91.0,90.0,84.0,79.0,,,,84.0,80.0,,84.0,,Middle East & North Africa
1999,91.0,93.0,86.0,78.0,,,,86.0,,,86.0,,Middle East & North Africa
1998,91.0,94.0,87.0,77.0,,,,87.0,,,,,Middle East & North Africa
1997,91.0,95.0,87.0,76.0,,,,84.0,,,,,Middle East & North Africa
1996,91.0,96.0,88.0,75.0,,,,85.0,,,,,Middle East & North Africa
1995,91.0,96.0,89.0,74.0,,,,85.0,,,,,Middle East & North Africa
1994,91.0,97.0,89.0,64.0,,,,86.0,,,,,Middle East & North Africa
1993,91.0,98.0,90.0,23.0,,,,86.0,,,,,Middle East & North Africa
1992,92.0,95.0,89.0,5.0,,,,84.0,,,,,Middle East & North Africa
1991,95.0,95.0,89.0,,,,,84.0,,,,,Middle East & North Africa
1990,92.0,93.0,91.0,,,,,87.0,,,,,Middle East & North Africa
1989,98.0,99.0,94.0,,,,,86.0,,,,,Middle East & North Africa
1988,87.0,83.0,59.0,,,,,52.0,,,,,Middle East & North Africa
1987,71.0,71.0,42.0,,,,,37.0,,,,,Middle East & North Africa
1986,98.0,90.0,86.0,,,,,64.0,,,,,Middle East & North Africa
1985,53.0,54.0,29.0,,,,,27.0,,,,,Middle East & North Africa
1984,49.0,50.0,25.0,,,,,23.0,,,,,Middle East & North Africa
1983,45.0,45.0,21.0,,,,,19.0,,,,,Middle East & North Africa
1982,37.0,37.0,15.0,,,,,22.0,,,,,Middle East & North Africa
1981,36.0,36.0,14.0,,,,,14.0,,,,,Middle East & North Africa
1980,35.0,35.0,13.0,,,,,13.0,,,,,Middle East & North Africa
