Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,92.0,98.0,97.0,97.0,81.0,97.0,98.0,96.0,99.0,,96.0,,Middle East & North Africa
2017,91.0,99.0,98.0,98.0,83.0,98.0,96.0,98.0,97.0,,98.0,,Middle East & North Africa
2016,95.0,99.0,98.0,98.0,85.0,98.0,98.0,96.0,97.0,,96.0,,Middle East & North Africa
2015,97.0,98.0,98.0,98.0,88.0,98.0,98.0,98.0,98.0,,98.0,,Middle East & North Africa
2014,95.0,98.0,98.0,98.0,80.0,98.0,,98.0,95.0,,98.0,,Middle East & North Africa
2013,97.0,99.0,98.0,98.0,82.0,98.0,,94.0,98.0,,94.0,,Middle East & North Africa
2012,99.0,99.0,97.0,97.0,73.0,97.0,,96.0,96.0,,96.0,,Middle East & North Africa
2011,98.0,98.0,98.0,98.0,80.0,43.0,,96.0,96.0,,,,Middle East & North Africa
2010,98.0,98.0,98.0,98.0,82.0,,,97.0,98.0,,,,Middle East & North Africa
2009,98.0,99.0,99.0,99.0,88.0,,,98.0,97.0,,,,Middle East & North Africa
2008,99.0,99.0,99.0,99.0,92.0,,,98.0,99.0,,,,Middle East & North Africa
2007,99.0,99.0,98.0,98.0,89.0,,,98.0,98.0,,,,Middle East & North Africa
2006,99.0,99.0,99.0,99.0,,,,98.0,98.0,,,,Middle East & North Africa
2005,98.0,98.0,98.0,97.0,,80.0,,96.0,99.0,,,,Middle East & North Africa
2004,97.0,97.0,97.0,96.0,,97.0,,95.0,99.0,,,,Middle East & North Africa
2003,93.0,96.0,95.0,92.0,,96.0,,90.0,99.0,,,,Middle East & North Africa
2002,91.0,96.0,96.0,93.0,,,,94.0,98.0,,,,Middle East & North Africa
2001,91.0,99.0,98.0,94.0,,,,92.0,99.0,,,,Middle East & North Africa
2000,95.0,99.0,97.0,94.0,,,,95.0,98.0,,,,Middle East & North Africa
1999,94.0,99.0,99.0,94.0,,,,90.0,,,,,Middle East & North Africa
1998,93.0,97.0,96.0,91.0,,,,94.0,,,,,Middle East & North Africa
1997,97.0,98.0,96.0,88.0,,,,92.0,,,,,Middle East & North Africa
1996,97.0,98.0,95.0,83.0,,,,92.0,,,,,Middle East & North Africa
1995,97.0,97.0,94.0,,,,,91.0,,,,,Middle East & North Africa
1994,97.0,97.0,93.0,,,,,91.0,,,,,Middle East & North Africa
1993,97.0,97.0,94.0,,,,,92.0,,,,,Middle East & North Africa
1992,97.0,98.0,95.0,,,,,94.0,,,,,Middle East & North Africa
1991,96.0,97.0,93.0,,,,,94.0,,,,,Middle East & North Africa
1990,96.0,97.0,93.0,,,,,93.0,,,,,Middle East & North Africa
1989,96.0,97.0,93.0,,,,,93.0,,,,,Middle East & North Africa
1988,95.0,97.0,91.0,,,,,87.0,,,,,Middle East & North Africa
1987,93.0,94.0,84.0,,,,,81.0,,,,,Middle East & North Africa
1986,92.0,89.0,72.0,,,,,67.0,,,,,Middle East & North Africa
1985,90.0,88.0,70.0,,,,,65.0,,,,,Middle East & North Africa
1984,89.0,86.0,66.0,,,,,55.0,,,,,Middle East & North Africa
1983,88.0,83.0,62.0,,,,,42.0,,,,,Middle East & North Africa
1982,87.0,,,,,,,43.0,,,,,Middle East & North Africa
1981,,,,,,,,,,,,,Middle East & North Africa
1980,,,,,,,,,,,,,Middle East & North Africa
