Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Middle East & North Africa
2017,95.0,97.0,97.0,98.0,97.0,98.0,99.0,99.0,99.0,96.0,99.0,90.0,Middle East & North Africa
2016,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,92.0,Middle East & North Africa
2015,96.0,99.0,99.0,99.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,87.0,Middle East & North Africa
2014,90.0,99.0,99.0,99.0,91.0,99.0,,99.0,99.0,99.0,99.0,56.0,Middle East & North Africa
2013,94.0,98.0,98.0,98.0,96.0,98.0,,98.0,98.0,98.0,98.0,,Middle East & North Africa
2012,94.0,96.0,96.0,96.0,96.0,96.0,,96.0,96.0,96.0,96.0,,Middle East & North Africa
2011,96.0,95.0,95.0,95.0,97.0,95.0,,95.0,95.0,95.0,95.0,,Middle East & North Africa
2010,98.0,94.0,94.0,94.0,98.0,94.0,,94.0,94.0,94.0,94.0,,Middle East & North Africa
2009,98.0,95.0,93.0,93.0,98.0,93.0,,93.0,93.0,,93.0,,Middle East & North Africa
2008,98.0,96.0,92.0,92.0,98.0,92.0,,92.0,92.0,,92.0,,Middle East & North Africa
2007,98.0,97.0,92.0,92.0,98.0,92.0,,92.0,93.0,,92.0,,Middle East & North Africa
2006,98.0,97.0,92.0,92.0,98.0,92.0,,92.0,93.0,,92.0,,Middle East & North Africa
2005,98.0,97.0,94.0,92.0,98.0,94.0,,92.0,94.0,,92.0,,Middle East & North Africa
2004,98.0,96.0,94.0,92.0,98.0,94.0,,94.0,92.0,,94.0,,Middle East & North Africa
2003,98.0,96.0,94.0,92.0,98.0,94.0,,94.0,92.0,,94.0,,Middle East & North Africa
2002,98.0,96.0,94.0,92.0,98.0,94.0,,94.0,92.0,,94.0,,Middle East & North Africa
2001,98.0,96.0,94.0,92.0,98.0,92.0,,94.0,92.0,,94.0,,Middle East & North Africa
2000,98.0,96.0,94.0,92.0,98.0,92.0,,94.0,92.0,,94.0,,Middle East & North Africa
1999,98.0,96.0,94.0,92.0,,94.0,,96.0,,,96.0,,Middle East & North Africa
1998,98.0,97.0,94.0,96.0,,,,95.0,,,95.0,,Middle East & North Africa
1997,98.0,97.0,92.0,90.0,,,,95.0,,,95.0,,Middle East & North Africa
1996,98.0,96.0,90.0,90.0,,,,90.0,,,90.0,,Middle East & North Africa
1995,98.0,96.0,90.0,90.0,,,,90.0,,,90.0,,Middle East & North Africa
1994,98.0,96.0,90.0,90.0,,,,90.0,,,90.0,,Middle East & North Africa
1993,98.0,96.0,90.0,90.0,,,,90.0,,,90.0,,Middle East & North Africa
1992,98.0,95.0,86.0,,,,,85.0,,,85.0,,Middle East & North Africa
1991,96.0,95.0,85.0,,,,,82.0,,,82.0,,Middle East & North Africa
1990,96.0,95.0,85.0,,,,,80.0,,,80.0,,Middle East & North Africa
1989,96.0,94.0,84.0,,,,,78.0,,,78.0,,Middle East & North Africa
1988,93.0,94.0,82.0,,,,,74.0,,,74.0,,Middle East & North Africa
1987,92.0,93.0,80.0,,,,,71.0,,,71.0,,Middle East & North Africa
1986,78.0,92.0,78.0,,,,,67.0,,,67.0,,Middle East & North Africa
1985,60.0,91.0,76.0,,,,,60.0,,,60.0,,Middle East & North Africa
1984,42.0,81.0,59.0,,,,,53.0,,,,,Middle East & North Africa
1983,37.0,74.0,50.0,,,,,51.0,,,,,Middle East & North Africa
1982,28.0,68.0,43.0,,,,,41.0,,,,,Middle East & North Africa
1981,18.0,70.0,45.0,,,,,42.0,,,,,Middle East & North Africa
1980,15.0,32.0,11.0,,,,,34.0,,,,,Middle East & North Africa
