Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,64.0,75.0,65.0,65.0,,65.0,59.0,64.0,46.0,64.0,64.0,64.0,Middle East & North Africa
2017,66.0,76.0,68.0,68.0,,68.0,61.0,65.0,46.0,68.0,65.0,68.0,Middle East & North Africa
2016,73.0,76.0,71.0,71.0,,71.0,61.0,70.0,49.0,71.0,70.0,59.0,Middle East & North Africa
2015,47.0,77.0,69.0,69.0,,69.0,12.0,67.0,41.0,69.0,67.0,52.0,Middle East & North Africa
2014,73.0,82.0,73.0,73.0,,73.0,,67.0,45.0,73.0,,57.0,Middle East & North Africa
2013,71.0,82.0,73.0,73.0,,73.0,,70.0,47.0,73.0,,56.0,Middle East & North Africa
2012,64.0,77.0,67.0,67.0,,67.0,,63.0,40.0,67.0,,23.0,Middle East & North Africa
2011,59.0,79.0,69.0,69.0,,69.0,,66.0,46.0,41.0,,,Middle East & North Africa
2010,65.0,84.0,76.0,76.0,,75.0,,68.0,43.0,,,,Middle East & North Africa
2009,58.0,84.0,76.0,76.0,,74.0,,65.0,38.0,,,,Middle East & North Africa
2008,60.0,85.0,78.0,78.0,,75.0,,69.0,35.0,,,,Middle East & North Africa
2007,64.0,88.0,79.0,79.0,,75.0,,71.0,32.0,,,,Middle East & North Africa
2006,67.0,86.0,78.0,78.0,,73.0,,65.0,26.0,,,,Middle East & North Africa
2005,66.0,88.0,79.0,80.0,,43.0,,73.0,21.0,,,,Middle East & North Africa
2004,64.0,89.0,72.0,43.0,,,,74.0,,,,,Middle East & North Africa
2003,66.0,77.0,61.0,38.0,,,,64.0,,,,,Middle East & North Africa
2002,73.0,72.0,65.0,31.0,,,,62.0,,,,,Middle East & North Africa
2001,78.0,87.0,73.0,19.0,,,,72.0,,,,,Middle East & North Africa
2000,82.0,88.0,74.0,14.0,,,,70.0,,,,,Middle East & North Africa
1999,79.0,84.0,71.0,9.0,,,,74.0,,,,,Middle East & North Africa
1998,66.0,75.0,68.0,,,,,66.0,,,,,Middle East & North Africa
1997,54.0,65.0,40.0,,,,,41.0,,,,,Middle East & North Africa
1996,58.0,72.0,47.0,,,,,43.0,,,,,Middle East & North Africa
1995,60.0,69.0,44.0,,,,,40.0,,,,,Middle East & North Africa
1994,41.0,58.0,33.0,,,,,31.0,,,,,Middle East & North Africa
1993,57.0,77.0,54.0,,,,,51.0,,,,,Middle East & North Africa
1992,54.0,74.0,50.0,,,,,46.0,,,,,Middle East & North Africa
1991,63.0,61.0,47.0,,,,,53.0,,,,,Middle East & North Africa
1990,95.0,94.0,84.0,,,,,69.0,,,,,Middle East & North Africa
1989,75.0,79.0,56.0,,,,,48.0,,,,,Middle East & North Africa
1988,52.0,61.0,36.0,,,,,34.0,,,,,Middle East & North Africa
1987,30.0,41.0,18.0,,,,,22.0,,,,,Middle East & North Africa
1986,23.0,35.0,13.0,,,,,15.0,,,,,Middle East & North Africa
1985,20.0,33.0,12.0,,,,,13.0,,,,,Middle East & North Africa
1984,16.0,27.0,7.0,,,,,8.0,,,,,Middle East & North Africa
1983,15.0,24.0,5.0,,,,,6.0,,,,,Middle East & North Africa
1982,13.0,22.0,4.0,,,,,4.0,,,,,Middle East & North Africa
1981,12.0,21.0,3.0,,,,,4.0,,,,,Middle East & North Africa
1980,9.0,18.0,1.0,,,,,2.0,,,,,Middle East & North Africa
