Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,91.0,71.0,,91.0,90.0,87.0,81.0,90.0,79.0,North America
2017,95.0,91.0,71.0,,91.0,90.0,87.0,81.0,90.0,79.0,North America
2016,95.0,91.0,70.0,,91.0,89.0,86.0,80.0,89.0,,North America
2015,95.0,91.0,69.0,,91.0,89.0,86.0,80.0,89.0,,North America
2014,95.0,91.0,55.0,,91.0,90.0,86.0,79.0,90.0,,North America
2013,95.0,91.0,55.0,,91.0,90.0,86.0,79.0,90.0,,North America
2012,96.0,91.0,70.0,,90.0,89.0,83.0,73.0,89.0,,North America
2011,96.0,87.0,70.0,,89.0,88.0,,66.0,88.0,,North America
2010,96.0,89.0,56.0,,90.0,90.0,,58.0,90.0,,North America
2009,96.0,91.0,42.0,,91.0,91.0,,50.0,91.0,,North America
2008,96.0,92.0,28.0,,92.0,93.0,,42.0,93.0,,North America
2007,96.0,94.0,14.0,,93.0,94.0,,,94.0,,North America
2006,96.0,95.0,14.0,,95.0,93.0,,,93.0,,North America
2005,96.0,93.0,14.0,,93.0,94.0,,,94.0,,North America
2004,96.0,91.0,14.0,,91.0,94.0,,,94.0,,North America
2003,95.0,91.0,14.0,,88.0,95.0,,,95.0,,North America
2002,95.0,88.0,,,88.0,95.0,,,95.0,,North America
2001,95.0,89.0,,,88.0,95.0,,,95.0,,North America
2000,95.0,89.0,,,88.0,96.0,,,96.0,,North America
1999,95.0,90.0,,,88.0,96.0,,,96.0,,North America
1998,95.0,90.0,,,88.0,96.0,,,96.0,,North America
1997,95.0,86.0,,,87.0,96.0,,,96.0,,North America
1996,98.0,90.0,,,84.0,97.0,,,97.0,,North America
1995,97.0,87.0,,,,96.0,,,96.0,,North America
1994,97.0,93.0,,,,97.0,,,97.0,,North America
1993,96.0,90.0,,,,96.0,,,96.0,,North America
1992,96.0,89.0,,,,94.0,,,94.0,,North America
1991,96.0,88.0,,,,92.0,,,92.0,,North America
1990,96.0,88.0,,,,89.0,,,89.0,,North America
1989,95.0,87.0,,,,87.0,,,87.0,,North America
1988,95.0,86.0,,,,85.0,,,85.0,,North America
1987,95.0,85.0,,,,70.0,,,70.0,,North America
1986,,,,,,,,,,,North America
1985,,,,,,,,,,,North America
1984,,,,,,,,,,,North America
1983,,,,,,,,,,,North America
1982,,,,,,,,,,,North America
1981,,,,,,,,,,,North America
1980,,,,,,,,,,,North America
