Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,94.0,91.0,66.0,92.0,92.0,94.0,92.0,92.0,73.0,North America
2017,98.0,95.0,93.0,64.0,93.0,92.0,94.0,93.0,92.0,73.0,North America
2016,98.0,95.0,93.0,64.0,93.0,92.0,94.0,93.0,92.0,73.0,North America
2015,98.0,95.0,92.0,72.0,93.0,92.0,93.0,93.0,92.0,72.0,North America
2014,98.0,95.0,92.0,72.0,93.0,92.0,92.0,93.0,92.0,72.0,North America
2013,98.0,94.0,91.0,74.0,93.0,92.0,91.0,92.0,92.0,73.0,North America
2012,97.0,94.0,90.0,72.0,93.0,91.0,91.0,92.0,91.0,69.0,North America
2011,98.0,96.0,91.0,69.0,94.0,92.0,90.0,94.0,92.0,67.0,North America
2010,98.0,95.0,92.0,64.0,90.0,92.0,89.0,93.0,92.0,59.0,North America
2009,98.0,95.0,92.0,61.0,84.0,90.0,88.0,93.0,90.0,44.0,North America
2008,99.0,96.0,94.0,55.0,91.0,92.0,87.0,93.0,92.0,,North America
2007,99.0,96.0,93.0,53.0,93.0,92.0,86.0,,92.0,,North America
2006,99.0,96.0,93.0,50.0,93.0,92.0,86.0,,92.0,,North America
2005,99.0,96.0,93.0,50.0,94.0,92.0,86.0,,92.0,,North America
2004,99.0,96.0,92.0,48.0,94.0,93.0,86.0,,93.0,,North America
2003,99.0,96.0,92.0,39.0,94.0,93.0,86.0,,93.0,,North America
2002,97.0,94.0,88.0,21.0,93.0,91.0,86.0,,91.0,,North America
2001,98.0,94.0,89.0,,93.0,91.0,86.0,,91.0,,North America
2000,99.0,94.0,90.0,,93.0,91.0,85.0,,91.0,,North America
1999,99.0,96.0,88.0,,94.0,92.0,,,92.0,,North America
1998,98.0,96.0,87.0,,93.0,92.0,,,92.0,,North America
1997,98.0,96.0,84.0,,93.0,91.0,,,91.0,,North America
1996,98.0,95.0,82.0,,91.0,91.0,,,91.0,,North America
1995,98.0,95.0,68.0,,91.0,88.0,,,88.0,,North America
1994,97.0,94.0,42.0,,,89.0,,,89.0,,North America
1993,96.0,88.0,16.0,,,84.0,,,84.0,,North America
1992,94.0,83.0,,,,83.0,,,83.0,,North America
1991,95.0,86.0,,,,87.0,,,87.0,,North America
1990,96.0,90.0,,,,90.0,,,90.0,,North America
1989,97.0,94.0,,,,94.0,,,94.0,,North America
1988,98.0,97.0,,,,98.0,,,98.0,,North America
1987,98.0,97.0,,,,82.0,,,82.0,,North America
1986,98.0,97.0,,,,97.0,,,97.0,,North America
1985,98.0,96.0,,,,97.0,,,97.0,,North America
1984,98.0,97.0,,,,98.0,,,98.0,,North America
1983,98.0,97.0,,,,98.0,,,98.0,,North America
1982,98.0,96.0,,,,97.0,,,97.0,,North America
1981,98.0,96.0,,,,97.0,,,97.0,,North America
1980,98.0,96.0,,,,86.0,,,86.0,,North America
