Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,78.0,73.0,66.0,66.0,18.0,66.0,66.0,64.0,39.0,65.0,,60.0,South Asia
2017,78.0,73.0,66.0,66.0,18.0,66.0,66.0,64.0,39.0,65.0,,,South Asia
2016,78.0,73.0,66.0,66.0,18.0,66.0,66.0,64.0,39.0,65.0,,,South Asia
2015,76.0,73.0,65.0,65.0,18.0,65.0,,63.0,39.0,65.0,,,South Asia
2014,74.0,73.0,62.0,62.0,4.0,62.0,,60.0,39.0,40.0,,,South Asia
2013,72.0,76.0,64.0,64.0,,64.0,,57.0,35.0,,,,South Asia
2012,78.0,78.0,67.0,67.0,,67.0,,59.0,33.0,,,,South Asia
2011,71.0,78.0,68.0,68.0,,68.0,,64.0,31.0,,,,South Asia
2010,68.0,72.0,66.0,66.0,,66.0,,62.0,29.0,,,,South Asia
2009,64.0,72.0,63.0,63.0,,63.0,,60.0,24.0,,,,South Asia
2008,66.0,75.0,64.0,64.0,,,,59.0,23.0,,,,South Asia
2007,60.0,76.0,63.0,63.0,,,,55.0,4.0,,,,South Asia
2006,60.0,75.0,58.0,,,,,53.0,18.0,,,,South Asia
2005,57.0,76.0,58.0,,,,,50.0,9.0,,,,South Asia
2004,51.0,72.0,50.0,,,,,48.0,2.0,,,,South Asia
2003,44.0,66.0,41.0,,,,,39.0,,,,,South Asia
2002,46.0,62.0,36.0,,,,,35.0,,,,,South Asia
2001,43.0,59.0,33.0,,,,,37.0,,,,,South Asia
2000,30.0,48.0,24.0,,,,,27.0,,,,,South Asia
1999,38.0,52.0,27.0,,,,,31.0,,,,,South Asia
1998,35.0,52.0,27.0,,,,,31.0,,,,,South Asia
1997,43.0,48.0,28.0,,,,,38.0,,,,,South Asia
1996,47.0,56.0,31.0,,,,,42.0,,,,,South Asia
1995,31.0,44.0,20.0,,,,,41.0,,,,,South Asia
1994,15.0,33.0,12.0,,,,,40.0,,,,,South Asia
1993,17.0,41.0,18.0,,,,,25.0,,,,,South Asia
1992,19.0,45.0,21.0,,,,,22.0,,,,,South Asia
1991,21.0,47.0,23.0,,,,,19.0,,,,,South Asia
1990,30.0,50.0,25.0,,,,,20.0,,,,,South Asia
1989,38.0,58.0,33.0,,,,,22.0,,,,,South Asia
1988,40.0,60.0,35.0,,,,,34.0,,,,,South Asia
1987,27.0,50.0,25.0,,,,,31.0,,,,,South Asia
1986,18.0,32.0,11.0,,,,,14.0,,,,,South Asia
1985,17.0,37.0,15.0,,,,,14.0,,,,,South Asia
1984,11.0,39.0,16.0,,,,,14.0,,,,,South Asia
1983,10.0,24.0,5.0,,,,,9.0,,,,,South Asia
1982,10.0,24.0,5.0,,,,,8.0,,,,,South Asia
1981,,,3.0,,,,,,,,,,South Asia
1980,,22.0,4.0,,,,,11.0,,,,,South Asia
