Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,98.0,98.0,,98.0,75.0,97.0,93.0,97.0,97.0,,South Asia
2017,99.0,99.0,98.0,98.0,,98.0,17.0,97.0,93.0,97.0,97.0,,South Asia
2016,99.0,99.0,98.0,98.0,,98.0,11.0,97.0,92.0,97.0,97.0,,South Asia
2015,99.0,99.0,98.0,98.0,,98.0,51.0,97.0,90.0,48.0,97.0,,South Asia
2014,99.0,99.0,97.0,97.0,,97.0,,94.0,89.0,,94.0,,South Asia
2013,99.0,98.0,96.0,96.0,,96.0,,91.0,82.0,,91.0,,South Asia
2012,98.0,97.0,94.0,94.0,,94.0,,88.0,41.0,,17.0,,South Asia
2011,99.0,99.0,96.0,96.0,,87.0,,93.0,,,,,South Asia
2010,98.0,98.0,94.0,94.0,,94.0,,88.0,,,,,South Asia
2009,99.0,99.0,97.0,97.0,,97.0,,93.0,,,,,South Asia
2008,99.0,99.0,96.0,96.0,,,,92.0,,,,,South Asia
2007,98.0,98.0,94.0,95.0,,,,89.0,,,,,South Asia
2006,97.0,97.0,94.0,86.0,,,,83.0,,,,,South Asia
2005,97.0,97.0,93.0,45.0,,,,88.0,,,,,South Asia
2004,96.0,99.0,99.0,11.0,,,,81.0,,,,,South Asia
2003,93.0,93.0,87.0,5.0,,,,76.0,,,,,South Asia
2002,95.0,95.0,83.0,,,,,75.0,,,,,South Asia
2001,95.0,94.0,85.0,,,,,77.0,,,,,South Asia
2000,94.0,92.0,82.0,,,,,74.0,,,,,South Asia
1999,92.0,91.0,80.0,,,,,71.0,,,,,South Asia
1998,91.0,89.0,77.0,,,,,71.0,,,,,South Asia
1997,92.0,92.0,78.0,,,,,72.0,,,,,South Asia
1996,90.0,91.0,77.0,,,,,69.0,,,,,South Asia
1995,93.0,87.0,69.0,,,,,79.0,,,,,South Asia
1994,95.0,94.0,84.0,,,,,78.0,,,,,South Asia
1993,93.0,79.0,74.0,,,,,74.0,,,,,South Asia
1992,89.0,86.0,66.0,,,,,69.0,,,,,South Asia
1991,87.0,88.0,74.0,,,,,68.0,,,,,South Asia
1990,86.0,86.0,69.0,,,,,65.0,,,,,South Asia
1989,56.0,73.0,49.0,,,,,53.0,,,,,South Asia
1988,26.0,39.0,16.0,,,,,13.0,,,,,South Asia
1987,15.0,29.0,9.0,,,,,6.0,,,,,South Asia
1986,4.0,22.0,4.0,,,,,3.0,,,,,South Asia
1985,2.0,20.0,2.0,,,,,1.0,,,,,South Asia
1984,2.0,18.0,1.0,,,,,1.0,,,,,South Asia
1983,2.0,18.0,1.0,,,,,1.0,,,,,South Asia
1982,1.0,18.0,1.0,,,,,1.0,,,,,South Asia
1981,1.0,18.0,1.0,,,,,,,,,,South Asia
1980,,,,,,,,,,,,,South Asia
