Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,98.0,97.0,97.0,96.0,97.0,97.0,97.0,91.0,,97.0,,South Asia
2017,99.0,99.0,98.0,98.0,95.0,98.0,35.0,97.0,99.0,,97.0,,South Asia
2016,99.0,99.0,98.0,98.0,82.0,98.0,90.0,97.0,90.0,,97.0,,South Asia
2015,99.0,99.0,99.0,99.0,78.0,99.0,43.0,97.0,94.0,,97.0,,South Asia
2014,99.0,99.0,99.0,99.0,78.0,99.0,,97.0,92.0,,97.0,,South Asia
2013,97.0,97.0,97.0,97.0,64.0,97.0,,94.0,89.0,,94.0,,South Asia
2012,95.0,97.0,97.0,97.0,60.0,97.0,,95.0,90.0,,95.0,,South Asia
2011,95.0,98.0,95.0,95.0,29.0,,,95.0,95.0,,95.0,,South Asia
2010,96.0,94.0,91.0,91.0,,,,95.0,85.0,,95.0,,South Asia
2009,94.0,97.0,93.0,93.0,,,,94.0,79.0,,94.0,,South Asia
2008,99.0,97.0,96.0,96.0,,,,99.0,72.0,,99.0,,South Asia
2007,94.0,98.0,95.0,95.0,,,,95.0,,,95.0,,South Asia
2006,92.0,97.0,95.0,95.0,,,,90.0,,,90.0,,South Asia
2005,92.0,97.0,95.0,95.0,,,,93.0,,,,,South Asia
2004,92.0,92.0,89.0,89.0,,,,87.0,,,,,South Asia
2003,93.0,96.0,95.0,95.0,,,,88.0,,,,,South Asia
2002,83.0,95.0,86.0,83.0,,,,78.0,,,,,South Asia
2001,81.0,96.0,88.0,89.0,,,,78.0,,,,,South Asia
2000,97.0,96.0,92.0,98.0,,,,78.0,,,,,South Asia
1999,90.0,95.0,90.0,90.0,,,,77.0,,,,,South Asia
1998,94.0,96.0,86.0,81.0,,,,71.0,,,,,South Asia
1997,92.0,95.0,87.0,84.0,,,,84.0,,,,,South Asia
1996,98.0,95.0,87.0,16.0,,,,85.0,,,,,South Asia
1995,98.0,95.0,87.0,,,,,85.0,,,,,South Asia
1994,96.0,95.0,86.0,,,,,81.0,,,,,South Asia
1993,89.0,92.0,79.0,,,,,84.0,,,,,South Asia
1992,90.0,95.0,86.0,,,,,86.0,,,,,South Asia
1991,95.0,97.0,91.0,,,,,89.0,,,,,South Asia
1990,99.0,98.0,96.0,,,,,93.0,,,,,South Asia
1989,93.0,91.0,76.0,,,,,79.0,,,,,South Asia
1988,73.0,88.0,70.0,,,,,64.0,,,,,South Asia
1987,67.0,84.0,63.0,,,,,58.0,,,,,South Asia
1986,60.0,77.0,53.0,,,,,51.0,,,,,South Asia
1985,54.0,66.0,41.0,,,,,44.0,,,,,South Asia
1984,47.0,53.0,28.0,,,,,36.0,,,,,South Asia
1983,46.0,39.0,16.0,,,,,21.0,,,,,South Asia
1982,45.0,37.0,15.0,,,,,20.0,,,,,South Asia
1981,44.0,35.0,13.0,,,,,21.0,,,,,South Asia
1980,43.0,25.0,6.0,,,,,21.0,,,,,South Asia
