Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,92.0,92.0,89.0,89.0,54.0,89.0,75.0,90.0,80.0,6.0,90.0,35.0,South Asia
2017,92.0,92.0,89.0,89.0,54.0,89.0,50.0,90.0,80.0,,6.0,13.0,South Asia
2016,89.0,91.0,88.0,88.0,47.0,80.0,47.0,88.0,76.0,,,4.0,South Asia
2015,87.0,90.0,87.0,87.0,44.0,45.0,1.0,87.0,69.0,,,,South Asia
2014,89.0,90.0,85.0,79.0,41.0,20.0,,85.0,60.0,,,,South Asia
2013,91.0,90.0,83.0,70.0,37.0,20.0,,83.0,51.0,,,,South Asia
2012,90.0,89.0,82.0,73.0,23.0,,,83.0,36.0,,,,South Asia
2011,90.0,89.0,82.0,44.0,8.0,,,84.0,27.0,,,,South Asia
2010,89.0,86.0,79.0,38.0,8.0,,,82.0,,,,,South Asia
2009,88.0,84.0,74.0,37.0,8.0,,,78.0,,,,,South Asia
2008,86.0,81.0,70.0,29.0,8.0,,,72.0,,,,,South Asia
2007,87.0,81.0,64.0,6.0,,,,70.0,,,,,South Asia
2006,86.0,81.0,65.0,6.0,,,,69.0,,,,,South Asia
2005,86.0,82.0,65.0,8.0,,,,68.0,,,,,South Asia
2004,80.0,77.0,63.0,6.0,,,,64.0,,,,,South Asia
2003,77.0,76.0,61.0,,,,,60.0,,,,,South Asia
2002,75.0,75.0,59.0,,,,,56.0,,,,,South Asia
2001,75.0,75.0,59.0,,,,,57.0,,,,,South Asia
2000,74.0,74.0,58.0,,,,,56.0,,,,,South Asia
1999,74.0,74.0,59.0,,,,,56.0,,,,,South Asia
1998,73.0,78.0,61.0,,,,,53.0,,,,,South Asia
1997,72.0,82.0,62.0,,,,,55.0,,,,,South Asia
1996,79.0,86.0,66.0,,,,,66.0,,,,,South Asia
1995,81.0,88.0,71.0,,,,,72.0,,,,,South Asia
1994,71.0,86.0,67.0,,,,,67.0,,,,,South Asia
1993,69.0,82.0,61.0,,,,,59.0,,,,,South Asia
1992,65.0,79.0,56.0,,,,,51.0,,,,,South Asia
1991,62.0,80.0,57.0,,,,,43.0,,,,,South Asia
1990,66.0,88.0,70.0,,,,,56.0,,,,,South Asia
1989,28.0,74.0,50.0,,,,,42.0,,,,,South Asia
1988,23.0,65.0,40.0,,,,,32.0,,,,,South Asia
1987,23.0,55.0,30.0,,,,,24.0,,,,,South Asia
1986,9.0,44.0,20.0,,,,,10.0,,,,,South Asia
1985,8.0,41.0,18.0,,,,,1.0,,,,,South Asia
1984,7.0,39.0,16.0,,,,,,,,,,South Asia
1983,6.0,36.0,14.0,,,,,,,,,,South Asia
1982,4.0,33.0,12.0,,,,,,,,,,South Asia
1981,4.0,25.0,6.0,,,,,,,,,,South Asia
1980,,25.0,6.0,,,,,,,,,,South Asia
