Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,,South Asia
2017,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,,South Asia
2016,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,,99.0,,South Asia
2015,99.0,99.0,99.0,99.0,,99.0,82.0,99.0,99.0,,99.0,,South Asia
2014,99.0,99.0,99.0,99.0,,99.0,,99.0,97.0,,97.0,,South Asia
2013,99.0,99.0,99.0,99.0,,58.0,,99.0,99.0,,99.0,,South Asia
2012,99.0,99.0,99.0,99.0,,,,98.0,99.0,,99.0,,South Asia
2011,98.0,97.0,96.0,96.0,,,,96.0,96.0,,96.0,,South Asia
2010,97.0,97.0,96.0,97.0,,,,97.0,96.0,,96.0,,South Asia
2009,99.0,99.0,98.0,98.0,,,,98.0,96.0,,96.0,,South Asia
2008,98.0,99.0,98.0,98.0,,,,97.0,76.0,,76.0,,South Asia
2007,98.0,99.0,98.0,98.0,,,,97.0,56.0,,56.0,,South Asia
2006,99.0,98.0,98.0,98.0,,,,97.0,,,,,South Asia
2005,97.0,99.0,98.0,98.0,,,,97.0,,,,,South Asia
2004,98.0,98.0,96.0,97.0,,,,97.0,,,,,South Asia
2003,98.0,98.0,98.0,98.0,,,,96.0,,,,,South Asia
2002,99.0,98.0,98.0,98.0,,,,97.0,,,,,South Asia
2001,98.0,99.0,98.0,98.0,,,,98.0,,,,,South Asia
2000,99.0,98.0,98.0,96.0,,,,99.0,,,,,South Asia
1999,98.0,99.0,97.0,90.0,,,,97.0,,,,,South Asia
1998,99.0,98.0,97.0,45.0,,,,98.0,,,,,South Asia
1997,99.0,98.0,97.0,50.0,,,,96.0,,,,,South Asia
1996,99.0,98.0,97.0,96.0,,,,95.0,,,,,South Asia
1995,99.0,99.0,94.0,80.0,,,,96.0,,,,,South Asia
1994,98.0,98.0,96.0,63.0,,,,97.0,,,,,South Asia
1993,89.0,93.0,90.0,21.0,,,,86.0,,,,,South Asia
1992,99.0,99.0,98.0,,,,,98.0,,,,,South Asia
1991,99.0,98.0,98.0,,,,,97.0,,,,,South Asia
1990,99.0,97.0,94.0,,,,,96.0,,,,,South Asia
1989,98.0,97.0,91.0,,,,,88.0,,,,,South Asia
1988,98.0,95.0,86.0,,,,,83.0,,,,,South Asia
1987,62.0,67.0,42.0,,,,,41.0,,,,,South Asia
1986,54.0,67.0,42.0,,,,,50.0,,,,,South Asia
1985,45.0,53.0,28.0,,,,,47.0,,,,,South Asia
1984,36.0,48.0,24.0,,,,,40.0,,,,,South Asia
1983,27.0,35.0,13.0,,,,,37.0,,,,,South Asia
1982,20.0,18.0,1.0,,,,,34.0,,,,,South Asia
1981,8.0,18.0,1.0,,,,,39.0,,,,,South Asia
1980,7.0,22.0,4.0,,,,,,,,,,South Asia
