Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,96.0,91.0,91.0,,91.0,16.0,91.0,69.0,82.0,91.0,,South Asia
2017,95.0,95.0,90.0,90.0,,90.0,16.0,90.0,59.0,80.0,90.0,,South Asia
2016,93.0,92.0,87.0,87.0,,87.0,77.0,83.0,25.0,46.0,83.0,,South Asia
2015,94.0,94.0,91.0,91.0,,91.0,59.0,85.0,,5.0,85.0,,South Asia
2014,99.0,94.0,92.0,92.0,,92.0,,88.0,,,88.0,,South Asia
2013,97.0,94.0,92.0,92.0,,92.0,,88.0,,,88.0,,South Asia
2012,96.0,90.0,90.0,90.0,,90.0,,86.0,,,,,South Asia
2011,97.0,96.0,92.0,92.0,,92.0,,88.0,,,,,South Asia
2010,94.0,85.0,82.0,82.0,,,,86.0,,,,,South Asia
2009,94.0,94.0,89.0,89.0,,,,90.0,,,,,South Asia
2008,87.0,84.0,82.0,82.0,,,,79.0,,,,,South Asia
2007,89.0,85.0,82.0,82.0,,,,81.0,,,,,South Asia
2006,93.0,93.0,89.0,69.0,,,,85.0,,,,,South Asia
2005,87.0,81.0,75.0,41.0,,,,74.0,,,,,South Asia
2004,85.0,88.0,80.0,27.0,,,,73.0,,,,,South Asia
2003,91.0,82.0,78.0,2.0,,,,75.0,,,,,South Asia
2002,85.0,84.0,72.0,,,,,71.0,,,,,South Asia
2001,84.0,84.0,72.0,,,,,71.0,,,,,South Asia
2000,84.0,84.0,74.0,,,,,71.0,,,,,South Asia
1999,93.0,91.0,65.0,,,,,81.0,,,,,South Asia
1998,81.0,92.0,71.0,,,,,67.0,,,,,South Asia
1997,86.0,92.0,78.0,,,,,73.0,,,,,South Asia
1996,81.0,85.0,65.0,,,,,65.0,,,,,South Asia
1995,76.0,77.0,54.0,,,,,56.0,,,,,South Asia
1994,76.0,77.0,54.0,,,,,58.0,,,,,South Asia
1993,75.0,75.0,51.0,,,,,58.0,,,,,South Asia
1992,75.0,73.0,49.0,,,,,58.0,,,,,South Asia
1991,74.0,71.0,46.0,,,,,57.0,,,,,South Asia
1990,74.0,68.0,43.0,,,,,57.0,,,,,South Asia
1989,70.0,69.0,44.0,,,,,57.0,,,,,South Asia
1988,66.0,70.0,45.0,,,,,58.0,,,,,South Asia
1987,62.0,71.0,46.0,,,,,37.0,,,,,South Asia
1986,67.0,63.0,38.0,,,,,37.0,,,,,South Asia
1985,67.0,57.0,32.0,,,,,34.0,,,,,South Asia
1984,58.0,52.0,27.0,,,,,24.0,,,,,South Asia
1983,53.0,47.0,23.0,,,,,11.0,,,,,South Asia
1982,59.0,41.0,18.0,,,,,2.0,,,,,South Asia
1981,32.0,39.0,16.0,,,,,2.0,,,,,South Asia
1980,22.0,28.0,8.0,,,,,,,,,,South Asia
