Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,86.0,83.0,75.0,75.0,,75.0,75.0,76.0,67.0,79.0,,58.0,South Asia
2017,86.0,83.0,75.0,75.0,,75.0,67.0,76.0,67.0,79.0,,12.0,South Asia
2016,86.0,82.0,75.0,75.0,,75.0,56.0,75.0,67.0,78.0,,,South Asia
2015,86.0,82.0,72.0,72.0,,72.0,20.0,75.0,54.0,80.0,,,South Asia
2014,85.0,80.0,69.0,69.0,,69.0,,71.0,48.0,68.0,,,South Asia
2013,84.0,78.0,65.0,65.0,,65.0,,68.0,43.0,65.0,,,South Asia
2012,84.0,78.0,64.0,64.0,,64.0,,63.0,42.0,,,,South Asia
2011,83.0,77.0,63.0,63.0,,63.0,,59.0,38.0,,,,South Asia
2010,74.0,67.0,52.0,52.0,,52.0,,57.0,34.0,,,,South Asia
2009,74.0,67.0,52.0,52.0,,52.0,,56.0,30.0,,,,South Asia
2008,75.0,69.0,53.0,53.0,,,,56.0,,,,,South Asia
2007,77.0,70.0,54.0,54.0,,,,57.0,,,,,South Asia
2006,77.0,72.0,59.0,60.0,,,,59.0,,,,,South Asia
2005,78.0,73.0,63.0,65.0,,,,61.0,,,,,South Asia
2004,78.0,75.0,68.0,62.0,,,,63.0,,,,,South Asia
2003,80.0,74.0,66.0,62.0,,,,62.0,,,,,South Asia
2002,82.0,72.0,63.0,,,,,60.0,,,,,South Asia
2001,78.0,71.0,61.0,,,,,59.0,,,,,South Asia
2000,74.0,69.0,59.0,,,,,57.0,,,,,South Asia
1999,70.0,68.0,57.0,,,,,56.0,,,,,South Asia
1998,66.0,66.0,54.0,,,,,54.0,,,,,South Asia
1997,62.0,65.0,52.0,,,,,52.0,,,,,South Asia
1996,59.0,62.0,46.0,,,,,50.0,,,,,South Asia
1995,73.0,73.0,58.0,,,,,47.0,,,,,South Asia
1994,75.0,64.0,39.0,,,,,53.0,,,,,South Asia
1993,77.0,62.0,37.0,,,,,52.0,,,,,South Asia
1992,80.0,67.0,42.0,,,,,52.0,,,,,South Asia
1991,80.0,74.0,50.0,,,,,51.0,,,,,South Asia
1990,80.0,77.0,54.0,,,,,50.0,,,,,South Asia
1989,80.0,65.0,40.0,,,,,48.0,,,,,South Asia
1988,77.0,63.0,38.0,,,,,46.0,,,,,South Asia
1987,72.0,61.0,36.0,,,,,43.0,,,,,South Asia
1986,69.0,59.0,34.0,,,,,41.0,,,,,South Asia
1985,62.0,55.0,30.0,,,,,38.0,,,,,South Asia
1984,55.0,47.0,23.0,,,,,33.0,,,,,South Asia
1983,35.0,37.0,15.0,,,,,19.0,,,,,South Asia
1982,12.0,24.0,5.0,,,,,3.0,,,,,South Asia
1981,11.0,21.0,3.0,,,,,2.0,,,,,South Asia
1980,6.0,20.0,2.0,,,,,1.0,,,,,South Asia
