Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,,99.0,,South Asia
2017,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,,99.0,,South Asia
2016,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,,99.0,,South Asia
2015,99.0,99.0,99.0,99.0,,99.0,47.0,99.0,99.0,,99.0,,South Asia
2014,99.0,99.0,99.0,99.0,,99.0,,99.0,99.0,,99.0,,South Asia
2013,99.0,99.0,99.0,99.0,,99.0,,99.0,99.0,,99.0,,South Asia
2012,99.0,99.0,99.0,99.0,,99.0,,99.0,99.0,,99.0,,South Asia
2011,99.0,99.0,99.0,99.0,,99.0,,99.0,99.0,,99.0,,South Asia
2010,99.0,99.0,99.0,99.0,,99.0,,99.0,99.0,,99.0,,South Asia
2009,99.0,97.0,97.0,97.0,,,,97.0,97.0,,97.0,,South Asia
2008,99.0,99.0,98.0,98.0,,,,98.0,97.0,,98.0,,South Asia
2007,99.0,99.0,98.0,98.0,,,,98.0,97.0,,98.0,,South Asia
2006,99.0,99.0,98.0,98.0,,,,99.0,98.0,,99.0,,South Asia
2005,99.0,99.0,99.0,99.0,,,,99.0,99.0,,99.0,,South Asia
2004,99.0,98.0,97.0,62.0,,,,96.0,95.0,,96.0,,South Asia
2003,99.0,99.0,99.0,32.0,,,,99.0,90.0,,99.0,,South Asia
2002,99.0,99.0,98.0,,,,,99.0,92.0,,99.0,,South Asia
2001,98.0,99.0,98.0,,,,,99.0,52.0,,99.0,,South Asia
2000,98.0,99.0,99.0,,,,,99.0,,,99.0,,South Asia
1999,97.0,99.0,99.0,,,,,95.0,,,95.0,,South Asia
1998,90.0,97.0,94.0,,,,,94.0,,,94.0,,South Asia
1997,96.0,98.0,97.0,,,,,94.0,,,94.0,,South Asia
1996,88.0,97.0,92.0,,,,,89.0,,,89.0,,South Asia
1995,90.0,97.0,93.0,,,,,87.0,,,,,South Asia
1994,86.0,96.0,88.0,,,,,84.0,,,,,South Asia
1993,88.0,96.0,90.0,,,,,86.0,,,,,South Asia
1992,87.0,96.0,88.0,,,,,82.0,,,,,South Asia
1991,88.0,95.0,86.0,,,,,79.0,,,,,South Asia
1990,84.0,95.0,86.0,,,,,80.0,,,,,South Asia
1989,90.0,95.0,87.0,,,,,76.0,,,,,South Asia
1988,81.0,94.0,83.0,,,,,68.0,,,,,South Asia
1987,76.0,91.0,77.0,,,,,60.0,,,,,South Asia
1986,79.0,91.0,75.0,,,,,45.0,,,,,South Asia
1985,71.0,88.0,70.0,,,,,20.0,,,,,South Asia
1984,67.0,86.0,66.0,,,,,3.0,,,,,South Asia
1983,64.0,84.0,64.0,,,,,,,,,,South Asia
1982,65.0,80.0,57.0,,,,,,,,,,South Asia
1981,58.0,70.0,45.0,,,,,,,,,,South Asia
1980,61.0,71.0,46.0,,,,,,,,,,South Asia
