Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,89.0,84.0,76.0,76.0,,76.0,60.0,71.0,,73.0,,,71.0,West & Central Africa
2017,89.0,84.0,76.0,76.0,,76.0,48.0,70.0,,73.0,,,70.0,West & Central Africa
2016,88.0,84.0,76.0,76.0,,76.0,62.0,68.0,,73.0,,,64.0,West & Central Africa
2015,86.0,82.0,74.0,74.0,,74.0,31.0,67.0,,72.0,,,63.0,West & Central Africa
2014,91.0,84.0,74.0,74.0,,74.0,,65.0,,69.0,,,63.0,West & Central Africa
2013,95.0,86.0,77.0,77.0,,77.0,,68.0,,70.0,,,70.0,West & Central Africa
2012,96.0,89.0,80.0,80.0,,80.0,,74.0,,67.0,,,69.0,West & Central Africa
2011,88.0,85.0,75.0,75.0,,75.0,,70.0,,36.0,,,69.0,West & Central Africa
2010,90.0,87.0,76.0,76.0,,76.0,,68.0,,,,,68.0,West & Central Africa
2009,93.0,89.0,79.0,79.0,,79.0,,71.0,,,,,72.0,West & Central Africa
2008,96.0,91.0,75.0,75.0,,75.0,,66.0,,,,,66.0,West & Central Africa
2007,97.0,94.0,82.0,82.0,,82.0,,70.0,,,,,70.0,West & Central Africa
2006,93.0,89.0,74.0,74.0,,74.0,,66.0,,,,,67.0,West & Central Africa
2005,88.0,84.0,70.0,70.0,,35.0,,61.0,,,,,61.0,West & Central Africa
2004,89.0,85.0,72.0,75.0,,,,63.0,,,,,65.0,West & Central Africa
2003,90.0,86.0,73.0,73.0,,,,65.0,,,,,65.0,West & Central Africa
2002,90.0,87.0,75.0,15.0,,,,66.0,,,,,27.0,West & Central Africa
2001,91.0,88.0,76.0,,,,,68.0,,,,,,West & Central Africa
2000,92.0,89.0,78.0,,,,,70.0,,,,,,West & Central Africa
1999,87.0,88.0,74.0,,,,,69.0,,,,,,West & Central Africa
1998,83.0,87.0,70.0,,,,,67.0,,,,,,West & Central Africa
1997,78.0,86.0,66.0,,,,,66.0,,,,,,West & Central Africa
1996,80.0,86.0,66.0,,,,,60.0,,,,,,West & Central Africa
1995,85.0,82.0,67.0,,,,,65.0,,,,,,West & Central Africa
1994,94.0,89.0,81.0,,,,,78.0,,,,,,West & Central Africa
1993,89.0,87.0,75.0,,,,,67.0,,,,,,West & Central Africa
1992,84.0,86.0,73.0,,,,,70.0,,,,,,West & Central Africa
1991,82.0,83.0,69.0,,,,,60.0,,,,,,West & Central Africa
1990,92.0,86.0,74.0,,,,,79.0,,,,,,West & Central Africa
1989,75.0,68.0,48.0,,,,,48.0,,,,,,West & Central Africa
1988,50.0,51.0,30.0,,,,,30.0,,,,,,West & Central Africa
1987,46.0,46.0,25.0,,,,,26.0,,,,,,West & Central Africa
1986,41.0,36.0,17.0,,,,,20.0,,,,,,West & Central Africa
1985,27.0,36.0,17.0,,,,,23.0,,,,,,West & Central Africa
1984,,,,,,,,,,,,,,West & Central Africa
1983,,,,,,,,,,,,,,West & Central Africa
1982,,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
