Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,98.0,95.0,91.0,91.0,,91.0,45.0,88.0,71.0,91.0,88.0,91.0,85.0,West & Central Africa
2017,98.0,95.0,91.0,91.0,,91.0,,88.0,65.0,91.0,88.0,91.0,47.0,West & Central Africa
2016,98.0,95.0,91.0,91.0,,91.0,,88.0,59.0,91.0,88.0,91.0,49.0,West & Central Africa
2015,98.0,95.0,91.0,91.0,,91.0,,88.0,50.0,91.0,68.0,91.0,88.0,West & Central Africa
2014,98.0,95.0,91.0,91.0,,91.0,,88.0,17.0,91.0,,91.0,88.0,West & Central Africa
2013,96.0,94.0,88.0,88.0,,88.0,,82.0,,,,9.0,88.0,West & Central Africa
2012,96.0,94.0,90.0,90.0,,90.0,,87.0,,,,,87.0,West & Central Africa
2011,99.0,93.0,91.0,91.0,,91.0,,89.0,,,,,82.0,West & Central Africa
2010,99.0,93.0,91.0,91.0,,91.0,,92.0,,,,,82.0,West & Central Africa
2009,99.0,93.0,92.0,92.0,,92.0,,94.0,,,,,93.0,West & Central Africa
2008,99.0,97.0,93.0,93.0,,93.0,,94.0,,,,,91.0,West & Central Africa
2007,99.0,92.0,89.0,89.0,,89.0,,94.0,,,,,89.0,West & Central Africa
2006,99.0,91.0,86.0,76.0,,76.0,,88.0,,,,,88.0,West & Central Africa
2005,99.0,91.0,82.0,,,,,84.0,,,,,84.0,West & Central Africa
2004,99.0,90.0,79.0,,,,,78.0,,,,,71.0,West & Central Africa
2003,83.0,90.0,79.0,,,,,76.0,,,,,60.0,West & Central Africa
2002,90.0,89.0,69.0,,,,,64.0,,,,,45.0,West & Central Africa
2001,80.0,93.0,62.0,,,,,63.0,,,,,36.0,West & Central Africa
2000,81.0,97.0,45.0,,,,,48.0,,,,,40.0,West & Central Africa
1999,77.0,83.0,15.0,,,,,36.0,,,,,17.0,West & Central Africa
1998,79.0,77.0,15.0,,,,,24.0,,,,,,West & Central Africa
1997,75.0,78.0,39.0,,,,,41.0,,,,,,West & Central Africa
1996,73.0,78.0,37.0,,,,,40.0,,,,,,West & Central Africa
1995,72.0,79.0,34.0,,,,,43.0,,,,,,West & Central Africa
1994,75.0,79.0,36.0,,,,,45.0,,,,,,West & Central Africa
1993,80.0,79.0,39.0,,,,,50.0,,,,,,West & Central Africa
1992,85.0,79.0,39.0,,,,,60.0,,,,,,West & Central Africa
1991,88.0,86.0,53.0,,,,,69.0,,,,,,West & Central Africa
1990,95.0,92.0,66.0,,,,,79.0,,,,,,West & Central Africa
1989,83.0,81.0,44.0,,,,,66.0,,,,,,West & Central Africa
1988,70.0,74.0,34.0,,,,,52.0,,,,,,West & Central Africa
1987,57.0,53.0,23.0,,,,,37.0,,,,,,West & Central Africa
1986,52.0,48.0,19.0,,,,,40.0,,,,,,West & Central Africa
1985,33.0,35.0,9.0,,,,,38.0,,,,,,West & Central Africa
1984,,,,,,,,,,,,,,West & Central Africa
1983,,,,,,,,,,,,,,West & Central Africa
1982,,,,,,,,,,,,,,West & Central Africa
1981,,,,,,,,,,,,,,West & Central Africa
1980,,,,,,,,,,,,,,West & Central Africa
